"","r_max","K","catch_multiplier_1","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2012","N2006","N2019","N2030","ROI_IA1","ROI_IA2","q_IA1","q_IA2","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2012","status2006","status2019","status2030","draw","save"
"mean",0.0914175945018121,28221.2940009888,1.01855892250811,1.7117591298794,15023.3851705685,0,0.560258103199233,475.530220218914,1957.9616,0,15023.3930179487,19243.1855742774,13011.2716678121,24888.0515876882,27673.7868945724,0.0908242040618443,0.0613794813106739,0.053884149510658,0.510657354799306,0,-9999,41.1318493564204,0,17.227122765691,0,58.3589721221114,5.87045917965819e-26,0.0162873871738339,0.534718549860201,0.686196028493963,0.462405856248245,0.88681644258238,0.982587342429589,461310.9568,1
"median",0.0937513861700427,27742.3878715706,1.01853576025245,1.71064418910372,14998.1426410959,0,0.589024856686592,371.931390946451,1958,0,14998.1429063412,19249.7647050851,12954.325333262,24915.5427633809,27495.5330740501,0.0931670506601371,0.0622599649443841,0.0537423985577042,0.509538937858863,0,-9999,41.0736930646306,0,17.0212420545533,0,58.0767232024426,5.99238336722769e-26,0.0134545684583196,0.535446925178572,0.692621093269317,0.461522350304221,0.904980089614397,0.992939071620122,463187,1
"2.5%PI",0.0538557118053548,25327.0166335954,1.01310894275961,1.56868065338357,13293.7830152194,0,0.0341757838788908,196.927784669269,1926,0,13293.5664280461,17437.4618739732,11193.1372230862,23133.3434431459,25280.3800067222,0.0528979482566268,0.0417963724831867,0.0259665527778827,0.465734936958349,0,-9999,40.6251554838034,0,16.4208676208801,0,57.4175786324526,3.71654514238907e-27,0.00754639453454096,0.446067552197709,0.543413773602044,0.396085249981465,0.710356056625296,0.900356614150749,23417.75,1
"97.5%PI",0.116447200284305,33734.5673813468,1.02413668930562,1.85743480842181,16927.4161297857,0,0.981500594044337,1307.6818881115,1968,0,16927.419933904,21044.5725000236,15122.8928810856,26372.2704066331,30808.3342659216,0.116075997270136,0.076434718222686,0.0829215604770408,0.559879142599725,0,-9999,42.0317349254212,0,19.2346920621417,0,60.8570030257692,1.15841036806013e-25,0.0398515188620026,0.619887375146295,0.792066803598398,0.535700337682181,0.963444063953641,0.998827209395076,896718.3,1
"5%PI",0.0603643086609663,25568.4117845948,1.01396519104829,1.59207541698637,13564.191382326,0,0.0698127321666107,209.206673581448,1926,0,13564.1902864508,17716.7854595706,11465.0645980695,23583.5761585149,25522.3900726691,0.0593418883435145,0.0454764103470166,0.0290674102460299,0.472190691802779,0,-9999,40.6824317675909,0,16.4626874872763,0,57.4717842416052,7.00695463370212e-27,0.00799421073148556,0.461780796732307,0.570615370372266,0.405132684355136,0.751545691197531,0.931947590682374,46553.9,1
"95%PI",0.114979772578483,32349.9943056575,1.02330151006383,1.83260085931687,16631.2187759613,0,0.962845205003396,1102.93971765201,1968,0,16631.2189091178,20774.4285060462,14758.1078331655,26133.9192546138,30359.7781803102,0.114632653058274,0.0744687430170029,0.079373933012383,0.551533298420977,0,-9999,41.7903024579167,0,18.6743420093439,0,60.222894340436,1.09728954105701e-25,0.0348253535173143,0.605545443326386,0.779384672743592,0.522800158505849,0.958947586586958,0.998623923126165,874041.45,1
"min",0.0230329722412862,24763.9893129578,1.00767932310253,1.4626139361088,12038.7119542575,0,4.12059016525745e-05,159.055566564272,1926,0,12038.6162759599,15648.5830001731,10083.1332078592,20537.5928572175,24729.1299056582,0.0221740643441093,0.0204556587832907,0.0141211380513673,0.431086101414631,0,-9999,40.4253173115764,0,16.3090633414117,0,57.2459471933588,3.74770973607178e-29,0.00603122924435424,0.329247063582281,0.36032761914626,0.314551209164036,0.420068033379333,0.526030011605575,86,1
"max",0.117999812737107,52479.9820776154,1.02965194208828,2.04004288905456,18953.7904750323,0,0.99995815125294,4679.1725002812,1968,0,18953.7904755085,22741.5969667747,17613.1899645951,27598.2461392263,33216.5912983811,0.117748351851853,0.0858365109935584,0.0996314421627316,0.6202222047596,0,-9999,45.2888753963742,0,24.4794846459208,0,65.4538227804684,1.37531133575594e-25,0.103791518707802,0.68729855076186,0.855257467475001,0.59955851532656,0.979942831851924,0.999432942355369,918688,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
