"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.093","0.096","0.055","0.082","0.107","0.117","10,000"
"2","$K$","23,339","23,152","22,246","22,647","23,825","25,501","10,000"
"3","$N_{min}$","   463","   358","   200","   273","   537"," 1,275","10,000"
"4","$N_{2006}$","13,194","13,125","11,286","12,442","13,873","15,449","10,000"
"5","$N_{2008}$","15,007","14,969","13,265","14,348","15,625","16,987","10,000"
"6","$N_{2012}$","18,393","18,408","16,918","17,877","18,898","19,829","10,000"
"7","$N_{2019}$","21,897","21,898","21,140","21,713","22,109","22,555","10,000"
"8","$N_{2030}$","23,152","23,078","22,228","22,616","23,633","24,402","10,000"
"9","Max depletion","0.019","0.015","0.009","0.012","0.023","0.05","10,000"
"10","Depletion in 2006","0.565","0.564","0.496","0.538","0.59","0.645","10,000"
"11","Depletion in 2008","0.643","0.642","0.571","0.615","0.67","0.725","10,000"
"12","Depletion in 2012","0.789","0.793","0.69","0.76","0.823","0.87","10,000"
"13","Depletion in 2019","0.94","0.951","0.838","0.923","0.967","0.98","10,000"
"14","Depletion in 2030","0.992","0.997","0.956","0.992","0.999","0.999","10,000"
