"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.107","0.109","0.084","0.102","0.114","0.118","10,000"
"2","$K$","26,728","26,621","25,040","25,928","27,331","29,322","10,000"
"3","$N_{min}$","   275","   257","   177","   216","   305","   497","10,000"
"4","$N_{2006}$","12,404","12,363","10,807","11,797","12,971","14,245","10,000"
"5","$N_{2008}$","14,660","14,627","12,989","14,024","15,256","16,529","10,000"
"6","$N_{2012}$","19,367","19,357","17,696","18,761","19,952","21,084","10,000"
"7","$N_{2019}$","24,922","24,913","23,759","24,445","25,379","26,148","10,000"
"8","$N_{2030}$","26,620","26,546","25,006","25,873","27,221","28,931","10,000"
"9","Max depletion","0.01","0.01","0.007","0.008","0.011","0.018","10,000"
"10","Depletion in 2006","0.465","0.462","0.403","0.44","0.487","0.538","10,000"
"11","Depletion in 2008","0.549","0.548","0.478","0.522","0.575","0.629","10,000"
"12","Depletion in 2012","0.726","0.727","0.636","0.697","0.756","0.806","10,000"
"13","Depletion in 2019","0.933","0.94","0.859","0.921","0.952","0.968","10,000"
"14","Depletion in 2030","0.996","0.998","0.984","0.996","0.998","0.999","10,000"
