"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI"
"1","$r_{max}$","0.109","0.111","0.087","0.092","0.118","0.117"
"2","$K$","22,592","22,485","22,211","22,229","23,571","23,334"
"3","$N_{min}$","   267","   253","   185","   194","   456","   396"
"4","$N_{2008}$","14,700","14,647","13,069","13,276","16,509","16,227"
"5","$N_{2018}$","21,576","21,580","21,097","21,182","22,052","21,968"
"6","Max depletion","0.012","0.011","0.008","0.009","0.019","0.017"
"7","Depletion in 2008","0.651","0.649","0.578","0.588","0.731","0.719"
"8","Depletion in 2018","0.955","0.958","0.912","0.924","0.977","0.975"
