"","N_1901","N_1902","N_1903","N_1904","N_1905","N_1906","N_1907","N_1908","N_1909","N_1910","N_1911","N_1912","N_1913","N_1914","N_1915","N_1916","N_1917","N_1918","N_1919","N_1920","N_1921","N_1922","N_1923","N_1924","N_1925","N_1926","N_1927","N_1928","N_1929","N_1930","N_1931","N_1932","N_1933","N_1934","N_1935","N_1936","N_1937","N_1938","N_1939","N_1940","N_1941","N_1942","N_1943","N_1944","N_1945","N_1946","N_1947","N_1948","N_1949","N_1950","N_1951","N_1952","N_1953","N_1954","N_1955","N_1956","N_1957","N_1958","N_1959","N_1960","N_1961","N_1962","N_1963","N_1964","N_1965","N_1966","N_1967","N_1968","N_1969","N_1970","N_1971","N_1972","N_1973","N_1974","N_1975","N_1976","N_1977","N_1978","N_1979","N_1980","N_1981","N_1982","N_1983","N_1984","N_1985","N_1986","N_1987","N_1988","N_1989","N_1990","N_1991","N_1992","N_1993","N_1994","N_1995","N_1996","N_1997","N_1998","N_1999","N_2000","N_2001","N_2002","N_2003","N_2004","N_2005","N_2006","N_2007","N_2008","N_2009","N_2010","N_2011","N_2012","N_2013","N_2014","N_2015","N_2016","N_2017"
"mean",22585.5199363199,22585.5199363199,22585.5199363199,22585.5199363199,22405.5199363199,22163.7808791949,22030.1323796008,20907.6497301769,19442.2429630472,16688.5050694538,11155.8402850948,6313.11346003299,4086.25007993623,3524.08832326193,2747.76757515092,1347.55445820686,1046.59962857289,1038.97111705454,1022.52647506776,1022.30744796614,1031.0791668619,1133.82098328649,892.753523178152,856.489536662333,683.290977384913,503.244541465573,550.58397701564,610.06903202373,657.024502196352,677.087944975574,643.332442787227,694.896882061844,747.071830780194,695.926027744304,714.210712479583,743.483788964879,718.942801208491,554.729154095189,614.625949895916,679.034604212436,716.448556579312,780.93032553476,865.428850382429,955.125654105198,998.589277557481,868.793503816303,932.889077889932,998.968946469526,1059.25242351719,1091.11288308113,511.463994107486,521.740441647637,544.129506419123,462.951009854197,468.921216879492,423.529813933735,302.179206544582,273.586248643802,286.849686398156,302.527015135774,307.879312374669,327.779224343534,338.80933615172,363.000739388888,401.784774305084,392.749278237578,434.681308163893,292.13002372995,322.988388914438,357.139957561159,394.939111419816,436.778595245155,481.093674605259,532.148815160912,588.67268022719,651.255097541168,720.549665518261,797.280574810174,882.250117042173,976.34693101699,1080.55503177043,1195.96365811827,1323.77795744854,1465.3304992271,1622.09356639289,1795.69211005386,1987.91715862811,2200.73933530597,2436.32194030094,2697.03277362555,2985.45347927758,3304.38464288226,3656.84412233951,4046.055076669,4475.41882095456,4948.46592542897,5468.77688611234,6039.86131269254,6664.98219122696,7346.91001702571,8087.5916479241,8887.72258537891,9746.22196351518,10659.6303958959,11621.4850822095,12621.7741089271,13646.6249734847,14678.4209615662,15696.5301365303,16678.7401245476,17603.3059659607,18451.2809806973,19208.6160809195,19867.5002890472,20426.621617623,20890.3715571096,21267.3284166972
"median",22474.0985345411,22474.0985345411,22474.0985345411,22474.0985345411,22294.0985345411,22053.3752216328,21921.8688854351,20801.8455058661,19343.8496704351,16602.0400125399,11086.6856841062,6261.5936497739,4045.248846217,3489.41503629896,2718.60865834854,1322.52099796132,1022.68268225329,1015.54027582043,999.6038551095,999.895698890859,1009.21998969699,1112.58092592956,872.45532332151,836.664213016159,663.842979705843,483.767212503596,530.644881685714,589.74185069549,636.41141568496,656.289637216136,622.372549232451,673.681606709092,725.700856258115,674.521175361359,692.669791717569,721.839190443733,697.25627390541,532.936344258107,592.316819113558,656.225701119084,693.227199712541,757.578876649266,842.100103177405,932.056384843565,975.996118299833,846.776668841884,911.389597157888,978.061244379997,1038.82650324826,1071.25057461055,492.69427693975,502.650404062962,524.741219138651,443.28193060765,448.783549403229,402.986212085747,280.74238227058,251.292130749232,263.515134525035,277.938729298474,281.863122047859,300.312134278474,310.198098435269,333.17035425298,370.215592728758,359.750484120825,399.70985212405,255.656579380062,283.941024468454,315.477133525224,350.839206787743,389.394258988038,430.271441713817,478.652295219219,531.561198281807,589.920750128031,655.320372590549,729.974920293341,811.34945295509,903.269474822849,1005.89893871149,1118.36765541183,1244.3957423135,1384.38906326278,1540.13915045207,1713.68275945561,1902.06014824894,2112.22013348708,2343.40323553383,2602.94063814841,2899.95430498771,3225.08671302427,3581.14855392155,3968.26124338971,4397.99096321664,4881.70306977919,5397.5070118694,5964.92192574362,6587.36579359205,7266.27555490584,8012.50132135793,8817.55050808609,9695.62038463161,10617.7345741976,11565.5037597932,12564.5271001191,13615.4003643101,14659.1654483117,15698.2476262212,16665.4914103648,17588.4947669201,18454.8004219791,19219.3001308962,19883.7924543418,20450.1054649405,20916.2517018194,21286.3846206048
"2.5%PI",22209.7909017326,22209.7909017326,22209.7909017326,22209.7909017326,22029.7909017326,21791.7752588001,21665.7431904916,20551.6287300115,19112.4249639867,16400.4679319983,10928.4698733793,6147.46585007265,3957.02326095259,3416.6129066156,2659.5015471371,1273.82975683998,976.7099188831,970.683423063449,955.948477677641,957.481137963622,968.193484280253,1073.16518622954,835.473977005245,800.838856384538,629.134424446269,449.232675337613,495.148290059565,553.456669455455,599.605437845143,619.212742837622,585.130694358503,636.064697700431,688.055813176356,637.100016835187,655.098297941967,684.214211133347,659.755607208979,495.4194708405,553.711494702781,616.82221868274,653.45879279931,717.407496023546,801.88192118693,892.257584494395,937.256731178261,809.603620234165,874.800185560038,942.603861873862,1005.52891923167,1040.92941960675,465.450968002413,475.22979374234,496.994353208973,415.492113986156,420.272723691487,373.614496839088,250.048243319812,218.368723318257,228.122978613263,240.027596753984,241.213844784478,256.336272300058,262.22168608363,280.812924454681,313.849977539825,298.755351693095,333.89705435681,184.066169987227,205.618746556336,229.68040942004,256.402040531533,286.113848044247,317.276339560776,354.05424289141,395.094898596173,441.176861898089,493.029461746915,550.966167425674,615.708948361217,686.602269681244,765.688463896909,855.911116708198,956.755052023314,1069.46612576307,1192.67068352135,1330.60028936791,1486.80737663104,1655.62578920856,1845.94776321733,2058.02210927917,2294.27878746573,2558.43843029698,2858.21264717964,3192.5281768697,3562.60875839464,3963.81580398366,4411.45753735119,4903.53681412054,5448.72559670966,6051.01342604794,6711.97064647091,7436.73733060548,8230.35534423784,9087.54063776118,10007.5392268008,10973.8868710838,11983.9817800511,13034.2064936674,14075.9597735583,15119.2820052712,16121.304300011,17077.8190208362,17948.0173881636,18765.9330336892,19488.125748828,20114.6396064287,20637.534614484
"97.5%PI",23578.6744025465,23578.6744025465,23578.6744025465,23578.6744025465,23398.6744025465,23147.6678094176,22994.6479987772,21850.197690185,20317.8641722941,17456.6900444149,11768.0759258962,6766.65750030895,4445.45936703335,3826.65217756796,3000.77760904138,1563.15840995682,1252.27348927677,1240.38620650963,1219.43533875165,1214.60918281652,1218.24833243973,1315.27081736371,1065.57566810679,1025.21640954948,848.347684619242,668.121173032071,719.247250485352,781.818849908,830.947068641393,852.538867738318,819.692403361882,872.93349493098,925.78847670566,874.420819878469,893.793289526679,923.870994094279,899.57550369916,735.958989777854,800.204945277662,868.132040508812,907.499821833626,973.247050020722,1058.44445929794,1146.55252847004,1186.39958978369,1051.59664088096,1113.08588999901,1175.48814297321,1229.74871018087,1254.41054853863,665.317857673967,678.356767054428,703.415904480355,624.923441121431,635.636376394585,595.515538644571,479.623402470972,460.583272856325,484.862061587155,512.736827415343,530.089122991341,563.022525233454,587.366901614226,626.237552973057,680.744882321817,688.865217250324,749.138178072787,626.500565203273,681.176603979859,740.610112478105,805.500061292588,875.474657636053,948.772055713098,1030.7901499593,1119.67292919314,1216.68045450141,1322.71857156561,1440.30344803454,1563.43340761897,1700.59577639375,1850.10747930545,2015.18150882866,2196.19574582892,2394.03958240438,2608.60095612388,2835.19556328263,3083.39173174436,3355.14352526854,3656.26838413383,3978.31290671571,4330.9973086607,4715.14957841104,5122.97641869577,5576.78220159804,6061.97440100132,6586.1475229072,7171.54122278475,7785.67523814746,8446.73242478253,9149.35698050414,9930.67555855444,10751.8917811863,11632.2919348131,12556.9393596272,13505.2483797848,14525.2035393792,15534.1090944833,16529.0850622337,17439.7306603409,18309.5382998658,19088.011301426,19770.8496136055,20353.4143974332,20835.7611635216,21230.0787211069,21548.6622067767,21804.4670178979
"5%PI",22217.0595289206,22217.0595289206,22217.0595289206,22217.0595289206,22037.0595289206,21798.9680555418,21672.7837539394,20558.5067023865,19118.7808271743,16405.99622414,10932.7959604611,6150.5694585038,3959.40997021808,3418.57332051139,2661.08315041834,1275.1212639128,977.940967972882,971.902006126694,957.151775492853,958.632051604448,969.286056230039,1074.19040340456,836.402718014593,801.708848377335,629.939938912227,450.003218770486,495.957337287473,554.288480150849,600.501252588655,620.156512900439,586.096579279606,636.990040692515,688.921727528374,637.971240368129,656.02971136332,685.247331922804,660.880478459397,496.715243557015,555.222062952553,618.4799306556,655.083672133212,719.059363456268,803.654507827721,893.977943727141,939.133742153038,811.437112712049,876.615696655046,944.649750224137,1007.49793048353,1042.63242876146,467.007380224278,476.670752268626,498.313615949583,416.642652672574,421.598307532341,374.912564252547,251.937289777917,220.60034280768,230.327475012353,242.353454646183,243.790462529036,259.396076184967,265.832703258997,285.024536439964,318.333577394413,303.78444307442,339.228542088984,189.580277194292,211.894042554963,236.559608608765,264.125837219597,295.079867778163,327.730795685803,366.215530250057,408.991058696643,456.495890976581,509.499757845771,567.862666446286,634.026526312407,707.895927216893,790.560260889354,883.072826470815,985.940087156599,1100.17950752942,1228.05255416024,1370.93820720421,1528.4297859497,1705.33637732005,1902.62099612601,2122.5870476555,2369.36895900254,2643.29442047374,2945.31054273365,3286.27809708155,3662.88257481846,4079.65760088032,4533.66251131837,5039.11899320095,5613.08032614355,6245.5406905598,6928.44703490935,7667.49613952375,8463.59786933522,9319.29564683076,10259.3162556396,11237.688941357,12238.6246191189,13272.6075097142,14315.4216503489,15358.8809335171,16359.9167448686,17299.7027399317,18187.7744296092,18975.7021882514,19675.2580298985,20269.9154781574,20768.4365472236
"95%PI",23336.6356991096,23336.6356991096,23336.6356991096,23336.6356991096,23156.6356991096,22907.7388672709,22759.2263050032,21620.0491495343,20103.3678488553,17267.4866322674,11615.5751857283,6651.42315307476,4352.48599239806,3747.08502208598,2932.81345433584,1504.06802020986,1195.54311211513,1184.67962436261,1164.81730728497,1161.12861995922,1166.07873089612,1264.34848641504,1016.63899290554,977.186289036284,801.103274380523,620.890304381713,671.048184567941,732.912057445969,781.483302034291,802.576201422319,769.578410434202,822.461198103971,875.311695539109,824.044245547162,842.87321261836,872.574160926223,848.006715656617,684.341740611228,747.284918954267,814.127068745399,853.035191797062,918.64482996914,1002.91058064323,1090.9029246393,1131.2463548621,997.515101731062,1059.45632467582,1122.10929640719,1177.4269222306,1204.27163323184,616.960524060874,628.500576298176,651.933388526475,571.63382285528,580.349330440898,538.189594782353,420.907153252703,398.456001892313,419.350930916151,443.360494892687,457.794868804185,486.109093702837,506.981957395941,542.07649265272,591.191296810327,593.543114932284,648.147300571462,519.16534405218,567.596829517476,620.587381138869,678.249709807948,739.277205244396,805.231104321021,879.24582518258,960.458333269903,1048.18542960378,1145.27547987538,1254.53477559785,1369.0265039178,1499.05714686369,1640.05734353257,1791.4010672394,1957.08033278901,2138.51209435031,2339.75264677331,2551.92702668891,2790.86143725171,3051.84254613547,3331.82817658416,3636.5689663114,3981.89285423852,4355.27688822849,4759.17972404144,5193.19906371463,5670.89848102236,6189.59822840615,6761.84050201631,7370.65105565942,8045.95106411631,8774.87062412572,9554.73997072137,10384.9118730518,11258.0234054921,12194.6181297945,13160.722454903,14170.835090134,15173.9723599939,16173.1870887637,17142.1856067085,18046.0630762318,18867.4618801151,19577.1402446817,20192.3548782347,20697.0216428343,21107.6410878093,21436.7053312449,21718.9174056769
"min",22202.6271759214,22202.6271759214,22202.6271759214,22202.6271759214,22022.6271759214,21784.6851495317,21658.8007996877,20544.8440059798,19106.146630017,16394.9917095387,10924.1573861349,6144.33137662295,3954.57136681577,3414.55954533828,2657.80090957223,1272.39115383724,975.339672262662,969.339592614531,954.63301317018,956.194673447048,966.940231264025,1071.95112525822,834.323998717442,799.714593585564,628.027320554821,448.103992494086,493.964295013719,552.233120489646,598.373198156101,617.953661318182,583.84268202277,634.709911273814,686.574421711116,635.552973024654,653.516874557007,682.598541957658,658.108428663607,493.731378331514,551.940657022455,614.971403848938,651.425434093633,715.172221105541,799.424670622661,889.594865110354,934.376068154731,806.425564802749,871.419737674776,939.062439369077,1001.66320536668,1036.62670612585,460.701433522888,469.984976969887,491.362125312128,409.257442654691,413.48057028484,366.201225802245,242.183827612337,209.566565660074,218.126869250811,228.690366762886,228.491808285587,242.269980669097,246.662814934318,263.570441634485,294.459443340682,276.968204839698,309.427248711367,156.689992994861,175.05352134528,195.569147332503,218.48906375628,244.095007238211,270.70171497245,302.426410481777,337.868773679103,377.464330352642,421.6995688949,471.117876567567,526.326154881347,588.002186118472,656.90282802459,733.873117717146,819.85636807613,915.905339061918,1023.19456070016,1143.03387116312,1276.88320846879,1426.36865199519,1592.86821147766,1777.41888440511,1983.23882008661,2212.72851023151,2468.5365242547,2753.57474054644,3071.02941822808,3424.36511877052,3817.31715116471,4253.86639799679,4738.18797818862,5274.56215169165,5867.23222902718,6520.19033950857,7236.86857888644,8019.71203435833,8869.61456774257,9785.21286370591,10762.0654878491,11791.7976384252,12861.3698798674,13952.7174865199,15011.1718717867,15960.5122280385,16620.1812792288,17231.5097040293,17831.9659429771,18417.7404895361,18985.1836584531
"max",25235.3508349394,25235.3508349394,25235.3508349394,25235.3508349394,25055.3508349394,24792.1089290613,24611.9959803705,23434.1889412018,21806.6104464446,18789.8604203373,12875.5182879707,7643.36492466978,5181.97170174693,4477.96757343361,3579.6340131554,2089.19643963301,1763.58094693001,1745.13558454097,1717.62196381888,1706.51461115409,1703.7637667238,1793.85354681925,1534.16107162875,1490.41843205174,1311.13804096611,1133.44958556412,1192.43574634557,1261.85052529819,1316.29889156836,1341.91019453094,1313.00895979886,1373.68981765301,1433.49261230832,1387.8912447721,1414.54806029018,1451.80772708475,1434.30735871139,1278.75497164363,1355.84701058238,1435.57670746783,1486.10062991685,1562.66141755596,1656.8222045476,1752.63713692179,1798.20149094355,1668.49842721858,1739.01422215503,1808.76138810886,1869.69147540047,1899.27370413443,1315.6283886606,1349.93887683991,1397.31322446148,1341.53660405412,1378.40557039216,1365.49196054726,1280.80173510708,1297.0169265737,1359.20773007542,1426.13955478925,1485.09612935363,1561.59654836475,1631.69337096325,1717.99974596275,1821.48615868332,1879.17912411728,1992.32986770279,1923.25701023627,2039.04833914952,2161.77125487905,2291.83199725248,2429.65870467969,2573.70216970086,2728.31761651814,2892.11519508358,3065.61695713301,3249.36954062724,3443.9441781071,3649.93639870692,3867.96534468166,4098.67260780648,4342.72047320373,4600.78943795462,4873.57484930359,5161.78248260252,5466.12285290718,5787.30402729136,6126.02267903943,6482.95310226248,6858.73388954068,7253.951970608,7669.12372311421,8104.67290515183,8560.90523341427,9037.9795521388,9535.87571905742,10054.3595879444,10592.9458032137,11150.8595449972,11726.998867738,12319.8998403916,12959.2371793667,13816.6016201645,14683.841218059,15570.4682905357,16442.0921895305,17285.54703201,18088.0847259571,18880.9476744183,19597.5177580942,20204.5271199488,20705.155805201,21177.9935609191,21589.3861528557,21937.43364821,22228.2480160925,22479.4284214728
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
