"","r_max","K","catch_multiplier_1","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2018","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2018","draw","save"
"mean",0.108832762247457,22592.3959950546,1,-999,14700.1198442052,0,-999,266.816601900935,1962.3658,0,14700.1357393766,21576.0305913307,0.0840256630449829,0.364020439974006,0,-9999,41.7745446736304,0,17.6426875449979,0,59.4172322186283,2.31664680561567e-26,0.0117635532322761,0.650771214555694,0.955230026255227,32720.5445,1
"median",0.11114938850631,22484.723739577,1,-999,14646.8058639439,0,-999,252.781686836474,1958,0,14646.8168307554,21580.1291434866,0.0851541595852863,0.363754505884915,0,-9999,41.6037649438381,0,17.3711368790687,0,59.1076944587306,2.13724573232295e-26,0.0112438457290602,0.648738074451557,0.958206749042554,33497,1
"2.5%PI",0.0872909231880098,22210.8875204143,1,-999,13069.3412451481,0,-999,185.139011351123,1958,0,13069.278851028,21096.9421526832,0.0658971227942036,0.31279560129291,0,-9999,40.4290761395122,0,16.9955808784411,0,58.1798783065748,8.4219520984353e-28,0.00832703586563983,0.578366250186818,0.911945311068604,1029.3,1
"97.5%PI",0.117771579025779,23571.113794165,1,-999,16508.7709318555,0,-999,455.571746097047,1968,0,16508.8515929063,22052.0347304068,0.0955056282018564,0.416800752003309,0,-9999,44.1195780610529,0,19.8153885826165,0,62.3415421759529,5.40505221352059e-26,0.0193564565749843,0.731052396352931,0.977300075826834,64056.025,1
"5%PI",0.0921604758394649,22228.5005514624,1,-999,13274.9613010092,0,-999,194.394818506587,1958,0,13275.5264244383,21182.3101734296,0.0696635482554739,0.320866342825893,0,-9999,40.561527426839,0,17.0144761450565,0,58.2408201568547,1.62553562186481e-27,0.00872360476255329,0.588427575916512,0.923517650037038,3068.6,1
"95%PI",0.117338388605975,23333.6721203536,1,-999,16226.5071530128,0,-999,395.881844132593,1968,0,16226.6154468133,21967.7592437284,0.0942838451728052,0.408849328792612,0,-9999,43.5875520459113,0,19.2153330547109,0,61.6839602902119,5.0854944461639e-26,0.0169869655230153,0.719283199473253,0.975210145254051,62625.05,1
"min",0.0518914300114848,22201.7896008857,1,-999,11587.8350215498,0,-999,146.938306928636,1926,0,11587.8229618861,20366.3120546978,0.0407921250203109,0.267454719871099,0,-9999,39.6927908130968,0,16.9830672186482,0,58.100723291999,2.38513468707753e-30,0.00661785283453925,0.516436546039645,0.791888737397215,3,1
"max",0.117994693091605,25718.6535088729,1,-999,18590.827738517,0,-999,1366.60890384384,1968,0,18590.8276370156,22755.5196843521,0.103212331371325,0.479765540322497,0,-9999,48.5809800881929,0,25.7599980118899,0,68.2082971945064,5.850277674514e-26,0.0531368760566085,0.831802638246777,0.989617823439259,65550,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
