"","r_max","K","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2018","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2018","draw","save"
"mean",0.0871543165643827,30743.5135464358,1.09474010872997,1.33478178023952,1.01844897232866,1.71098602692056,15236.1208188842,0,0.513654975502798,706.845181438107,1956.2185,0,15236.1248472914,24907.0179170127,0,-9999,0,-9999,0,0,17.3177031256482,0,17.3177031256482,4.0450426889413e-08,0.0202469838931597,0.503096397393264,0.826730036145762,156567.2787,1
"median",0.091624998700805,29602.3468338519,1.08872951474176,1.33472976398305,1.01845466868995,1.71198995700558,15181.2859511701,0,0.518960120622069,393.610764117268,1958,0,15181.1901007463,25037.675126366,0,-9999,0,-9999,0,0,17.039625311546,0,17.039625311546,3.97909908416253e-08,0.0133329058234271,0.505975161244026,0.861292135071465,158022.5,1
"2.5%PI",0.0320624004279496,25828.8302011493,1.00413943770685,1.25437581090763,1.0129188276117,1.56770118773422,13328.5708712501,0,0.0268982766894624,188.383514601336,1926,0,13328.5039467296,21246.0536610572,0,-9999,0,-9999,0,0,16.315891405799,0,16.315891405799,2.23273482229477e-09,0.0067246715271823,0.377962369287253,0.515932996151551,7680.625,1
"97.5%PI",0.116908563648723,42009.2055588365,1.31872448124418,1.41566017229366,1.02397803629826,1.85373533233134,17416.9120186678,0,0.976379629172152,3010.64779928478,1968,0,17416.9121690688,27438.2570157734,0,-9999,0,-9999,0,0,19.9200386936328,0,19.9200386936328,8.20537426821631e-08,0.0721514841839373,0.609006319367951,0.947664833157956,302525,1
"5%PI",0.0433577720279107,26252.9805632243,1.00846742581377,1.25895114440646,1.01385233499811,1.5905104898978,13608.5992229986,0,0.0534302731277421,200.38032345337,1926,0,13608.612605328,22269.5222101985,0,-9999,0,-9999,0,0,16.359802999983,0,16.359802999983,4.43071576021733e-09,0.00718709507966571,0.404472989807601,0.600557802303991,15410.35,1
"95%PI",0.115784531128989,38220.7113785044,1.19094574832832,1.4117175993236,1.02300473530144,1.83053077895256,17045.9031938924,0,0.953313846373931,1907.55504924436,1968,0,17045.9034184295,26965.1412420993,0,-9999,0,-9999,0,0,19.2347047908482,0,19.2347047908482,7.85285959040056e-08,0.0520461006739717,0.592860418753823,0.940045173626119,295146.35,1
"min",0.000122422649059445,24493.6572925481,1.00005208239128,1.25000972419279,1.00721921048638,1.45144532666169,11418.149454752,0,0.000187820987775922,159.627676052688,1926,0,11418.2331823638,16391.061270237,0,-9999,0,-9999,0,0,16.205033383359,0,16.205033383359,2.80739890992602e-11,0.00469543886884854,0.170977646584291,0.173311870572504,107,1
"max",0.117999129925389,105540.796546775,1.42806622437683,1.41989610462915,1.02828810105631,1.99494137227748,19701.2618400622,0,0.999782919883728,17233.6883541805,1968,0,19701.261840062,30615.6595712236,0,-9999,0,-9999,0,0,24.2961776231024,0,24.2961776231024,9.16734176692353e-08,0.220641711600659,0.74725499528995,0.982292378758308,310158,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
