"","r_max","K","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2018","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2018","draw","save"
"1",0.113617760684807,27907.2731168745,1.08239624414292,1.30047740720212,1.01872154292201,1.62711144602352,15175.7396674948,0,0.808911063941196,225.944568710932,1968,0,15175.4050103755,25952.8896971381,0,-9999,0,-9999,0,0,16.4750922660918,0,16.4750922660918,6.99774866375109e-08,0.00809626106300985,0.543779571254475,0.929968671193653,107,1
"2",0.0550400689765811,34336.4758738001,1.08331811736104,1.26322102726903,1.01659885585673,1.72042601717683,15817.8943833336,0,0.581782263936475,1333.14818971576,1926,0,15817.8943898084,23610.7413918286,0,-9999,0,-9999,0,0,17.572997822847,0,17.572997822847,2.3342319813483e-08,0.0388260051676706,0.460673205018047,0.687628557997834,117,1
"3",0.0703522519068792,29486.6637877556,1.05870275320426,1.29540943021653,1.0216948283858,1.6176070058664,14497.592617874,0,0.20818702201359,738.362585997957,1958,0,14497.5931748085,22946.4201529092,0,-9999,0,-9999,0,0,17.8680260088362,0,17.8680260088362,1.73786045858051e-08,0.025040560414453,0.491666106384969,0.778196554146548,133,1
"4",0.0485812648502178,33663.3916699088,1.1401839691323,1.39244709786959,1.01659670748559,1.74149983189811,17204.9612769624,0,0.00467013218440115,1683.007140915,1926,0,17204.9612757615,24010.8497479431,0,-9999,0,-9999,0,0,18.7530888832244,0,18.7530888832244,7.17194547851372e-09,0.0499951745034478,0.511088170926662,0.713262941042451,176,1
"5",0.0482081142216921,35060.7616569134,1.05219325484815,1.39352357919561,1.01956704501054,1.70406524099392,15874.8220052803,0,0.582154831616208,1617.18957588,1926,0,15874.8237739923,22815.462707473,0,-9999,0,-9999,0,0,17.8967861270844,0,17.8967861270844,1.68859127606438e-08,0.0461253406787049,0.452780345428181,0.650740646502018,226,1
"6",0.0681763264378533,30440.8474267721,1.10629581649513,1.35358825866133,1.01755590009958,1.73531227101897,15532.2092995048,0,0.0160688194446266,842.808950727194,1958,0,15532.2093261813,23956.4151484356,0,-9999,0,-9999,0,0,17.2171857058785,0,17.2171857058785,3.33174115953351e-08,0.0276867768794755,0.510242343402076,0.786982530826866,230,1
"7",0.101526725345757,29961.9473436065,1.14343204531082,1.31023678847589,1.02273459728857,1.6758225916816,14954.2658403516,0,0.63871010299772,305.772185592834,1958,0,14954.2655257318,26404.3145664851,0,-9999,0,-9999,0,0,16.3934443871312,0,16.3934443871312,7.59307279132705e-08,0.0102053508767708,0.499108597790218,0.88126163041667,240,1
"8",0.103731500152498,27069.1803613822,1.04371199956808,1.30874575849855,1.01897530821228,1.61433568170854,15632.2598274564,0,0.501493888441473,300.268841899511,1958,0,15632.2551816008,25069.7985456653,0,-9999,0,-9999,0,0,16.8004530323221,0,16.8004530323221,5.05424109501542e-08,0.0110926462453176,0.577492741668023,0.926138073298693,292,1
"9",0.101501551069785,27970.2974970912,1.07207176042991,1.26776236244943,1.0163643535155,1.60397807728379,16695.1894233935,0,0.551845087204129,326.687131681496,1958,0,16695.1573391825,26010.7370392555,0,-9999,0,-9999,0,0,18.1748513045192,0,18.1748513045192,1.27868146230661e-08,0.0116797875215832,0.596888801090468,0.929941379492315,323,1
"10",0.105883133233991,29202.6324689292,1.13656284864078,1.26623345855856,1.01907910595376,1.62976441766815,15514.1899612499,0,0.583564616274089,282.944762325478,1958,0,15514.1897771385,26558.3797947888,0,-9999,0,-9999,0,0,16.7237770161779,0,16.7237770161779,5.45702477249179e-08,0.00968901562646872,0.531259974375431,0.909451564787733,333,1
"11",0.111160267488565,28078.819316742,1.11577959965837,1.29842211617157,1.01449065953317,1.60857340163342,14417.4503886607,0,0.482186428504065,231.461799252733,1968,0,14417.6174892717,25597.9379963475,0,-9999,0,-9999,0,0,16.3534261648056,0,16.3534261648056,7.90309598191658e-08,0.00824328817539432,0.513469506200895,0.911645810587366,392,1
"12",0.104757819684688,28956.6492757417,1.08666955889581,1.28827293392271,1.02118912813704,1.7804749778103,13332.965216483,0,0.735483675030991,264.455903382954,1968,0,13332.9593274999,25012.9568621583,0,-9999,0,-9999,0,0,17.7029902517872,0,17.7029902517872,2.04969395582737e-08,0.00913282130348213,0.460445516348797,0.863807018000276,412,1
"13",0.08510788880568,28850.6843341078,1.08978477826193,1.40769108524779,1.01477716038049,1.73922354134394,14766.3782406598,0,0.115524474298581,465.203905717501,1958,0,14766.4141621739,24354.5197563945,0,-9999,0,-9999,0,0,16.8830609683914,0,16.8830609683914,4.65350070229411e-08,0.0161245362616071,0.511821972441632,0.844157437458155,437,1
"14",0.0904768904550001,30444.7149559113,1.09871211466536,1.31033559536561,1.01714425513401,1.74189244817778,15806.0070092324,0,0.727227632422,415.515771845772,1958,0,15806.0170878039,26330.3997222527,0,-9999,0,-9999,0,0,16.9506077034591,0,16.9506077034591,4.34955282294446e-08,0.0136482070023485,0.519171130709993,0.864859459527976,451,1
"15",0.113979534378275,26407.129575261,1.04610035191025,1.319736132049,1.02276939301894,1.74034543617202,13566.9815157307,0,0.388394512468949,196.927460032203,1968,0,13566.3302666466,24228.5291668599,0,-9999,0,-9999,0,0,17.2302721307317,0,17.2302721307317,3.28842462667245e-08,0.00745735955401569,0.51373740670989,0.917499537305179,497,1
