"","r_max","K","catch_multiplier_1","catch_multiplier_2","sample.N.obs","add_CV","Nmin","YearMin","violate_MVP","N2008","N2018","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2018","draw","save"
"1",0.0938176896385848,26799.0784878765,1.03129808964208,1,16177.4920988828,0,389.699063386613,1958,0,16177.4924381724,24620.9751806893,0,-9999,0,-9999,0,0,17.3296277695489,0,17.3296277695489,2.97740755647995e-08,0.0145415098344858,0.60365853421008,0.91872469390421,2,1
"2",0.0938176896385848,26799.0784878765,1.03129808964208,1,16177.4920988828,0,389.699063386613,1958,0,16177.4924381724,24620.9751806893,0,-9999,0,-9999,0,0,17.3296277695489,0,17.3296277695489,2.97740755647995e-08,0.0145415098344858,0.60365853421008,0.91872469390421,2,1
"3",0.0770717205675319,29940.6827495075,1.0916524582915,1,16214.4398433156,0,638.811137028274,1958,0,16214.4204928711,25195.4015987571,0,-9999,0,-9999,0,0,17.3903145669164,0,17.3903145669164,2.80209170849812e-08,0.0213358907802055,0.541551461218361,0.841510589773428,14,1
"4",0.0770717205675319,29940.6827495075,1.0916524582915,1,16214.4398433156,0,638.811137028274,1958,0,16214.4204928711,25195.4015987571,0,-9999,0,-9999,0,0,17.3903145669164,0,17.3903145669164,2.80209170849812e-08,0.0213358907802055,0.541551461218361,0.841510589773428,14,1
"5",0.0770717205675319,29940.6827495075,1.0916524582915,1,16214.4398433156,0,638.811137028274,1958,0,16214.4204928711,25195.4015987571,0,-9999,0,-9999,0,0,17.3903145669164,0,17.3903145669164,2.80209170849812e-08,0.0213358907802055,0.541551461218361,0.841510589773428,14,1
"6",0.112519495606422,26115.7531251044,1.05759472761303,1,12980.5617794627,0,197.267622639238,1968,0,12980.5613989516,23662.7302191263,0,-9999,0,-9999,0,0,18.565203966146,0,18.565203966146,8.65434814874882e-09,0.00755358735757114,0.49703952004638,0.90607114050178,35,1
"7",0.0739292887793854,30813.4110607077,1.11083074289374,1,14079.383123666,0,630.129565772545,1958,0,14079.3828301705,23368.5463583294,0,-9999,0,-9999,0,0,18.1188438330234,0,18.1188438330234,1.35234065674224e-08,0.0204498477799514,0.456923863522661,0.758388816878771,48,1
"8",0.0739292887793854,30813.4110607077,1.11083074289374,1,14079.383123666,0,630.129565772545,1958,0,14079.3828301705,23368.5463583294,0,-9999,0,-9999,0,0,18.1188438330234,0,18.1188438330234,1.35234065674224e-08,0.0204498477799514,0.456923863522661,0.758388816878771,48,1
"9",0.0409873633203097,35110.7850126742,1.05701668396592,1,16084.8167783115,0,1980.59497393031,1926,0,16084.8167870148,21991.725782247,0,-9999,0,-9999,0,0,18.3061868972037,0,18.3061868972037,1.12130574136669e-08,0.056409874436455,0.45811612532185,0.62635243769994,58,1
"10",0.0671289788708091,31900.0508761082,1.11954422915354,1,15018.5668395134,0,840.230554027021,1958,0,15018.5698368756,23805.3888848635,0,-9999,0,-9999,0,0,17.3262079840143,0,17.3262079840143,2.98760708192684e-08,0.0263394737923857,0.470800811422024,0.746249245097374,76,1
"11",0.0671289788708091,31900.0508761082,1.11954422915354,1,15018.5668395134,0,840.230554027021,1958,0,15018.5698368756,23805.3888848635,0,-9999,0,-9999,0,0,17.3262079840143,0,17.3262079840143,2.98760708192684e-08,0.0263394737923857,0.470800811422024,0.746249245097374,76,1
"12",0.0671289788708091,31900.0508761082,1.11954422915354,1,15018.5668395134,0,840.230554027021,1958,0,15018.5698368756,23805.3888848635,0,-9999,0,-9999,0,0,17.3262079840143,0,17.3262079840143,2.98760708192684e-08,0.0263394737923857,0.470800811422024,0.746249245097374,76,1
"13",0.0861702025132254,26651.1342895079,1.00165738802403,1,16357.62464453,0,491.496449223397,1958,0,16357.6250162188,24198.0764403175,0,-9999,0,-9999,0,0,17.5523542517664,0,17.5523542517664,2.38291968012088e-08,0.0184418585672314,0.613768436214684,0.907956718744383,83,1
"14",0.0861702025132254,26651.1342895079,1.00165738802403,1,16357.62464453,0,491.496449223397,1958,0,16357.6250162188,24198.0764403175,0,-9999,0,-9999,0,0,17.5523542517664,0,17.5523542517664,2.38291968012088e-08,0.0184418585672314,0.613768436214684,0.907956718744383,83,1
"15",0.063028447647579,29358.8523165763,1.01103104736656,1,16460.8935870929,0,1043.73561986671,1926,0,16460.8895190327,23814.4730483288,0,-9999,0,-9999,0,0,17.8237474294902,0,17.8237474294902,1.8165394943783e-08,0.0355509680219145,0.560678916925465,0.811151362169663,98,1
"16",0.063028447647579,29358.8523165763,1.01103104736656,1,16460.8935870929,0,1043.73561986671,1926,0,16460.8895190327,23814.4730483288,0,-9999,0,-9999,0,0,17.8237474294902,0,17.8237474294902,1.8165394943783e-08,0.0355509680219145,0.560678916925465,0.811151362169663,98,1
"17",0.0583204188686796,32401.2932915179,1.09157890751027,1,17618.5784450499,0,1204.1883056007,1926,0,17618.5756150304,25298.6636671135,0,-9999,0,-9999,0,0,19.4130074883712,0,19.4130074883712,3.70713132060139e-09,0.037164822242325,0.543761492990856,0.780791786287625,107,1
"18",0.0945905657419935,28957.6832552999,1.11717307913117,1,17880.8185139205,0,404.584029660314,1958,0,17880.7306114642,26813.2836631954,0,-9999,0,-9999,0,0,20.6551208280467,0,20.6551208280467,1.07052053222854e-09,0.0139715607113102,0.617477940269673,0.925947128670523,169,1
