"","r_max","K","catch_multiplier_1","catch_multiplier_2","sample.N.obs","add_CV","Nmin","YearMin","violate_MVP","N2008","N2018","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2018","draw","save"
"mean",0.0873845941438333,28838.1121721755,1.06274134718645,1,15314.4322139023,0,684.641525777843,1954.9867,0,15314.4381830111,24131.3696034595,0,-9999,0,-9999,0,0,17.4141945564258,0,17.4141945564258,3.66715306712406e-08,0.0211046353898592,0.536768732603048,0.850335217902245,27985.7579,1
"median",0.0925930398008786,27877.2879212267,1.06490559170023,1,15265.6812361674,0,385.572671421755,1958,0,15265.6808873879,24288.0977222067,0,-9999,0,-9999,0,0,17.1365019224739,0,17.1365019224739,3.61170088794203e-08,0.0138999474611118,0.537231665753928,0.88487672496777,28748,1
"2.5%PI",0.0331442986354115,25088.4655734036,1.00304523868486,1,13393.0101796344,0,193.285983096576,1926,0,13393.008505817,21131.4719501418,0,-9999,0,-9999,0,0,16.4049765555347,0,16.4049765555347,2.16574376812886e-09,0.00743678330124461,0.421392833087806,0.556289105092883,1429.675,1
"97.5%PI",0.116991673942655,38315.2056484327,1.11717477913271,1,17497.9438447772,0,2753.62015827519,1968,0,17498.0015065035,25835.9208387172,0,-9999,0,-9999,0,0,19.950502027578,0,19.950502027578,7.50601116672082e-08,0.0730843130589341,0.638166815711579,0.956795596379423,54166,1
"5%PI",0.0422427559829317,25333.7697476979,1.00656548719434,1,13717.0887469547,0,204.993687328146,1926,0,13717.0847337942,22024.5498524544,0,-9999,0,-9999,0,0,16.4406361838834,0,16.4406361838834,4.20285589361687e-09,0.00778269892567645,0.45022481503308,0.636331337829239,2751,1
"95%PI",0.115994749821723,35205.7627251157,1.11437389808707,1,17111.2608155236,0,1900.4613554103,1968,0,17111.2577577324,25617.5634215632,0,-9999,0,-9999,0,0,19.2875020078551,0,19.2875020078551,7.24306572947864e-08,0.0548671137514952,0.620948468750567,0.950639108646699,52549.1,1
"min",0.000277657652739435,24435.8321768371,1.00003268470056,1,12001.3332196977,0,152.42286172813,1926,0,12001.343309537,17168.4532521651,0,-9999,0,-9999,0,0,16.3047618116549,0,16.3047618116549,1.2926434876291e-11,0.0058700166688239,0.211799728256648,0.212374062880346,2,1
"max",0.117999076241162,83360.7041439412,1.11990943213925,1,19920.1500299387,0,19306.0539820585,1968,0,19920.1500299279,26872.3915967488,0,-9999,0,-9999,0,0,25.0717466861221,0,25.0717466861221,8.29720683529958e-08,0.232733842962558,0.750256561080825,0.979643629880154,55489,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
