"","r_max","K","catch_multiplier_1","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2012","N2006","N2019","N2030","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2012","status2006","status2019","status2030","draw","save"
"mean",0.10801057300028,26647.3574262661,1.01854607345425,1.71416666231204,14632.9548438349,0,0.566292618040252,263.928533403333,1963.6727,0,14632.9679542194,19385.5678109967,12355.8992530566,24927.6302261914,26551.8527954755,0.0920173701534763,0.372074642601359,0,-9999,46.1921244158536,0,16.967505298441,0,63.1596297142946,5.53795688078414e-28,0.00984138173457279,0.549809485052748,0.728536565872073,0.464124057235925,0.936245192973926,0.996531009540821,66242.1844,1
"median",0.110642650132067,26539.4352390527,1.01859277996883,1.71438076743645,14631.6828220151,0,0.599342486588284,244.887020328785,1968,0,14631.6828790608,19423.2083264477,12326.7704510654,24926.538451068,26475.6403648884,0.0935598011527494,0.371520944952194,0,-9999,45.9936858206819,0,16.7301847737258,0,62.8488223878996,5.0711124715687e-28,0.00932517300031221,0.549173909766567,0.731014167444836,0.461988460203593,0.94270991301002,0.99778382188343,66295,1
"2.5%PI",0.0852185900017037,25014.1257377081,1.0129031710202,1.5720338221597,12979.4062059809,0,0.0345591867808253,175.082895314072,1958,0,12979.2658489111,17699.1731302869,10771.0825589655,23755.1969498551,24985.0931157127,0.0729851626275248,0.320653217789131,0,-9999,45.2169861119306,0,16.363365549813,0,61.8627568560687,1.93554338137698e-29,0.00677428941138344,0.478174682185715,0.639709075216251,0.402599186571081,0.867149453573367,0.986031799723483,4219,1
"97.5%PI",0.117713072861545,29064.0581796188,1.02413196473217,1.8614255133775,16476.8329121638,0,0.976922949077561,468.206104623283,1968,0,16476.9454608507,21086.1185848098,14166.5950887502,26114.0048900727,28721.6379031038,0.102641868955086,0.425885369583091,0,-9999,48.235199518748,0,18.9717365378193,0,66.1145801807071,1.35939623289043e-27,0.0164366481342971,0.629054955052707,0.806752152084822,0.536282703082568,0.968291735365969,0.999012850522096,126146,1
"5%PI",0.0898311313538812,25180.0296367209,1.01397386719114,1.5961339595317,13219.8108247248,0,0.0722429932793602,182.881194137122,1958,0,13219.8103874178,17959.3460549761,11016.0070744289,23908.0240245724,25140.5322883164,0.0764641211140496,0.32916972695674,0,-9999,45.2755537049259,0,16.3782046750318,0,61.9214437816541,4.19060114091098e-29,0.00696086466207814,0.489620902238082,0.655487331029374,0.4111236296306,0.885254214642487,0.990254268961975,7216,1
"95%PI",0.117464090965688,28510.5650942091,1.02314838193355,1.83473146576442,16180.6471194199,0,0.95991745358333,411.964714822107,1968,0,16180.7095116019,20773.6749154522,13856.7882229702,25953.5970653704,28252.9720234479,0.101888848262214,0.416199666148932,0,-9999,47.7878415200122,0,18.3866244624009,0,65.3421235313689,1.28191330215204e-27,0.0147056840817405,0.613119034791997,0.792717360731248,0.522806311943522,0.964457428895056,0.998882885744525,123342,1
"min",0.0572305507562123,24552.8255777179,1.00800981874523,1.47410367744401,11688.1213189336,0,0.00022087967954576,152.949483672104,1926,0,11688.1671142119,16240.5091748286,9675.03489207967,22675.6075816266,24513.8480663774,0.0499841045007894,0.270840499974943,0,-9999,44.8980957396483,0,16.3231599018091,0,61.7308295977755,5.15642914414097e-32,0.00585741957207713,0.414372630886639,0.552081409474418,0.347195210602081,0.737856400199492,0.918803102211921,122,1
"max",0.117999415819999,33682.5248594288,1.02843607730517,1.97118095047225,18301.243602531,0,0.999846322229132,1198.24429996401,1968,0,18301.2426606313,22776.3069329298,16444.1917102232,27659.4773891937,31549.1420001788,0.10641651397707,0.473373053666063,0,-9999,51.9912429062409,0,23.9246890932238,0,72.042478662206,1.55110551636538e-27,0.0374536197790811,0.712802842602516,0.864532582525959,0.621886786866704,0.980793455272385,0.999471430588128,130224,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
