"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.087","0.092","0.029","0.039","0.117","0.116","10,000"
"2","$K$","23,958","23,392","22,271","22,317","28,904","27,209","10,000"
"3","$N_{min}$","   841","   431","   212","   226"," 3,894"," 2,527","10,000"
"4","$N_{2008}$","15,690","15,641","13,663","13,972","17,971","17,578","10,000"
"5","$N_{2018}$","21,675","21,777","19,880","20,464","22,594","22,446","10,000"
"6","Max depletion","0.032","0.018","0.009","0.01","0.135","0.093","10,000"
"7","Depletion in 2008","0.658","0.657","0.554","0.576","0.762","0.745","10,000"
"8","Depletion in 2018","0.911","0.938","0.695","0.76","0.98","0.976","10,000"
