"","r_max","K","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2017","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2017","draw","save"
"94",0.106397426289506,26466.1762568237,1,1.25568342616083,1.02077042364117,1.62445397672623,15456.7877195077,0,0.729324076324701,282.597763585982,1958,0,24206.7261133841,0,-9999,0,-9999,0,0,16.6802368073971,0,16.6802368073971,5.69987324318332e-08,0.0106776952153457,0.914628765352643,431,1
"95",0.106397426289506,26466.1762568237,1,1.25568342616083,1.02077042364117,1.62445397672623,15456.7877195077,0,0.729324076324701,282.597763585982,1958,0,24206.7261133841,0,-9999,0,-9999,0,0,16.6802368073971,0,16.6802368073971,5.69987324318332e-08,0.0106776952153457,0.914628765352643,431,1
"96",0.106397426289506,26466.1762568237,1,1.25568342616083,1.02077042364117,1.62445397672623,15456.7877195077,0,0.729324076324701,282.597763585982,1958,0,24206.7261133841,0,-9999,0,-9999,0,0,16.6802368073971,0,16.6802368073971,5.69987324318332e-08,0.0106776952153457,0.914628765352643,431,1
"97",0.106397426289506,26466.1762568237,1,1.25568342616083,1.02077042364117,1.62445397672623,15456.7877195077,0,0.729324076324701,282.597763585982,1958,0,24206.7261133841,0,-9999,0,-9999,0,0,16.6802368073971,0,16.6802368073971,5.69987324318332e-08,0.0106776952153457,0.914628765352643,431,1
"98",0.106397426289506,26466.1762568237,1,1.25568342616083,1.02077042364117,1.62445397672623,15456.7877195077,0,0.729324076324701,282.597763585982,1958,0,24206.7261133841,0,-9999,0,-9999,0,0,16.6802368073971,0,16.6802368073971,5.69987324318332e-08,0.0106776952153457,0.914628765352643,431,1
"99",0.106397426289506,26466.1762568237,1,1.25568342616083,1.02077042364117,1.62445397672623,15456.7877195077,0,0.729324076324701,282.597763585982,1958,0,24206.7261133841,0,-9999,0,-9999,0,0,16.6802368073971,0,16.6802368073971,5.69987324318332e-08,0.0106776952153457,0.914628765352643,431,1
"100",0.0175276165837422,55358.9640960776,1,1.40181986833457,1.01861387028934,1.70770534829806,17383.4605242591,0,0.760523638455197,6486.06846710983,1926,0,20095.1533365212,0,-9999,0,-9999,0,0,19.8719632679899,0,19.8719632679899,2.34269638896938e-09,0.117163833771402,0.362997279025043,456,1
"101",0.0570792157165706,30008.0673373154,1,1.29938941953937,1.01721512785876,1.6348464759748,14734.6904923907,0,0.284913070732728,1219.38376649519,1957,0,21136.7205659504,0,-9999,0,-9999,0,0,18.504288630544,0,18.504288630544,9.19791848110562e-09,0.040635198288124,0.704367939739546,458,1
"102",0.0398373725274578,32422.2470447363,1,1.28752890962176,1.02109566731545,1.78669016839439,15059.5175048802,0,0.0961617743596435,2067.19200505388,1926,0,19831.3203101797,0,-9999,0,-9999,0,0,19.4377213371567,0,19.4377213371567,3.61663667909578e-09,0.063758443460182,0.611657800362091,474,1
"103",0.10922690038057,27416.918149456,1,1.2514611645299,1.01775107150177,1.79788964000511,14581.688693841,0,0.970816967543215,252.938660355319,1968,0,24499.0239773523,0,-9999,0,-9999,0,0,16.3960921616004,0,16.3960921616004,7.57299463998597e-08,0.00922564159022146,0.893573225254653,476,1
"104",0.10922690038057,27416.918149456,1,1.2514611645299,1.01775107150177,1.79788964000511,14581.688693841,0,0.970816967543215,252.938660355319,1968,0,24499.0239773523,0,-9999,0,-9999,0,0,16.3960921616004,0,16.3960921616004,7.57299463998597e-08,0.00922564159022146,0.893573225254653,476,1
"105",0.10922690038057,27416.918149456,1,1.2514611645299,1.01775107150177,1.79788964000511,14581.688693841,0,0.970816967543215,252.938660355319,1968,0,24499.0239773523,0,-9999,0,-9999,0,0,16.3960921616004,0,16.3960921616004,7.57299463998597e-08,0.00922564159022146,0.893573225254653,476,1
"106",0.10922690038057,27416.918149456,1,1.2514611645299,1.01775107150177,1.79788964000511,14581.688693841,0,0.970816967543215,252.938660355319,1968,0,24499.0239773523,0,-9999,0,-9999,0,0,16.3960921616004,0,16.3960921616004,7.57299463998597e-08,0.00922564159022146,0.893573225254653,476,1
"107",0.10922690038057,27416.918149456,1,1.2514611645299,1.01775107150177,1.79788964000511,14581.688693841,0,0.970816967543215,252.938660355319,1968,0,24499.0239773523,0,-9999,0,-9999,0,0,16.3960921616004,0,16.3960921616004,7.57299463998597e-08,0.00922564159022146,0.893573225254653,476,1
"108",0.10922690038057,27416.918149456,1,1.2514611645299,1.01775107150177,1.79788964000511,14581.688693841,0,0.970816967543215,252.938660355319,1968,0,24499.0239773523,0,-9999,0,-9999,0,0,16.3960921616004,0,16.3960921616004,7.57299463998597e-08,0.00922564159022146,0.893573225254653,476,1
"109",0.10922690038057,27416.918149456,1,1.2514611645299,1.01775107150177,1.79788964000511,14581.688693841,0,0.970816967543215,252.938660355319,1968,0,24499.0239773523,0,-9999,0,-9999,0,0,16.3960921616004,0,16.3960921616004,7.57299463998597e-08,0.00922564159022146,0.893573225254653,476,1
"110",0.10922690038057,27416.918149456,1,1.2514611645299,1.01775107150177,1.79788964000511,14581.688693841,0,0.970816967543215,252.938660355319,1968,0,24499.0239773523,0,-9999,0,-9999,0,0,16.3960921616004,0,16.3960921616004,7.57299463998597e-08,0.00922564159022146,0.893573225254653,476,1
"111",0.10922690038057,27416.918149456,1,1.2514611645299,1.01775107150177,1.79788964000511,14581.688693841,0,0.970816967543215,252.938660355319,1968,0,24499.0239773523,0,-9999,0,-9999,0,0,16.3960921616004,0,16.3960921616004,7.57299463998597e-08,0.00922564159022146,0.893573225254653,476,1
"112",0.10922690038057,27416.918149456,1,1.2514611645299,1.01775107150177,1.79788964000511,14581.688693841,0,0.970816967543215,252.938660355319,1968,0,24499.0239773523,0,-9999,0,-9999,0,0,16.3960921616004,0,16.3960921616004,7.57299463998597e-08,0.00922564159022146,0.893573225254653,476,1
"113",0.10922690038057,27416.918149456,1,1.2514611645299,1.01775107150177,1.79788964000511,14581.688693841,0,0.970816967543215,252.938660355319,1968,0,24499.0239773523,0,-9999,0,-9999,0,0,16.3960921616004,0,16.3960921616004,7.57299463998597e-08,0.00922564159022146,0.893573225254653,476,1
