"","N_1830","N_1831","N_1832","N_1833","N_1834","N_1835","N_1836","N_1837","N_1838","N_1839","N_1840","N_1841","N_1842","N_1843","N_1844","N_1845","N_1846","N_1847","N_1848","N_1849","N_1850","N_1851","N_1852","N_1853","N_1854","N_1855","N_1856","N_1857","N_1858","N_1859","N_1860","N_1861","N_1862","N_1863","N_1864","N_1865","N_1866","N_1867","N_1868","N_1869","N_1870","N_1871","N_1872","N_1873","N_1874","N_1875","N_1876","N_1877","N_1878","N_1879","N_1880","N_1881","N_1882","N_1883","N_1884","N_1885","N_1886","N_1887","N_1888","N_1889","N_1890","N_1891","N_1892","N_1893","N_1894","N_1895","N_1896","N_1897","N_1898","N_1899","N_1900","N_1901","N_1902","N_1903","N_1904","N_1905","N_1906","N_1907","N_1908","N_1909","N_1910","N_1911","N_1912","N_1913","N_1914","N_1915","N_1916","N_1917","N_1918","N_1919","N_1920","N_1921","N_1922","N_1923","N_1924","N_1925","N_1926","N_1927","N_1928","N_1929","N_1930","N_1931","N_1932","N_1933","N_1934","N_1935","N_1936","N_1937","N_1938","N_1939","N_1940","N_1941","N_1942","N_1943","N_1944","N_1945","N_1946","N_1947","N_1948","N_1949","N_1950","N_1951","N_1952","N_1953","N_1954","N_1955","N_1956","N_1957","N_1958","N_1959","N_1960","N_1961","N_1962","N_1963","N_1964","N_1965","N_1966","N_1967","N_1968","N_1969","N_1970","N_1971","N_1972","N_1973","N_1974","N_1975","N_1976","N_1977","N_1978","N_1979","N_1980","N_1981","N_1982","N_1983","N_1984","N_1985","N_1986","N_1987","N_1988","N_1989","N_1990","N_1991","N_1992","N_1993","N_1994","N_1995","N_1996","N_1997","N_1998","N_1999","N_2000","N_2001","N_2002","N_2003","N_2004","N_2005","N_2006","N_2007","N_2008","N_2009","N_2010","N_2011","N_2012","N_2013","N_2014","N_2015","N_2016","N_2017"
"mean",28664.778492171,28207.5960334679,27843.0391010984,27547.0273008729,27303.2286045907,27100.0816351614,26929.1323385533,26784.0401520509,26659.9522343544,26553.0924841557,26460.4821021294,26374.9519089543,26300.1338216727,26234.3294215081,26176.1524066282,26124.4633710393,26078.3200188418,26036.9386897278,25999.664304845,25965.9466684159,25935.3216257137,25912.1880703182,25890.6981239967,25870.689730946,25852.019055519,25834.5582729912,25818.1936429787,25802.8238264732,25788.3584138721,25774.7166363581,25761.8262369577,25718.6449881839,25680.7016481586,25647.1503256759,25617.3005942421,25590.585789199,25566.5384833347,25544.7713206877,25524.961907311,25506.840811471,25490.1819720502,25505.7724815038,25517.9773815447,25527.3924505658,25534.5096003398,25539.7344415931,25543.4011766418,25545.7850930895,25547.112965279,25547.5716664176,25547.3152714142,25546.4708991327,25545.1435092215,25543.4198363526,25541.371615286,25539.0582243381,25536.5288526628,25533.8242780316,25530.9783261705,25528.0190697652,25524.9698145913,25521.8499114868,25518.6754257437,25515.4596896676,25512.2137593112,25426.7965356894,25435.5864435408,25442.3614388762,25447.4800751676,25451.2360428742,25453.8698914617,25455.5787136729,25170.2206149595,24925.2132714983,24998.9102711636,24594.5085238936,24134.3771167181,24063.3289610415,22976.8413468473,21232.9949241062,18367.3482891919,12512.8875584327,7523.06229272875,5177.71321047936,4531.02198205765,3676.1891528191,2208.48946787818,1865.48637343441,1819.07828259823,1760.86927774119,1715.82037397112,1676.05805387568,1726.03045564575,1425.54255868935,1330.10437866812,1093.41962684606,917.443475316106,973.004332287894,1040.20742097546,1094.08823231284,1120.51108578036,1093.1013648503,1152.16902758711,1211.23802613307,1166.3331585716,1192.40989518481,1229.63091630578,1212.97645163373,1057.76135419092,1130.87977886864,1207.49060693039,1245.18311292378,1316.73082477926,1411.74283089643,1509.59001905403,1541.10735396592,1337.60422588761,1403.7210785473,1470.41401704895,1529.61792420113,1558.30827088748,963.126599759511,981.142845398535,1011.62926403251,936.502766462157,952.283230646474,916.107147885144,804.075579559024,789.79903202897,819.594298716192,852.456328937194,875.396070845844,914.01281424628,944.189855028922,988.600829018823,1048.46669571567,1059.93674639766,1124.70510302104,1001.92665376311,1060.22508734439,1122.78660414579,1189.96218522841,1262.13383645356,1337.68042610374,1420.95125443584,1510.56353105891,1607.05295989229,1711.00318356084,1823.05013944026,1943.88678305884,2074.26819661787,2215.01709582366,2367.02974097144,2531.28224722293,2708.83727281813,2900.85104057333,3108.58061473737,3333.39130844486,3576.76403167795,3840.30229920842,4125.73849365314,4434.93880901632,4769.90607006805,5132.77931397621,5525.82861023412,5951.44305752231,6412.10920581296,6910.37628889129,7448.80361532222,8029.8842953067,8655.93829835262,9328.96690594347,10050.4604368698,10821.1525049667,11640.7182581524,12507.4226629654,13417.7396096985,14365.9842515323,15344.0278913056,16341.1904962935,17344.4178364842,18338.8309181847,19308.6706266472,20238.5530855273,21114.8326611322,21926.795043808,22667.4220936831,23333.5888186615
"median",27368.2491513704,26872.4261619639,26493.3785200555,26220.4527072771,25979.3875113367,25788.689304587,25643.5183863837,25521.0596690192,25433.7411826504,25354.3538940129,25287.9330973173,25215.5948168755,25160.250584251,25115.480063523,25081.6444396262,25052.4764738422,25030.7737111,25009.962284689,24992.112193386,24975.4253168618,24957.5949891803,24946.4362126338,24939.3582320697,24932.7771290198,24928.0909344362,24924.6146281389,24922.4813111229,24920.693211547,24918.4171716271,24916.9059573401,24915.6343080189,24882.4790460689,24854.5814990034,24831.1749954759,24812.2513645475,24796.9658871995,24783.6936221578,24772.948677316,24762.4699091964,24752.1120044907,24744.2033693682,24769.8792124493,24792.4970951861,24811.5334682408,24827.5458183003,24840.9698208176,24850.7192511354,24858.8094633549,24865.5210246893,24871.0876250989,24875.9753076668,24880.7002578404,24884.6911838192,24888.0617028257,24890.3960002082,24892.0526572157,24893.4165413951,24895.5372981239,24897.5133410287,24899.216534126,24900.6844824741,24901.621632367,24902.2886402832,24902.8049990401,24903.218073693,24820.8824008034,24834.9128258929,24846.0558955455,24855.3065728178,24862.9838757462,24869.5458052816,24875.2687297942,24595.5974543703,24352.5300576362,24432.8242874008,24030.4142059636,23579.5285489152,23521.8046002476,22456.7558385893,20750.5568012819,17923.8073362184,12118.0235344578,7163.36668715187,4852.63109768093,4220.37882688824,3382.46350731355,1925.62383919703,1587.17684556083,1542.48846574158,1485.90534815763,1443.45472682654,1404.50775360062,1455.55042813904,1157.62464693967,1061.68272714991,823.881359588525,646.021199201056,698.542349546853,763.044526343324,814.05614700541,837.676565564008,807.563644945342,864.609222689235,921.952548881373,874.169471363089,896.585759144313,930.529693500944,911.715612272806,753.386994148477,823.812572840298,897.927996538655,931.347437798567,1000.12875048241,1093.07360816605,1187.05631556781,1216.80839664018,1010.85521377437,1074.0955019457,1137.27758783053,1193.53976924568,1218.64713008335,619.25991280798,631.164452061578,654.568052342122,572.188422771484,579.962281475315,535.518999966288,414.722593958082,390.728899806856,410.336974452519,433.041761947062,445.685180444594,473.665473552687,492.385830791626,525.29089871205,574.643813598549,575.270785616059,629.081220940181,494.932124045306,541.075420263568,591.18794450013,646.094577784173,705.806441424788,769.089459449829,841.096545814273,918.128165104622,1003.14527096267,1097.28876789436,1195.89884388983,1303.0949911293,1422.75510021973,1551.56337425641,1694.23443824216,1848.19922980137,2018.78490435122,2207.1215778444,2410.94941026443,2631.22227331158,2872.70901867362,3140.36780255347,3433.19648151932,3745.80974204121,4083.06240039793,4464.21947256804,4876.60579608794,5312.4386824288,5792.90250339158,6310.49527603019,6875.59279059136,7498.45670635559,8165.38871453359,8900.46676081576,9683.9104184336,10501.5278190371,11392.3804840062,12327.1081254793,13288.5809236337,14302.0294487416,15309.0397173654,16318.2836771271,17344.5456919646,18348.5728017715,19320.9094003835,20270.0523126772,21211.6937837788,22060.8792602194,22830.6199301107,23496.5836399518
"2.5%PI",24766.5056572711,24506.7672707162,24290.7541935579,24145.6713119628,24026.0799918667,23948.4603365217,23867.0400021019,23804.7575156385,23764.9301775416,23732.1866704212,23706.6830649331,23677.4040568487,23649.330333545,23633.8592449071,23622.2821034628,23608.0092698185,23599.7222482809,23595.3113354498,23589.7887443602,23582.7978010158,23574.1684050985,23577.196263313,23578.3260169467,23578.5312220167,23579.4169788567,23578.9258578938,23578.9426302057,23579.0272464519,23579.094669786,23579.1483934167,23579.1912008728,23549.5498332746,23525.9701439511,23507.0674046276,23492.3034322361,23480.1288693282,23470.5725308403,23463.2973096725,23457.5929708416,23453.119067576,23449.6094192291,23477.9965575652,23500.0565728651,23517.9603016659,23532.4797117035,23544.247218368,23552.002205422,23557.7556255838,23562.1797636608,23565.5809466762,23568.1952347531,23570.2044061498,23571.7483605967,23572.9347208352,23573.8462519106,23574.9361202196,23575.8345419713,23576.5505206892,23577.116941627,23577.5663553953,23577.9289689585,23578.2212721713,23578.4543507667,23578.6401603266,23578.7862325958,23500.2187691531,23516.195640249,23530.0869432672,23540.8982236131,23549.2152126059,23555.6121262298,23560.5316390966,23282.4969508696,23054.3550003761,23156.4394529314,22783.8120268405,22346.5055291683,22323.718114723,21285.4392485751,19709.7630808112,17000.4381897786,11349.9361140205,6568.89620016627,4356.63125106022,3795.30676133588,3015.55006096484,1607.14237888933,1288.22511283374,1258.6889315787,1217.55625115218,1190.12119838392,1168.30686429073,1236.9839841082,958.557755462976,878.075947331476,647.939699537257,469.835993816545,517.874483348572,578.50663691904,627.162685651344,649.567065730386,618.43188599372,672.659846287473,727.559418237105,680.087180700401,701.873127977166,735.730076377023,716.369461953977,558.002790517411,622.874546241631,692.077594652088,726.487396639148,793.787884734038,885.409711076273,982.651946056214,1020.25695385358,829.396118483048,895.971538114974,965.229918587671,1029.00462363427,1064.47263978515,477.937166622927,487.998616206355,509.857473838137,426.770157179489,431.474908045467,383.963027725162,258.409086619548,226.230187614429,236.450897563635,248.43061649315,249.65563457623,265.266951455136,271.419258878525,290.542387686171,324.240616794643,309.121898176571,345.325747172467,193.108005932914,215.482842512682,240.601668758591,268.656184767959,299.524506061949,332.055026467678,370.528404108562,413.459098364217,461.363338393881,514.817063897587,573.978628538449,639.76871174556,714.888478818543,798.142658029183,891.015151566434,993.75910636888,1108.85672385865,1234.93079501889,1379.3106371543,1540.34823331498,1718.61831909594,1917.45121061021,2139.18773453905,2385.45545707246,2657.9121828784,2959.08579075306,3300.90848837226,3676.66594907306,4084.1627236788,4535.93196559385,5047.65911621793,5614.63624267638,6239.83350534609,6907.40656536328,7671.48224409553,8480.71304759582,9366.76513729839,10322.2870112954,11302.5268007068,12340.2764306672,13431.4294436857,14492.5402197179,15536.3242522342,16512.3032278483,17348.2502890299,18048.9480152668,18703.5337946923,19261.5790095765,19806.4967346194,20337.7295293793
"97.5%PI",41056.0753518726,40535.6222550551,40009.5531113159,39558.3929355588,39104.4740456804,38683.7294663567,38281.9608676884,37961.2856054489,37619.3840389066,37372.041807367,37119.8586523115,36843.2565755644,36589.1671590452,36332.5805453245,36107.1137729807,35889.2353260066,35710.1802514099,35516.0502778754,35314.8161426187,35151.9330189473,34981.278133869,34823.1681084481,34664.3715719948,34498.4246448378,34356.6852350717,34192.0467358887,34033.7362815664,33881.4556655827,33756.8382013255,33632.0256989095,33561.6827272281,33464.794338812,33346.2364310298,33204.0969783997,33066.8046381284,32931.30553207,32804.2442580142,32679.5583492432,32559.6630290219,32455.0000848793,32381.9846823487,32311.4544976563,32230.8192484601,32148.1552064946,32061.8848169393,32000.5656682593,31952.9808875586,31910.5883242006,31886.143401826,31825.8612756401,31773.0089283807,31713.1543304417,31683.4021355164,31630.8717527898,31578.5768619735,31527.9410512335,31470.9692732402,31424.3544224932,31376.5918763635,31343.3026852938,31295.7426456033,31252.5013682599,31206.6517254658,31156.3424871138,31124.1385768406,31009.579772979,30986.1988479589,30957.5899971164,30934.4160631528,30911.8642478599,30883.591437135,30827.9386399861,30520.7564699919,30173.0878003467,30166.14433846,29689.9959328093,29151.4874839942,28872.9695064297,27645.0141373369,25605.3693068235,22369.3543145282,16030.6197427016,10577.9328191295,7941.10363747219,7106.25546530007,6090.19609457196,4501.09471645039,4112.7727713884,4048.9433291331,3986.56252495896,3934.03084605271,3887.18256409587,3922.24316511859,3607.82532173851,3510.58927921767,3287.62414426764,3134.13828849483,3222.73819919315,3321.02702844153,3403.29730839985,3457.43599258136,3456.13226801842,3543.40532489128,3628.31497098691,3606.78803471509,3659.61137126237,3723.02882101598,3731.35915951939,3602.94069366153,3712.64790177796,3822.91356206673,3892.76507983604,3994.62489319619,4116.55304719576,4236.64943029096,4288.75423621855,4110.74284549797,4205.39360507185,4297.84127222319,4382.23595690285,4431.86983536069,3856.74279556425,3926.9010971561,4009.43511860287,3989.07990620834,4065.8199400933,4091.94484180904,4046.59244522534,4107.76147813287,4216.57168775152,4329.64857660096,4434.58953923582,4560.81007781246,4671.95621617468,4799.24465219262,4944.94894443575,5037.57363266411,5190.71012603352,5160.45821440622,5321.47764917444,5478.50822349676,5644.21237692355,5814.86621590744,5989.49453471592,6175.63706263608,6371.01279639483,6570.54626802894,6773.99047983548,6981.440555737,7186.37619702227,7410.82117443419,7635.3547359194,7874.73835180883,8101.83859882065,8338.50396658224,8593.4601067012,8856.49032639555,9121.92955493809,9404.49064726234,9695.32048763033,9958.49450217462,10249.86449836,10564.8693694192,10893.5685830653,11228.5842442663,11572.2643053455,11925.4111872684,12284.7360529812,12655.4604960367,13033.2117596854,13414.0791851663,13798.0564624741,14224.5506576313,14660.5363225089,15146.7004651235,15636.4899870882,16191.7567630709,16824.8635262511,17535.0624085408,18371.7443966002,19284.2308351287,20249.4830887157,21220.1612219097,22127.1333727178,22948.4626842318,23682.7467062455,24386.8765512696,25022.0135097612
"5%PI",25050.6581492202,24734.0638694505,24497.7244985689,24327.5405440236,24165.3114672277,24053.0973264945,23972.4232065174,23907.5346629143,23855.5983167322,23814.5787210571,23774.8884218939,23738.6863303688,23713.8408551219,23693.6171816267,23676.5264588442,23661.3303924731,23647.2890217544,23637.5009193493,23630.7819127988,23625.2933718151,23621.4915750504,23624.7653302538,23626.4082533308,23626.9852844527,23628.4155775471,23629.5092156002,23630.3453898601,23630.9846837596,23631.4734368092,23630.7086498461,23630.0611462505,23598.3084272707,23572.8509374029,23554.1844079083,23539.5822517458,23528.1512935234,23519.1978057003,23512.1817560081,23506.6820129309,23502.7727284498,23499.6860497884,23526.7927501981,23548.011532053,23564.7933564009,23578.055525271,23589.1434680675,23597.0648470396,23603.3542672029,23608.8338607902,23613.1516906881,23616.553365859,23619.2328383967,23621.3431663671,23623.0049521851,23624.1437879,23625.0323397542,23625.8002707651,23626.5576688761,23627.1609982759,23627.6415936087,23627.9683307191,23628.2114745903,23628.4028179559,23628.5533957404,23628.6718925475,23546.2845466143,23564.1830857517,23578.1894866645,23588.8915155651,23597.0833498725,23603.5472343151,23608.9564832939,23331.5170727154,23101.9171614581,23204.7339044204,22819.8057944132,22396.2223707493,22384.0298801229,21352.3289617804,19744.5892294602,17039.1398713151,11392.1647889997,6609.43240434383,4397.43522005772,3834.34326080961,3052.92762901223,1639.07410072903,1318.21712638943,1287.17917200222,1244.63758401111,1212.99918929462,1187.39234839021,1251.58689181847,967.944690437022,883.956431097083,654.267194406426,475.924391503474,523.815776711231,584.301502384853,632.937517674312,655.139553844999,623.993002599995,678.549546218953,733.984127569734,687.00902358238,710.171878718812,744.288603099363,725.381649298374,567.270599718974,632.880053617984,703.579006294503,737.12753936208,805.182074598794,898.277398022012,996.650177627241,1032.53826497521,835.137803679021,901.229800458241,969.92799416495,1033.26133093374,1068.2546196563,481.057140136867,491.083060979392,513.269976369722,429.949342958421,434.763827447186,387.427315392025,262.181928426071,230.587410710521,241.003500152598,253.682984556518,255.653079112469,272.035220219211,278.79913810865,298.914357064383,333.373472976391,318.620073123995,355.740510511762,204.62784666285,228.527873209045,254.737436624673,284.62666172475,318.022723180151,353.286276301614,393.473924479626,437.764346531846,487.252281741196,542.885264508515,606.299995472248,677.621645230845,754.284956158495,840.247282714514,937.552117264483,1044.4033692399,1164.95927089442,1298.16284132752,1443.05617008156,1608.89020507614,1791.42527555941,1997.18570769628,2222.50660881448,2471.770695283,2748.02547374265,3060.98562533822,3402.63468200076,3780.36365571575,4207.7974681401,4684.14767001073,5210.97657331146,5797.70745863849,6437.22492395159,7136.19857750735,7899.3848149203,8718.67923010125,9623.3830102468,10561.3621752927,11550.8277066222,12633.9943941194,13715.1991947884,14787.1613959879,15819.1579643589,16756.5190460239,17667.1532815783,18468.9498667945,19186.7972460488,19882.9088740229,20541.5063716065,21207.7275709864
"95%PI",36183.6846711149,35669.1861283725,35180.9259681146,34757.3992675803,34390.5627899027,34040.1373331904,33740.7268390221,33458.326825779,33188.4795304562,32955.6955442487,32723.8315425284,32504.4919074926,32298.8705005289,32132.9547871103,31942.7082515862,31771.2843832318,31640.1949807414,31486.8637964489,31366.4686464448,31239.6777316985,31120.3222696093,31016.1698041146,30914.8883878473,30818.5364576883,30729.3041153113,30643.8819448213,30596.1540096545,30502.5448917443,30439.6803220377,30368.5955258221,30283.9607441083,30218.4698743492,30104.0540907698,30011.0320514656,29945.8653876528,29892.0909239749,29818.8891819769,29735.74445058,29682.6765049734,29637.3098080194,29581.0656186686,29563.4775748926,29545.3109370111,29515.9531274346,29488.59219221,29457.1953404721,29432.192944515,29419.2154471378,29406.3246331284,29398.1158596661,29389.8069399127,29382.0865847286,29362.8871640248,29360.9710023542,29347.8338924719,29344.0414271018,29321.7004069691,29293.9762327946,29273.853148769,29259.7810767207,29240.4797251154,29217.974842107,29204.1579663062,29186.9722442648,29171.8817752721,29075.1603896454,29065.7767560043,29062.975473142,29061.4592913129,29060.0636942151,29045.3838388448,29038.4735167575,28745.9759410892,28489.152440977,28516.0379186542,28055.9137004131,27519.8233617454,27327.8649688661,26143.2053463647,24183.1689436645,21016.2993946623,14768.9669731772,9396.06872426218,6815.04269973911,6017.26974274437,5036.3626183791,3472.49629981497,3102.28302968848,3029.79629621903,2953.08696068818,2888.20185914811,2838.92297260656,2871.7950019781,2553.58902870139,2457.80371546553,2221.17352699599,2057.66398386767,2134.7280083575,2221.93354488984,2293.67249043584,2336.2612058167,2324.63753112257,2401.61342611106,2476.72542432273,2445.89664137041,2488.81235598493,2542.48534945894,2540.8229378606,2401.91403720587,2499.31250294206,2598.15610152271,2655.91882949851,2746.35703589924,2856.61382178393,2968.08880627653,3010.13398791946,2816.99772828157,2900.79906387225,2982.15924875988,3055.08234565911,3094.5860535861,2508.0422177511,2563.23254468737,2631.88588053845,2595.98018048706,2656.85531754418,2667.37714785076,2603.13737594335,2645.71565106507,2738.80228468426,2835.44699404503,2925.87598712548,3027.70165487461,3128.25506632893,3245.14151291209,3376.05320977669,3456.72975766978,3593.54450905124,3544.5203672554,3692.04810405562,3845.53206741618,3996.16775889899,4156.07532240068,4320.55863370554,4496.70945519729,4681.90792141507,4871.44081913555,5066.58568069926,5263.82728347708,5465.79258815716,5690.96035511677,5929.96703236945,6178.57000272473,6427.7923259797,6686.68280584172,6955.63895757055,7234.88322106537,7524.57501376351,7817.86150520082,8121.19762995687,8436.76442808324,8770.34266903532,9131.66808178583,9488.71205069551,9871.18263231338,10243.0018490808,10634.3163926223,11049.0256021373,11491.7651205451,11920.7258333508,12380.1108852209,12859.280667558,13351.5960319474,13882.7100000479,14454.751727934,15020.00558965,15683.4847889085,16376.8668857043,17152.6072202139,18010.4026775922,18948.7951248053,19924.2164167984,20905.5194035738,21831.8979600253,22692.036131454,23457.0116577573,24176.4927642487,24774.0386288497
"min",24382.6659547264,24145.7301281223,23974.2317840985,23848.7477367158,23756.2208348262,23687.6131568045,23636.5331025638,23598.3881109955,23569.8389797685,23548.4362260982,23532.3710686158,23515.8231854832,23503.3805919866,23489.1456159274,23474.830537567,23463.7040410027,23455.0509874831,23448.3185619535,23443.0786700483,23438.9993418201,23435.8228710033,23437.8348868575,23439.4018861665,23440.6222004863,23441.5724720515,23442.3124228257,23442.8885808601,23443.3371895912,23443.6864778093,23443.958429933,23444.1701660673,23415.337184137,23392.8744155464,23375.3545616261,23361.6778589069,23350.9939251713,23342.6433960564,23336.1139148056,23331.0066847837,23327.0108900257,23323.8840351553,23350.4346082802,23371.2039609551,23387.4340168417,23400.106533531,23409.9949914176,23417.7071797706,23423.7197132013,23428.4057462458,23432.0570688214,23434.9016266071,23437.1173560715,23438.8430744966,23440.1870307859,23441.2336067473,23442.0485611581,23442.6831287981,23443.1772216232,23443.5619270272,23443.8614564914,23444.0946649035,23444.2762347535,23444.4175988938,23444.5276594397,23444.6133477627,23367.7797289657,23384.7591985209,23398.0186454269,23408.3661780789,23416.4370707363,23422.7296591122,23427.6342062839,23164.6876317222,22936.8306792103,23035.5528662651,22642.6604453251,22206.7111740102,22184.6650743503,21144.9289516399,19628.5104377219,16902.438716045,11257.7240632441,6488.55066915691,4286.44277492523,3731.93544798284,2959.24332025109,1556.46232095174,1240.87231648124,1214.34220374517,1176.70358181028,1152.65415100536,1134.78597571871,1207.82332721791,934.42082893615,859.960632713497,641.036361060771,462.644763895784,510.217090548953,570.399762489006,618.664724384932,640.401500373931,608.692919760914,662.257709722242,717.117694746119,669.424343853947,691.126533684289,724.379029494529,704.538905546319,545.367477164101,609.489130867693,678.577954619022,713.066533474553,780.37319340497,871.829681269807,968.992245527811,1007.46341377732,819.979733420492,885.750530766435,954.160367327341,1017.40186178441,1052.55067715564,467.956954438029,477.221400790671,498.731303518621,415.237554963896,419.330816875245,371.155121351683,245.303694508909,212.211681467159,220.884732232556,231.589969691835,231.37855646536,245.344051015567,249.789882583734,266.930323436922,298.255048875151,280.506363567605,313.424187694256,158.481567683792,177.07988014979,197.860731509654,221.080231335689,247.024535690543,273.984552423533,306.137067337336,342.06252659268,382.203574299994,427.054743409407,477.168518985086,533.162101122945,595.724944184229,665.627155537023,743.728843153341,830.990506645288,928.484569786576,1037.40815296598,1159.09717943041,1295.04189674377,1446.90387041799,1616.53446403607,1805.99475048333,2017.57668929207,2253.82523719141,2517.56080661066,2811.90111340522,3140.28090962316,3506.46731069277,3902.02675593923,4333.94387865873,4812.1839274035,5341.08285348549,5925.11212533345,6568.75640336202,7276.32899042996,8051.70542216145,8897.95374485459,9816.84171632452,10808.2097768569,11869.2189727895,12993.5204898992,14170.0349707177,14983.4979142116,15591.5458352841,15680.3999390884,15769.69091153,15859.4195503139,15949.5866263646,16040.1928832082
"max",100484.745687035,99859.3540330634,99234.388065453,98609.8385052081,97985.6961756781,97361.9520014486,96738.5970072546,96115.6223169149,95493.0191522859,94870.7788322361,94248.8927716404,93622.8053252958,92997.0576904132,92371.6414440433,91746.5482573072,91121.7698944605,90497.298211976,89873.1251576435,89249.2427696871,88625.6431758982,88002.3185927864,87383.8084798415,86765.5562050162,86147.5543540946,85529.7955965722,84912.2726849007,84294.9784537475,83677.9058192682,83061.0477783931,82444.397408127,81827.9478648616,81182.2982739699,80536.8448314009,79891.5802887165,79246.4974853083,78601.5893476674,77956.8488886665,77312.2692068566,76667.8434857755,76023.5649932698,75379.4270808291,74764.8172926626,74150.329354476,73535.9574315097,72921.6957597294,72307.538645307,71693.4804641105,71079.5156612027,70465.6387503482,69851.8443135293,69238.1270004696,68624.4815281657,68010.902680427,67397.3853074227,66783.9243252363,66170.5147154276,65557.1515246014,64943.8298639831,64330.544909001,63717.2918988754,63104.0661362134,62490.8629866102,61877.6778782566,61264.5063015514,60651.3438087206,59960.2347832168,59347.0771007769,58733.9149882953,58120.7442492449,57507.5607470519,56894.3604047449,56281.1392046087,55375.5129025988,54469.8428366686,53856.5009750507,52770.7389308767,51576.8972992,50723.3355541902,48848.6939777068,46356.7115087808,42609.922518079,35755.6542247778,29853.6043288178,26901.2540814431,25830.1945859768,24602.8695182777,22833.235191698,22313.1463396095,22118.9220973698,21916.647094315,21732.3191128606,21556.9427539327,21474.5202797653,21037.0761035184,20830.5164403603,20490.902068161,20242.6679942249,20241.3678112922,20247.06728169,20233.7682717132,20188.4657157521,20087.1510772168,20074.8093987164,20057.4644245928,19931.1148181692,19879.7314453431,19837.3343293218,19737.9258687515,19501.4907915035,19506.9923129838,19509.7509481309,19465.8561508419,19453.509744906,19458.998383737,19458.9997702891,19382.1589900636,19061.0492511427,19035.8204991212,19005.482978972,18961.8721614687,18882.535801101,18175.6358427777,18134.8617101121,18105.300839825,17967.5701979543,17927.7599352188,17834.878368769,17669.5235716202,17612.2854860719,17600.9495206919,17608.5729470298,17607.5053238322,17620.6717513126,17622.6719200203,17636.8768746325,17663.3040750024,17636.8940697304,17663.3212946978,17497.6060119872,17523.8338594106,17550.0992687154,17576.4022847775,17602.7429524798,17627.0876626677,17653.5008589548,17679.9518381126,17706.4406450502,17732.9673246824,17759.5319219298,17786.1344817184,17812.7750489792,17839.453668648,17866.1703856651,17892.9252449748,17919.7182915255,17946.5495702693,17973.4191261613,18000.3270041598,18027.2732492257,18054.2579063223,18081.2810204151,18108.3426364714,18135.4427994596,18162.5815543498,18189.7589461125,18216.975019719,18244.2298201407,18271.5233923489,18298.8557813144,18326.2270320075,18353.6371893973,18396.5858833872,18444.6829963163,18492.8967400555,18574.1826663605,18755.216184093,19056.4672050676,19388.4509543855,19724.8116718095,20340.975277149,21208.6290760633,22047.2552022571,22848.8724246736,23606.4336036785,24314.1663052617,25072.6780118813,25895.7929309423,26657.2969930073
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
