"","r_max","K","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2017","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2017","draw","save"
"mean",0.0873603294457775,28664.778492171,1,1.33574172441505,1.01850597568047,1.71146368398793,15344.0230102857,0,0.525711173732486,719.450781102168,1955.2348,0,23333.5888186615,0,-9999,0,-9999,0,0,17.4567873727973,0,17.4567873727973,3.53703334123357e-08,0.0218770593221574,0.831505921964594,17886.3369,1
"median",0.0921692672264762,27368.2491513704,1,1.33570862452965,1.01853966669522,1.70995712989381,15309.0397092747,0,0.536526556825265,390.728899806856,1958,0,23496.5836399518,0,-9999,0,-9999,0,0,17.1671094005755,0,17.1671094005755,3.50283045596573e-08,0.0142252253524351,0.868187482605137,17805,1
"2.5%PI",0.0307342600905104,24766.5056572711,1,1.25421136314282,1.01328588803457,1.57044507550868,13431.5264938865,0,0.0275839352980256,193.108005932914,1926,0,20337.7295293793,0,-9999,0,-9999,0,0,16.4492757034524,0,16.4492757034524,1.93308079216684e-09,0.00760834880383064,0.50536803864568,1114,1
"97.5%PI",0.1171206658446,41056.0753518726,1,1.41587719336152,1.02385591647236,1.85423226346163,17535.0621801568,0,0.974041518988088,3134.13828849483,1968,0,25022.0135097612,0,-9999,0,-9999,0,0,20.0641518285082,0,20.0641518285082,7.18075866049661e-08,0.0777767508110462,0.945009988898238,34354,1
"5%PI",0.0406519306528382,25050.6581492202,1,1.2576144726458,1.01409720496276,1.59855173752471,13714.8985633394,0,0.060597826493904,204.62784666285,1926,0,21207.7275709864,0,-9999,0,-9999,0,0,16.501643770089,0,16.501643770089,3.80568487078967e-09,0.00798279973690098,0.596133307059812,1945,1
"95%PI",0.115812147483695,36183.6846711149,1,1.4115661374362,1.02305318871006,1.83552557247896,17152.5904133916,0,0.949922373984009,2057.66398386767,1968,0,24774.0386288497,0,-9999,0,-9999,0,0,19.3867700373065,0,19.3867700373065,6.81439286993755e-08,0.0578681967377109,0.939175934513474,33511,1
"min",0.000287827461957931,24382.6659547264,1,1.25003062283387,1.00855571836296,1.4670019738264,11869.21940092,0,0.000213043065741658,158.481567683792,1926,0,16040.1928832082,0,-9999,0,-9999,0,0,16.3564384610948,0,16.3564384610948,2.69725052207086e-11,0.00607368343399078,0.174622417967842,19,1
"max",0.117996220949106,100484.745687035,1,1.41991025016177,1.02962615255833,2.02251878358323,19724.8116710689,0,0.999831505119801,17497.6060119872,1968,0,26657.2969930073,0,-9999,0,-9999,0,0,24.3362030939285,0,24.3362030939285,7.87932533530658e-08,0.240825927782053,0.980640131286579,35209,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
