"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.083","0.083","0.05","0.055","0.111","0.114","10,000"
"2","$K$","27,786","27,470","23,934","24,405","32,368","33,736","10,000"
"3","$N_{min}$","   583","   478","   191","   215"," 1,315"," 1,543","10,000"
"4","$N_{2008}$","14,829","14,798","13,152","13,369","16,409","16,725","10,000"
"5","$N_{2012}$","19,762","19,761","17,645","17,999","21,531","21,846","10,000"
"6","$N_{2019}$","26,160","26,138","23,641","24,065","28,218","29,045","10,000"
"7","Max depletion","0.02","0.017","0.008","0.009","0.043","0.049","10,000"
"8","Depletion in 2008","0.537","0.537","0.442","0.459","0.613","0.63","10,000"
"9","Depletion in 2012","0.717","0.719","0.562","0.586","0.844","0.864","10,000"
"10","Depletion in 2019","0.946","0.969","0.772","0.818","0.998","0.999","10,000"
