"","r_max","K","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2012","N2019","ROI_IA1","ROI_IA2","q_IA1","q_IA2","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2012","status2019","draw","save"
"mean",0.0827180706600809,27785.6814682676,1.09667612447677,1.33497639555892,1.0185051738027,1.71080381670394,14828.8238829586,0,0.511693151280889,583.090340144099,1957.7078,0,14828.8270059296,19762.3766386123,26159.842484821,0.0827121800843768,0.0713235290570915,0.0512155896394383,0.500549807135366,0,-9999,35.3045639637867,0,16.9773962987539,0,52.2819602625406,2.54809222198233e-23,0.0203551072897088,0.53671916929983,0.717247794255402,0.946046137937317,508406.0938,1
"median",0.0826210831422359,27470.0719845885,1.09164127058246,1.33564391206251,1.01846462936925,1.71092044758263,14798.2913475716,0,0.515923715080135,478.272967206972,1958,0,14798.2976641803,19760.5097336285,26137.8463299655,0.0826152993478728,0.0719846362635774,0.0489180685344063,0.499390643142508,0,-9999,35.1698714601028,0,16.7585796496398,0,52.0323926691179,2.52707998058746e-23,0.0174075810385144,0.537407596685466,0.719248497238076,0.968871732893159,508018,1
"2.5%PI",0.0496095545049408,23933.8483325805,1.00559383969088,1.25414812636113,1.01309129712458,1.57017969200963,13152.1705165796,0,0.029462544049602,191.085116082427,1926,0,13152.1480060599,17644.6101300467,23641.0716654544,0.0495924740426813,0.0467363723853012,0.0253550891020597,0.455394461733913,0,-9999,34.7730334926793,0,16.2206834101851,0,51.3361594445857,1.8415100450309e-24,0.00770002480153244,0.442121715656912,0.562326797121176,0.772284165509065,27850.95,1
"97.5%PI",0.113971210116846,33735.6182852812,1.30486773975944,1.41551450041583,1.02395116660984,1.8553175895222,16724.9180942366,0,0.977162715344457,1543.46262777339,1968,0,16724.9180980594,21846.3009492706,29045.2088300613,0.113970323508418,0.0924915856455075,0.0877639032098912,0.55165954887092,0,-9999,36.3982532128287,0,19.0239111620014,0,54.6514605297036,5.06978137514619e-23,0.0488916641468084,0.629716958834855,0.863613895651075,0.99875919127438,988654.075,1
"5%PI",0.0546789388921577,24405.3985915677,1.01024846840062,1.25874231988669,1.01393865933068,1.59266597335826,13369.2207643588,0,0.054291026853025,215.392157939801,1957,0,13369.1966102397,17998.9229433782,24065.0498193269,0.0546528635933836,0.0510435462257865,0.0281827304408829,0.461993996416282,0,-9999,34.8059189904818,0,16.2448656612837,0,51.388101527575,3.3963769435225e-24,0.00856935268130464,0.458731556377721,0.585762202224281,0.818010705857787,53185.1,1
"95%PI",0.110897139400477,32368.189648811,1.19307476722902,1.41166014561884,1.02310518099947,1.8311964776356,16408.8295944151,0,0.954147879162338,1314.7025281535,1968,0,16408.8248811638,21531.3921787956,28218.3975608271,0.110896610664176,0.0895366071188003,0.0824958585647185,0.543127001551295,0,-9999,36.2307490327802,0,18.4460625646798,0,54.0393330839119,4.81316856858755e-23,0.0425434390837896,0.612905511148663,0.843675865023959,0.998090839429146,963428.35,1
"min",0.0218477441822179,22315.995708899,1.00003485969332,1.25000215266366,1.00850921651046,1.4074508163239,11850.5994281732,0,5.13531267642975e-06,143.712016135542,1926,0,11850.6012320818,16103.9115163155,20555.7874763018,0.0218304723160838,0.0216743486207773,0.0149705318548659,0.411947792802326,0,-9999,34.6579448281355,0,16.2012228970629,0,51.1538534778239,2.00590783538995e-26,0.00556616780977008,0.365551013211636,0.398306946289752,0.462419724817034,124,1
"max",0.117978861574549,44735.3789712465,1.42825857582302,1.41999289837899,1.028916538464,2.00803639420841,18699.3748685345,0,0.999962099129334,4817.51138435963,1968,0,18699.3758915696,24436.38362688,32359.051417452,0.117978221255725,0.105039358312639,0.107873638772953,0.601671383561946,0,-9999,39.4927110276413,0,22.7907903179742,0,59.1711156738325,6.083642798417e-23,0.107689070600163,0.717708561697779,0.925756565259027,0.999684544945516,1014481,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
