"","r_max","K","catch_multiplier_1","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2017","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2017","draw","save"
"mean",0.0856958930729541,23915.9716974397,1,-999,15687.7677814296,0,-999,775.97190289186,1952.1906,0,21313.804510954,0,-9999,0,-9999,0,0,18.0870377176789,0,18.0870377176789,1.88651547431251e-08,0.0297380460843024,0.896926443931209,20143.2817,1
"median",0.090084140193183,23433.6335286411,1,-999,15642.4462790601,0,-999,432.257244296493,1958,0,21412.4659354626,0,-9999,0,-9999,0,0,17.8403358568198,0,17.8403358568198,1.78665451865737e-08,0.0184550267327146,0.92016394971103,20104.5,1
"2.5%PI",0.0293358095083851,22263.690908719,1,-999,13711.9695907459,0,-999,212.809136207071,1926,0,19496.9411167411,0,-9999,0,-9999,0,0,17.0360700454928,0,17.0360700454928,1.05382858196674e-09,0.00953335609080764,0.694066484968208,978.775,1
"97.5%PI",0.116478129471652,28537.4263485923,1,-999,17958.6762814055,0,-999,3404.31657438314,1968,0,22293.3742495402,0,-9999,0,-9999,0,0,20.6708360359627,0,20.6708360359627,3.9932710156182e-08,0.119190397451474,0.971818268631878,38942,1
"5%PI",0.0397848002217943,22326.8846013314,1,-999,13984.8561540712,0,-999,232.895137993728,1926,0,20011.2707957567,0,-9999,0,-9999,0,0,17.076343995506,0,17.076343995506,2.13528966182377e-09,0.0104251596027527,0.751235999310581,2215.8,1
"95%PI",0.114936709862202,26939.4366694213,1,-999,17564.486217231,0,-999,2149.10101725911,1968,0,22137.9702866349,0,-9999,0,-9999,0,0,19.9646636100817,0,19.9646636100817,3.83564170144133e-08,0.0797327487321723,0.966702061304494,37987.35,1
"min",0.00213206581259146,22204.04434089,1,-999,12096.9804803608,0,-999,198.277790121532,1926,0,16128.3740856653,0,-9999,0,-9999,0,0,16.9777249941961,0,16.9777249941961,1.44916101697975e-11,0.00885740717012186,0.379198131247047,2,1
"max",0.117941099061631,46218.6232740775,1,-999,20052.6211080141,0,-999,17115.0656083787,1968,0,23023.9216068463,0,-9999,0,-9999,0,0,24.9574512429403,0,24.9574512429403,4.23318959277013e-08,0.373728211791796,0.992332514751232,40022,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
