"","r_max","K","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2012","N2006","N2019","N2030","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2012","status2006","status2019","status2030","draw","save"
"mean",0.084233242097471,31021.4567636665,1.09509615165224,1.33444981697608,1.01848534435072,1.71217130442668,15300.5953051153,0,0.514240445363801,739.21983536966,1954.9223,0,15300.6013198971,19443.2745123868,13369.7320030404,25494.7787735646,29263.1903228449,0.0836403255827302,0.0491084644645685,0,-9999,14.8765641259014,0,17.3868734893567,0,32.2634376152581,1.26661208527694e-14,0.0215265542268919,0.500090178149958,0.63834533589545,0.435533290613579,0.8372408539233,0.954757925993476,764272.7737,1
"median",0.0877302464421373,29922.4139379119,1.08780216371682,1.33370874493616,1.01851578759839,1.71102453350925,15245.2935582842,0,0.527941480278969,436.72869317541,1958,0,15245.2893671696,19452.0891878402,13228.0389130668,25611.6765774719,29164.2005501873,0.0871691537197506,0.0484384632831965,0,-9999,14.8421456011342,0,17.1042428871008,0,31.9552380937223,1.32439163180984e-14,0.0146973245076598,0.502979616833316,0.649516479044425,0.436216470889013,0.871536562729257,0.987638088730814,765030,1
"2.5%PI",0.0327027267457219,25969.4215879471,1.00476400774272,1.25437248795229,1.01298377683243,1.57114573879965,13374.0597682481,0,0.0248505038500298,193.755778795678,1926,0,13374.1595204391,17380.3900870665,11232.9886517307,21779.467134795,25629.9141530805,0.0317939106099462,0.0170507567571569,0,-9999,14.6786302434633,0,16.3291309581617,0,31.3930265431243,8.1408223637413e-16,0.00691980401829323,0.375209988607502,0.432945467627634,0.338530460837288,0.529020453989295,0.68659110004076,37284.5,1
"97.5%PI",0.116483356479427,42359.2627800939,1.32597836537435,1.41567227261869,1.0239363383879,1.85489407422756,17493.6999966099,0,0.975617175811203,2947.78949755401,1968,0,17493.9695118395,21456.3517342012,16141.6991749774,28266.6165678814,33851.7942494,0.116180085761316,0.0840214163835659,0,-9999,15.2009214663458,0,19.9401400131263,0,34.7444703656391,2.3237093361299e-14,0.0733891432066406,0.609320464292171,0.779282881119798,0.526622439224585,0.958378053372699,0.998624251181827,1492462.2,1
"5%PI",0.0410101591652259,26452.9380791812,1.00936495499523,1.25849635710381,1.0139207098783,1.5926293322217,13659.3740279437,0,0.0527013495215215,207.092104390499,1926,0,13659.3591315979,17695.9425435349,11501.5500121339,22723.1125888989,26127.5440022439,0.0399065619138076,0.0202969041383286,0,-9999,14.680027053496,0,16.3796318847456,0,31.4283493356268,1.50921294952454e-15,0.00743040310736169,0.400969139939775,0.476546218909348,0.358850785979654,0.602881647193857,0.787362662626434,76836,1
"95%PI",0.115000601153355,38966.0872348341,1.20033126814265,1.41105205411348,1.02302872200595,1.83339958094546,17103.9316639304,0,0.953871294204146,2083.43595113145,1968,0,17103.9284542024,21149.3733381159,15646.6038455122,27655.2936818117,32765.9938940618,0.114694427445228,0.079939339746058,0,-9999,15.1777258473916,0,19.3234599952292,0,34.1271884197206,2.24306215609632e-14,0.0553191787697889,0.590004143694872,0.761752856808632,0.509921238392939,0.952550412722122,0.998333424146544,1454248,1
"min",0.000410126780159771,24583.1399372367,1.00000210445181,1.2500014517596,1.00695991792819,1.42165288720644,11700.9943979792,0,0.000180898001417518,152.970485068236,1926,0,11701.5407015469,15534.2941958611,9557.88088333109,17330.1634102136,17930.4548011629,0.000404499795898072,0.00896683470011396,0,-9999,14.6737639403966,0,16.203024223791,0,31.2307718735379,6.31744573744299e-18,0.0048376673148064,0.167556940012812,0.167828132296585,0.16742150267965,0.168303739328809,0.169053752632123,152,1
"max",0.117996741279494,106063.630780094,1.42847245491492,1.41997350326972,1.02809229871451,2.04647593583461,20120.8679159172,0,0.999945508781821,17691.7807264082,1968,0,20120.8678877959,23446.6952497629,19861.5742394279,31366.0906003387,38354.8316722848,0.117787248453685,0.105116117733554,0,-9999,15.2293716236398,0,24.9009823821471,0,39.6032167028948,2.73305335259675e-14,0.231790729619766,0.727826346206633,0.877187692516171,0.635586342364452,0.982311638732733,0.99947803163684,1530653,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
