"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.084","0.087","0.031","0.067","0.103","0.116","3,979"
"2","$K$","29,391","28,187","25,350","26,830","30,456","40,861","3,979"
"3","$N_{min}$","   762","   453","   201","   302","   874"," 3,071","3,979"
"4","$N_{2006}$","13,513","13,407","11,330","12,631","14,293","16,226","3,979"
"5","$N_{2008}$","15,388","15,324","13,444","14,659","16,055","17,551","3,979"
"6","$N_{2012}$","19,292","19,293","17,329","18,599","19,956","21,283","3,979"
"7","$N_{2019}$","24,626","24,777","21,459","24,155","25,370","26,373","3,979"
"8","$N_{2030}$","27,776","27,614","25,156","26,598","28,848","31,178","3,979"
"9","Max depletion","0.023","0.016","0.008","0.011","0.028","0.078","3,979"
"10","Depletion in 2006","0.464","0.465","0.371","0.439","0.492","0.549","3,979"
"11","Depletion in 2008","0.531","0.534","0.396","0.5","0.567","0.632","3,979"
"12","Depletion in 2012","0.669","0.682","0.447","0.624","0.732","0.801","3,979"
"13","Depletion in 2019","0.854","0.889","0.538","0.811","0.933","0.965","3,979"
"14","Depletion in 2030","0.958","0.989","0.684","0.961","0.996","0.999","3,979"
