"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.087","0.087","0.063","0.079","0.096","0.112","10,000"
"2","$K$","30,383","30,072","26,563","28,727","31,608","36,362","10,000"
"3","$N_{min}$","   488","   442","   227","   347","   578"," 1,012","10,000"
"4","$N_{2006}$","13,049","13,026","11,314","12,408","13,657","14,962","10,000"
"5","$N_{2008}$","15,047","15,030","13,321","14,432","15,639","16,886","10,000"
"6","$N_{2012}$","19,379","19,373","17,516","18,728","20,017","21,300","10,000"
"7","$N_{2019}$","25,928","25,872","23,826","25,144","26,630","28,478","10,000"
"8","$N_{2030}$","29,755","29,585","26,449","28,436","30,817","34,840","10,000"
"9","Max depletion","0.016","0.015","0.008","0.012","0.019","0.031","10,000"
"10","Depletion in 2006","0.432","0.431","0.351","0.406","0.458","0.512","10,000"
"11","Depletion in 2008","0.498","0.498","0.403","0.469","0.528","0.587","10,000"
"12","Depletion in 2012","0.642","0.643","0.521","0.604","0.682","0.751","10,000"
"13","Depletion in 2019","0.857","0.865","0.725","0.823","0.901","0.946","10,000"
"14","Depletion in 2030","0.98","0.986","0.929","0.975","0.993","0.998","10,000"
