"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.092","0.094","0.055","0.08","0.105","0.117","10,000"
"2","$K$","28,239","27,780","25,328","26,691","29,265","33,749","10,000"
"3","$N_{min}$","   496","   393","   195","   296","   577"," 1,439","10,000"
"4","$N_{2006}$","13,006","12,948","11,181","12,303","13,653","15,142","10,000"
"5","$N_{2008}$","15,022","14,989","13,271","14,380","15,636","16,953","10,000"
"6","$N_{2012}$","19,251","19,257","17,441","18,626","19,877","21,066","10,000"
"7","$N_{2019}$","24,911","24,923","23,263","24,405","25,462","26,384","10,000"
"8","$N_{2030}$","27,696","27,529","25,286","26,582","28,686","30,831","10,000"
"9","Max depletion","0.017","0.014","0.007","0.011","0.02","0.044","10,000"
"10","Depletion in 2006","0.462","0.461","0.395","0.437","0.485","0.534","10,000"
"11","Depletion in 2008","0.534","0.535","0.447","0.505","0.564","0.62","10,000"
"12","Depletion in 2012","0.686","0.692","0.546","0.647","0.731","0.792","10,000"
"13","Depletion in 2019","0.887","0.905","0.711","0.856","0.936","0.963","10,000"
"14","Depletion in 2030","0.983","0.993","0.903","0.981","0.997","0.999","10,000"
