"","r_max","K","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2012","N2006","N2019","N2030","ROI_IA1","ROI_IA2","q_IA1","q_IA2","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2012","status2006","status2019","status2030","draw","save"
"mean",0.0911655145392413,30179.2805349976,1.10049868357342,1.33540245171578,1.01849894315776,1.7127685368069,14977.585075648,0,0.537475918808905,504.120421592429,1960.4673,0,14977.5900941103,19444.8895155503,12916.7137137706,25946.2920318278,29489.1044919424,0.09067250721201,0.0650977678071334,0.05453641524145,0.505757707076048,0,-9999,35.4286583746439,0,17.1128677821915,0,52.5415261568354,1.958422679884e-23,0.0162227328079292,0.499562992768049,0.649609571150761,0.430227520064914,0.865532554525727,0.979302338569753,695260.9672,1
"median",0.0928366120355204,29719.0393227952,1.0949284878468,1.33535039360635,1.01850778645772,1.71229633482069,14934.0903144912,0,0.558584978221916,416.470395271101,1959,0,14934.0416480262,19446.2166168739,12843.7251579598,25935.4032231623,29323.4692311122,0.09234850041086,0.065785904721396,0.053778599119693,0.504864236023028,0,-9999,35.3780844032913,0,16.9063976028455,0,52.2552668690647,2.02220858419097e-23,0.013983220920121,0.499990962922499,0.654155209791892,0.429830170366306,0.882363746332336,0.990466294399225,695374,1
"2.5%PI",0.0555117240345688,26108.8672075049,1.00549101013689,1.2546888497555,1.01299789474013,1.56801438851292,13250.7475115621,0,0.0336702171771322,193.903967263139,1926,0,13250.7030666753,17536.475690926,11131.3386895075,23641.7233183106,26051.6582368885,0.0546285355573398,0.0442685601417302,0.0266904383596009,0.460137990141395,0,-9999,34.962894240438,0,16.3139455462554,0,51.6036310391904,1.38589717901141e-24,0.00688700741462617,0.406245176961067,0.508502178192609,0.351906942915327,0.685753112556694,0.894032802008108,34024.525,1
"97.5%PI",0.11649054862801,36867.7747617112,1.3247681378282,1.41605563131062,1.02399621814762,1.85823034954433,16858.8521652768,0,0.979001081897877,1341.47402231911,1968,0,16858.8052185958,21369.6454812858,15003.4389573371,28422.5842832387,34351.8830659329,0.116178417168788,0.0822428137386614,0.0837467075609589,0.556129629570018,0,-9999,36.244204174106,0,19.0849841800226,0,54.9356945252912,3.8799648821557e-23,0.0387620608851884,0.59281934603998,0.768771452654834,0.510029471869519,0.956138471618249,0.998528665834247,1359035.525,1
"5%PI",0.0611640642357524,26581.3764441327,1.01093429936611,1.25892537248333,1.01385878784826,1.59048965308626,13520.4217441962,0,0.061873927700799,205.719389864391,1957,0,13520.5150462228,17834.7213322794,11401.2798319976,24080.7290686177,26486.7708996546,0.0603669908234469,0.0479908135423283,0.0299417763731173,0.466482307355541,0,-9999,35.0153796769628,0,16.3541171869158,0,51.6715206434843,2.51632154083272e-24,0.00739243952463865,0.421352269287358,0.532082787040524,0.36737967113563,0.721906471811779,0.921053534709983,68772.2,1
"95%PI",0.114967726919008,35444.898573437,1.22962359751671,1.4118116486608,1.02317717658002,1.83412188806119,16534.6704932046,0,0.958400881895795,1129.71068148658,1968,0,16534.6704354546,21054.8288035197,14644.3792294221,27857.4212029385,33097.5765001525,0.114680023046819,0.0797128105175116,0.0806312256983841,0.548264643516353,0,-9999,36.0050975068943,0,18.5761148185827,0,54.339244105711,3.62529801662916e-23,0.0335693385273177,0.576593079203584,0.751720205491291,0.495047294511877,0.949749923215762,0.998242907380921,1324596.45,1
"min",0.0266275877859443,24650.8717620415,1.0000016120085,1.25002220592927,1.00775736802414,1.43401667714115,12049.7199569363,0,0.000148294027894735,151.932316498003,1926,0,12049.964398477,16295.7871468251,9840.79754815487,20509.2951211914,24621.8262369731,0.0258969296925515,0.0239979064865836,0.0150180425259229,0.418722450032828,0,-9999,34.7702521739094,0,16.2017312505563,0,51.3284522664395,5.40591523262395e-27,0.0049607457320714,0.32413186719443,0.374045763225765,0.283665706870109,0.443857799366806,0.566702174989005,149,1
"max",0.117997866889928,49966.7780317619,1.42681595275793,1.41998621414183,1.02920901172111,1.98691977589152,19272.4082977511,0,0.999922007322311,3971.47719253026,1968,0,19272.4084550985,23218.2594155568,17853.4031814696,31705.1335677729,38728.2750783158,0.117791364074017,0.0953996109875674,0.103586491006826,0.593256978073295,0,-9999,39.0341826663188,0,23.4064299988197,0,60.4823037433477,5.10900603922397e-23,0.084121859423165,0.672180046264236,0.845287898290326,0.589371627234271,0.977701558713537,0.999354354615333,1395225,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
