"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.087","0.092","0.032","0.043","0.117","0.116","9,611"
"2","$K$","30,744","29,602","25,829","26,253","42,009","38,221","9,611"
"3","$N_{min}$","   707","   394","   188","   200"," 3,011"," 1,908","9,611"
"4","$N_{2008}$","15,236","15,181","13,329","13,609","17,417","17,046","9,611"
"5","$N_{2018}$","24,907","25,038","21,246","22,270","27,438","26,965","9,611"
"6","Max depletion","0.02","0.013","0.007","0.007","0.072","0.052","9,611"
"7","Depletion in 2008","0.503","0.506","0.378","0.404","0.609","0.593","9,611"
"8","Depletion in 2018","0.827","0.861","0.516","0.601","0.948","0.94","9,611"
