"","r_max","K","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2012","N2006","N2019","N2030","ROI_IA1","ROI_IA2","q_IA1","q_IA2","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2012","status2006","status2019","status2030","draw","save"
"mean",0.0911873329370781,30058.8882269754,1.10287511236694,1.33491731724102,1.01842579762865,1.71138121819907,14987.2194224347,0,0.529767606645823,476.475374684108,1958.748,0,14987.2237441861,19439.957450523,12928.9479481671,25882.2927227734,29365.6797040459,0.0906863750235475,0.0648473467446013,0.0545350713386719,0.505897784273399,0,-9999,35.4503037504303,0,17.1293663780539,0,52.5796701284842,1.91044658099143e-23,0.0153685292443671,0.501934883130085,0.652094314038923,0.432403334341332,0.866896902987602,0.979197687971406,707814.9624,1
"median",0.0932167648428585,29577.4492925681,1.09764919109774,1.33530451961793,1.0184369872046,1.71149325436434,14947.6775948424,0,0.54512041376438,374.04133478518,1958,0,14947.6674974844,19434.3414246836,12876.2689479895,25870.7799239423,29185.4242964968,0.0927605669041245,0.065540810859033,0.0539988668544403,0.505172153885031,0,-9999,35.3949503034777,0,16.9253154875435,0,52.2991217805949,1.93544129424507e-23,0.0127039612472897,0.501766588006784,0.656862988427067,0.431908809329273,0.885037424713456,0.990819106932362,704590.5,1
"2.5%PI",0.0546101092764526,26008.2830808014,1.00643524368451,1.25377448911307,1.01296913666078,1.57093730723778,13239.2720743257,0,0.0315686912508681,192.929463549762,1926,0,13239.3031382195,17528.9659672043,11119.0061128375,23491.0654919042,25951.4265891802,0.0537795000876728,0.0435150809713736,0.0264484784927316,0.459473419272573,0,-9999,34.9761306317921,0,16.3160912442053,0,51.6103232067738,1.22105722767104e-24,0.00687148548649204,0.405099865295712,0.506848629549445,0.353823385023649,0.685238357043104,0.889279635223843,35458.2,1
"97.5%PI",0.116446212815971,36876.8406301603,1.33668764330148,1.41556380003324,1.02393951653137,1.85864815076897,16877.8337678756,0,0.979000947630266,1356.15057956884,1968,0,16877.8460321183,21401.7260598221,15038.6633311232,28540.7734299263,34243.5217905239,0.116138356178938,0.0820810407398774,0.0843537166287961,0.557218861408173,0,-9999,36.3088407897179,0,19.17744663268,0,55.0623266351347,3.85408618689982e-23,0.039312739987621,0.595095155267576,0.769350011993181,0.512770218472184,0.957021038082015,0.998571957955226,1384668.275,1
"5%PI",0.0606381807885598,26431.8839987832,1.01229677927808,1.25841427512944,1.01387928190711,1.59182857266686,13518.3888904168,0,0.060016809462104,205.095759057386,1957,0,13518.4509733591,17821.3796573565,11381.9172578071,23957.2931886169,26349.6101405908,0.0598634254931508,0.0472425850275135,0.0294919587836129,0.466268039183545,0,-9999,35.0257887563402,0,16.3587713652185,0,51.6823743014909,2.4171406250099e-24,0.00735542266539894,0.422286733093307,0.535365977408926,0.367232678653502,0.723988025509985,0.922769728391355,71274.85,1
"95%PI",0.115087574454653,35332.3963237877,1.24269750488556,1.4111726759196,1.02302860516071,1.8346319785678,16545.1072180702,0,0.958267103577964,1106.88145858143,1968,0,16545.1070096773,21069.5611917071,14673.9824547004,27850.4157624258,32889.9326953214,0.114772353711033,0.079845212119419,0.0808126670628279,0.548457333079118,0,-9999,36.0435295515004,0,18.6391742907668,0,54.3794569507339,3.58616303414489e-23,0.0332216694082559,0.578947204355572,0.754545534139334,0.498984956759251,0.950399695752966,0.998276414562496,1349411.15,1
"min",0.0206773708839901,24698.3590910128,1.00000114407272,1.25000098794699,1.00692596735622,1.4511354168318,11831.8300440442,0,5.0452072173357e-05,160.886928169859,1926,0,11831.8304329361,15517.2170481124,10016.1233255811,20408.7823849725,24600.4916919555,0.0199525377095953,0.0187123541474905,0.0140614821047082,0.420269339625492,0,-9999,34.7855027830354,0,16.202068582136,0,51.3290149306894,3.274391988359e-27,0.00492070143543366,0.321294385883718,0.3614224377615,0.286102032594373,0.431362881713841,0.529228750779651,79,1
"max",0.117998456125148,49947.9682178954,1.42721271029599,1.41998978108168,1.02757976889583,1.97828270501915,19287.2961588437,0,0.999919958179817,5298.53596149235,1968,0,19287.2894808882,23178.0591288454,17346.5690864458,32409.0840245409,38652.9654697222,0.117773340343482,0.0946619543716503,0.0981702219442607,0.62948674279291,0,-9999,40.157731187733,0,26.099698670447,0,60.983665311397,5.10613219275456e-23,0.113987053713183,0.697605514997982,0.853431066062875,0.606591741624107,0.975499231739756,0.999269230161598,1420499,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
