"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.087","0.088","0.052","0.075","0.101","0.116","10,000"
"2","$K$","28,932","28,671","23,939","26,935","30,536","36,022","10,000"
"3","$N_{min}$","   535","   438","   196","   314","   648"," 1,424","10,000"
"4","$N_{2006}$","12,928","12,869","11,064","12,218","13,581","15,063","10,000"
"5","$N_{2008}$","14,971","14,927","13,240","14,324","15,576","16,915","10,000"
"6","$N_{2012}$","19,518","19,506","17,518","18,808","20,205","21,607","10,000"
"7","$N_{2019}$","25,757","25,763","23,056","24,883","26,607","28,594","10,000"
"8","$N_{2030}$","28,455","28,451","23,922","26,834","29,942","33,546","10,000"
"9","Max depletion","0.018","0.015","0.007","0.011","0.022","0.045","10,000"
"10","Depletion in 2006","0.45","0.449","0.363","0.42","0.48","0.539","10,000"
"11","Depletion in 2008","0.522","0.522","0.416","0.486","0.557","0.629","10,000"
"12","Depletion in 2012","0.682","0.681","0.524","0.629","0.733","0.856","10,000"
"13","Depletion in 2019","0.897","0.909","0.708","0.853","0.954","1","10,000"
"14","Depletion in 2030","0.985","0.995","0.912","0.984","0.999","1"," 9,445"
