"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.076","0.076","0.047","0.065","0.087","0.108"," 9,999"
"2","$K$","24,682","24,521","21,933","23,540","25,653","28,267","10,000"
"3","$N_{min}$","   690","   593","   225","   419","   875"," 1,574","10,000"
"4","$N_{2006}$","12,786","12,749","10,802","12,035","13,504","14,956","10,000"
"5","$N_{2008}$","14,778","14,751","13,015","14,128","15,401","16,693","10,000"
"6","$N_{2012}$","19,652","19,657","17,685","18,983","20,341","21,537","10,000"
"7","$N_{2019}$","24,387","24,460","21,927","23,516","25,319","26,485","10,000"
"8","$N_{2030}$","24,677","24,521","21,933","23,540","25,653","28,256","10,000"
"9","Max depletion","0.027","0.024","0.01","0.018","0.034","0.056","10,000"
"10","Depletion in 2006","0.518","0.517","0.465","0.499","0.537","0.576","10,000"
"11","Depletion in 2008","0.6","0.6","0.529","0.576","0.624","0.671","10,000"
"12","Depletion in 2012","0.8","0.801","0.653","0.75","0.852","0.939","10,000"
"13","Depletion in 2019","0.989","1","0.896","0.996","1","1"," 9,993"
"14","Depletion in 2030","1","1","1","1","1","1"," 5,659"
