"","r_max","K","catch_multiplier_1","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2012","N2006","N2019","N2030","ROI_IA1","ROI_IA2","q_IA1","q_IA2","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2012","status2006","status2019","status2030","draw","save"
"mean",0.0751560399264577,24772.0177500056,1.01861255080489,1.71034372101347,14772.0647317702,0,0.526068124500802,707.403469048446,1954.935,0,14772.0653992127,19585.5872552596,12801.945027134,24490.9169729257,24770.3871047159,0.0751560370080858,0.0696528632243358,0.0452727980197671,0.505730735090538,0,-9999,40.7660770378121,0,16.9462159372132,0,57.7122929750254,1.11053190679688e-25,0.0278307463140939,0.597351125949242,0.794453518375989,0.516798719887453,0.989730851910088,0.999945345892921,140115.316,1
"median",0.074496717241127,24694.0074001233,1.01849090579879,1.71059559760927,14764.9263907806,0,0.53012104309164,619.876666778675,1958,0,14765.0451845026,19565.1166623709,12783.7953187244,24623.7904535882,24694.0074001231,0.0744967167393855,0.0702180430322958,0.0424960825037301,0.50499154654201,0,-9999,40.5632612463626,0,16.7876901992019,0,57.4749149471239,1.09386106905087e-25,0.02503184898741,0.596649446871675,0.791585435439133,0.515195608987382,0.999778193827187,0.999999999999084,140657.5,1
"2.5%PI",0.0476509077485069,22036.077315629,1.01354869271102,1.5599872728963,13119.5140326308,0,0.0414354741689749,229.631473923163,1926,0,13119.4912973845,17797.3546785943,10876.3129093585,21982.6741400493,22036.077315629,0.0476508995577303,0.0472635514884979,0.0243706572763818,0.466835048011891,0,-9999,40.2103438934841,0,16.2293610740753,0,56.8052250140746,8.54030679212116e-27,0.0105006352895917,0.532942122272065,0.664794514422024,0.46967055966228,0.913226146479147,0.999957683364398,8201.475,1
"97.5%PI",0.107174437125854,27851.9569669749,1.02409085275769,1.84343597600145,16577.8093524568,0,0.978062241594307,1547.60982163836,1968,0,16577.8093539177,21406.4165915687,14856.9156151032,26362.7728438538,27851.8741438117,0.107174437106332,0.0899760801633949,0.0811245272057077,0.546595214635517,0,-9999,42.4959364215692,0,18.5594342976177,0,60.0250095985615,2.13699858624479e-25,0.0553123209965412,0.668120394979818,0.933944550518198,0.574572647470482,1.0000002130712,1,271143.85,1
"5%PI",0.0520331891641952,22357.4299398821,1.0143851163394,1.58786999556282,13346.4136764989,0,0.078381355246529,276.321776058932,1926,0,13346.3904477475,17983.2902094282,11105.0703005312,22335.528444677,22357.4299398821,0.0520331751614986,0.0513654066194336,0.0268865426986341,0.471667378375806,0,-9999,40.2372133124171,0,16.263413403358,0,56.8386271874041,1.66870604680571e-26,0.0122745407189817,0.543334721683416,0.682401201818005,0.475686411716208,0.939063285285925,0.999990205671841,15509.85,1
"95%PI",0.102498005049862,27388.8796809507,1.02327692923327,1.8250227795453,16268.0352350639,0,0.953840629348997,1362.50538495775,1968,0,16268.0349693587,21185.9412603132,14513.4489765785,26213.7390115619,27388.8376776056,0.102498004989914,0.0872660735373815,0.0748381208917895,0.541540554533444,0,-9999,42.0363161056073,0,18.1134190169226,0,59.3551877044164,2.06679714789161e-25,0.0498822330225396,0.653307621181694,0.911610178914661,0.562117976799485,1.00000001831627,1,264002.85,1
"min",0.0326899555716664,21140.7312430233,1.00858298730633,1.47849323226063,12187.097055139,0,0.00249954429455101,158.035180667712,1926,0,12187.0687915202,15738.6007509395,9880.07506469649,21140.5775190194,21140.7312433669,0.0326898902081298,0.0326046437706899,0.0178331718305935,0.449922950592914,0,-9999,40.1572661178335,0,16.2034597569764,0,56.7576961327406,1.04532544583598e-28,0.00747538856868376,0.476186870374259,0.577039545251632,0.432555096507751,0.74833272363388,0.978290753784165,301,1
"max",0.116479909101035,31038.6734603657,1.02868679949592,1.91836245314532,17930.500640301,0,0.99827386578545,2766.8145505024,1968,0,17930.5006402599,22169.2942505265,16482.6741398619,27226.5876625432,30393.8799988025,0.116479909096624,0.0997363630388362,0.100990129306103,0.610529500318334,0,-9999,45.4899183852659,0,23.4898102202638,0,64.4280543354792,2.24102016302154e-25,0.0891408762695813,0.741476343025255,1.00264055561014,0.600011510498612,1.00000600791363,1.00000000001625,278062,1
"n",1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
