"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.094","0.096","0.058","0.084","0.107","0.117","10,000"
"2","$K$","26,287","25,866","23,138","24,874","26,998","32,612","10,000"
"3","$N_{min}$","   441","   354","   193","   274","   505"," 1,232","10,000"
"4","$N_{2006}$","12,990","12,935","11,176","12,281","13,630","15,130","10,000"
"5","$N_{2008}$","14,972","14,937","13,255","14,342","15,572","16,892","10,000"
"6","$N_{2012}$","18,992","18,976","17,201","18,370","19,595","20,867","10,000"
"7","$N_{2019}$","23,920","23,780","21,891","23,068","24,453","27,691","10,000"
"8","$N_{2030}$","25,990","25,679","23,105","24,745","26,601","31,749","10,000"
"9","Max depletion","0.017","0.014","0.008","0.011","0.019","0.044","10,000"
"10","Depletion in 2006","0.497","0.498","0.387","0.468","0.53","0.589","10,000"
"11","Depletion in 2008","0.573","0.576","0.451","0.543","0.608","0.672","10,000"
"12","Depletion in 2012","0.727","0.733","0.585","0.69","0.77","0.832","10,000"
"13","Depletion in 2019","0.913","0.926","0.784","0.889","0.95","0.973","10,000"
"14","Depletion in 2030","0.989","0.995","0.944","0.988","0.998","0.999","10,000"
