"","N_1901","N_1902","N_1903","N_1904","N_1905","N_1906","N_1907","N_1908","N_1909","N_1910","N_1911","N_1912","N_1913","N_1914","N_1915","N_1916","N_1917","N_1918","N_1919","N_1920","N_1921","N_1922","N_1923","N_1924","N_1925","N_1926","N_1927","N_1928","N_1929","N_1930","N_1931","N_1932","N_1933","N_1934","N_1935","N_1936","N_1937","N_1938","N_1939","N_1940","N_1941","N_1942","N_1943","N_1944","N_1945","N_1946","N_1947","N_1948","N_1949","N_1950","N_1951","N_1952","N_1953","N_1954","N_1955","N_1956","N_1957","N_1958","N_1959","N_1960","N_1961","N_1962","N_1963","N_1964","N_1965","N_1966","N_1967","N_1968","N_1969","N_1970","N_1971","N_1972","N_1973","N_1974","N_1975","N_1976","N_1977","N_1978","N_1979","N_1980","N_1981","N_1982","N_1983","N_1984","N_1985","N_1986","N_1987","N_1988","N_1989","N_1990","N_1991","N_1992","N_1993","N_1994","N_1995","N_1996","N_1997","N_1998","N_1999","N_2000","N_2001","N_2002","N_2003","N_2004","N_2005","N_2006","N_2007","N_2008","N_2009","N_2010","N_2011","N_2012","N_2013","N_2014","N_2015","N_2016","N_2017","N_2018"
"mean",26316.4142515917,26316.4142515917,26316.4142515917,26316.4142515917,26113.0698708458,25832.830936781,25666.7545231614,24381.3105436712,22673.5261351493,19478.3771651549,13105.8385453825,7510.32701123569,4920.08867036047,4240.05562414603,3323.89639257829,1712.76800469614,1364.67410514238,1352.38375472024,1329.967417847,1325.84913193037,1331.57784701846,1442.97589904451,1163.85978346872,1119.62807463002,921.044367853375,717.406358167947,773.657067622567,843.04252645329,897.434752383179,920.752396299881,882.974301527535,942.169425039512,1001.24736962378,942.721843550671,963.422322812471,996.216861420057,967.686272806781,781.702256250064,851.613466142918,925.362071223806,960.600466963859,1029.81897698393,1122.86761164277,1219.30489726552,1250.04892484727,1046.08213708308,1110.18057131953,1175.20790354033,1233.1194648719,1260.85747753922,664.868760299768,678.014551847701,703.516126508296,623.367198997246,633.369687434289,591.237031924292,472.707196187913,450.848811736064,472.586426539495,497.188207651287,511.673469303436,541.562201029331,562.827874198614,598.075056795131,648.606042899867,650.66316140818,705.604807291409,572.922917313326,619.959297296142,671.061200569907,726.594679187106,786.959762648118,850.556635501491,921.745746128578,999.185465602388,1083.44505380113,1175.14681009082,1274.97099350547,1383.66115979158,1502.02993416412,1630.96523268378,1771.43693587879,1924.50400428333,2091.32200515756,2273.15099035546,2471.36362382096,2687.4533990783,2923.04270639621,3179.89039815051,3459.89834892237,3765.11630063885,4097.74400561943,4460.12931092755,4854.76034164946,5284.24931257969,5751.30470377379,6258.68756354586,6809.146569098,7405.32525397259,8049.63368147373,8744.07615705467,9490.0269489058,10287.9484029718,11137.0516769084,12034.911230872,12977.0616282527,13956.6292042174,14964.0786892977,15987.1776734145,17011.2857175689,18020.0432164426,18996.457759438,19924.2725715715,20789.3898601162,21581.065482952,22292.6300545438,22921.6193705046,23469.3589495792
"median",25889.6021543123,25889.6021543123,25889.6021543123,25889.6021543123,25686.6764620532,25411.0275822822,25250.0632154668,23978.7241933949,22297.9641527058,19148.6162107064,12859.9955970239,7347.13105275898,4803.08424633782,4137.51117699635,3235.46942496088,1641.83457595031,1296.90778511864,1285.9467065875,1264.42010398501,1261.3493120845,1268.04475722761,1379.62207863581,1102.16325214767,1058.27459945767,861.020804282231,655.498032902194,711.113385981861,779.956102524374,833.967355042053,856.977348823161,818.037823865923,876.547742302223,936.202514925629,876.127835294231,896.315745093868,928.771730388864,899.547350939039,711.12179292135,779.937268610387,852.629432980991,887.078658341798,955.288458478139,1047.90281882647,1143.79198402098,1174.0561712186,969.227363084043,1032.25554237215,1096.4047349461,1153.22598600747,1180.06555747587,582.859835872165,593.414577432633,616.154665773328,533.204966862539,540.002458554887,494.785374564573,372.615468001724,346.560552958081,363.945767428634,384.07395737446,393.702823600255,418.137090097481,434.206785057948,463.793303483938,508.636652807144,505.273317640747,554.689965522285,415.852961213212,456.045966043595,500.276058266008,548.31599904921,601.139194604057,656.98641938005,720.861589215909,791.034139614525,867.587957230362,950.965070032941,1042.89508701968,1143.78283339479,1255.36061201287,1376.86082974214,1509.64691027358,1656.36663564786,1817.32955235666,1994.13619265905,2187.83991795995,2398.9388775611,2629.98691189897,2884.93385561652,3164.63369537054,3469.21640762847,3806.92883329853,4174.22831624333,4579.728942029,5014.87058941416,5489.0752127959,6011.44346136024,6581.14089241659,7190.73494233812,7863.12153949912,8583.08530911361,9341.47496091488,10168.3393701727,11038.705784864,11947.0469359207,12902.1301418832,13903.0138002192,14926.5992038945,15963.5109026426,16972.8335109542,17997.8115929347,18974.8127165403,19892.8481495697,20742.6636641993,21518.2190678559,22224.5867620807,22837.7812944047,23362.5607767705
"2.5%PI",23120.2899909835,23120.2899909835,23120.2899909835,23120.2899909835,22937.2244094955,22689.8376841555,22550.4067346974,21402.8482743318,19902.5486772906,17087.5892752673,11434.5897941914,6460.90610943012,4174.41534060039,3602.05906437433,2807.62405990819,1365.74336294384,1054.11076668354,1047.92765371461,1032.49509106382,1034.12164137282,1045.130976578,1154.50685228239,904.838108582855,868.526775097503,688.432804108016,498.077281107251,548.210924704279,611.498907717635,662.366678774217,683.854481046837,648.898704825261,704.850165299579,762.152204820205,709.021264675703,730.199253481948,763.353016256049,739.146280758867,559.494013824965,624.724687624738,694.757037501041,728.543797865299,796.370731747714,889.158070547713,987.088491355593,1023.57182289052,828.251564169474,894.713402412635,963.846033644285,1027.85071487615,1063.36744308949,476.671361592885,486.521538926844,508.727824196471,425.525087218637,430.520428396302,383.004391073241,257.544912493006,225.493594250005,235.451775717803,247.723384369825,249.092633282722,264.767484521241,271.10147552153,290.50392095452,324.246184401516,308.864528372035,344.673024764632,192.560301554198,215.111886834071,240.215877556141,268.390921185824,299.716775794684,332.85955590181,371.016438227308,414.266675766184,461.976066509103,515.625613922819,575.191137033975,641.586932192012,715.278404939588,797.938920015538,889.604030047288,991.419899433727,1106.16524876442,1234.78030249797,1377.86495701803,1535.80218616436,1712.79679393681,1908.90370397774,2126.69295051224,2373.1782611005,2645.87744809146,2941.95501685561,3279.12543323383,3659.48541001056,4075.97063532475,4528.06388934565,5028.80347576463,5587.95061471186,6194.14694728291,6872.26501896781,7597.85896978045,8403.33228444265,9269.71621992781,10198.8486880389,11196.0621462661,12218.2815157337,13248.4305348795,14319.7024599628,15354.0631580411,16324.3591782576,17248.9171474945,18122.3605781345,18915.6936470644,19681.1036390628,20359.8257497238,20982.021545361,21507.7807894862
"97.5%PI",32542.367461673,32542.367461673,32542.367461673,32542.367461673,32294.7243098981,31950.8070618607,31738.7907879343,30155.2774090459,28039.3210681682,24087.0651268692,16281.5691525167,9422.81608046974,6275.32341259145,5408.52001784952,4288.40830103109,2424.34406355797,2058.89857242002,2032.86581732918,1998.479713072,1983.36176950952,1977.29705134957,2084.76271137871,1766.07071209915,1712.12015970821,1499.49826186866,1298.86373823519,1366.11990215976,1444.5455545871,1505.64857752651,1534.15940266628,1496.89329741287,1563.04057660786,1625.74992822353,1569.23697743038,1593.92952254162,1630.33107170327,1603.36958703745,1421.4565656554,1503.57720540332,1587.82670299996,1631.22831015928,1707.95484462069,1806.99566422024,1907.55420343568,1937.8242570788,1725.47994874586,1794.33010848173,1862.75221737258,1923.52732668928,1950.33119343374,1353.14295921765,1383.97709345279,1429.53193337937,1369.91719326812,1404.60752172752,1388.37476280551,1298.8942097091,1310.63173584755,1368.96302721361,1430.56029048373,1483.38791756496,1553.441161075,1616.21660655799,1696.62691648696,1797.07396018293,1850.49291686325,1953.97923343509,1874.57058834628,1979.03257967726,2093.35866335123,2219.78224891313,2348.26339156971,2474.93646291752,2610.20271982482,2769.186550531,2926.38562364351,3087.93428852435,3272.11946863539,3467.10207326778,3668.84343751016,3880.29595255434,4104.97534141581,4333.10171857448,4573.56542758982,4827.11197753522,5094.39765008904,5407.85697254604,5727.2693392109,6061.70828537746,6412.92403396812,6785.67065306615,7188.71876051997,7588.53246210469,8007.62178405968,8446.99673091862,8918.84500440332,9394.23163291632,9910.75421909578,10439.6272776369,11010.4622000687,11641.5167425862,12253.2761248724,12940.6277729019,13628.4297750621,14342.0181682292,15143.4167655343,15973.6128447207,16879.5900709855,17818.6063795498,18782.872497958,19823.0450235968,20835.0881787776,21882.1583873815,22929.5065815874,24036.4593309658,25086.6671574459,26044.3900810093,26933.214820105
"5%PI",23512.6873660579,23512.6873660579,23512.6873660579,23512.6873660579,23323.8687263429,23072.6018637767,22935.1498140355,21769.5863590605,20243.2627234896,17384.2605081869,11633.5718914711,6588.24836359356,4258.03078840649,3672.87347497595,2864.34792406646,1396.56021217399,1079.87988352892,1073.0358185284,1056.86252840407,1057.34451860175,1067.96953276061,1178.01262050405,925.262280235018,887.823988299858,703.845679562144,509.483218763081,560.028502470357,624.400724359396,675.416094775582,697.39828601523,661.292395819223,717.586731549547,775.206371800684,720.577334443117,741.320354787867,773.77067487411,748.135256154974,567.270440617009,633.131000494005,703.330978023145,737.273475292577,805.145437941286,898.104588290417,996.476197178318,1032.57511739338,834.822294545023,901.084311661927,969.766706257178,1033.24689617384,1068.13149591597,481.175966864149,491.006664354596,513.126052347808,430.166318117866,435.139323514126,387.64892100658,262.299436629649,230.460240284983,240.787211765473,253.311388092462,255.013312736205,271.35995058368,278.224077890251,298.232093517687,332.586774451641,318.231954033338,355.12067888958,203.868982036939,227.404678504545,253.566961103022,282.724394264601,315.263017620038,349.469526332855,389.691527244924,434.780952175488,485.081373361427,541.019547181381,602.502654468504,672.356260566731,749.413183170312,835.081576851618,931.056821475818,1038.61742881629,1157.05337763477,1290.97676766257,1438.43712926389,1603.3423678635,1786.3923681191,1989.5280200824,2215.96459160824,2466.0946614298,2746.90914892661,3058.82826135093,3401.41965727535,3782.7527053986,4205.65350658238,4674.31729044174,5189.2345295249,5758.69606470743,6381.37230252498,7072.17042517537,7828.22246266811,8641.42270065938,9516.59560733477,10441.5268330005,11417.0728272662,12444.5807766382,13492.9110493712,14555.2251649277,15602.8054105513,16590.5094639491,17536.9369096778,18427.1460763933,19212.5874691062,19960.6880182755,20618.9211350649,21236.062030466,21746.2428845319
"95%PI",31366.5776386521,31366.5776386521,31366.5776386521,31366.5776386521,31125.9478952135,30790.2778292283,30588.5358307797,29058.5429983892,27018.9557666984,23205.7092272422,15641.5231423855,9046.84998762316,5983.24064190089,5157.39702186646,4068.66508713511,2245.00416656073,1855.86047973502,1837.33047083393,1807.61794028054,1793.45619319927,1792.64346204533,1895.81129434631,1599.54192235376,1543.70150942781,1327.70366389505,1122.72020334878,1186.23636398757,1261.68178905904,1321.0781265437,1347.07703190814,1312.03392622106,1376.17759165684,1437.969639679,1378.47716841456,1401.78791641104,1436.73914695474,1406.99315677102,1225.41737191251,1303.42589482943,1383.29259324743,1424.51666734477,1498.2516007193,1592.7451106779,1688.38532096985,1717.73018932952,1505.25318305282,1570.96969902266,1635.68825616163,1691.33055665967,1714.39401578275,1112.41350942494,1136.27263143953,1172.99197818173,1105.46714503609,1130.91521578182,1106.16003731043,1006.77704835767,1008.85710062989,1058.42683799014,1107.29475709509,1153.05410875367,1211.79736299887,1264.81749180084,1333.31988232312,1419.78805963215,1455.27738579814,1550.55255502157,1456.93458387944,1552.82181221128,1650.37909676176,1752.61712580838,1868.02600217402,1989.31123076242,2114.11534307384,2249.90914523014,2395.95525618258,2554.77454636968,2717.31323879148,2896.74012331036,3087.59977953882,3284.79315395281,3494.4183031225,3716.46577325059,3952.93470451927,4209.40318070961,4478.0724707845,4758.49682242399,5054.44052304465,5368.18725789855,5712.10512233444,6074.05914372521,6456.56733629036,6868.8225801203,7281.16770997556,7727.12073824104,8182.74624995741,8668.88590865668,9216.48287178876,9796.53498501971,10398.5106213732,11047.2906546787,11699.9640679956,12403.3432739833,13143.4156726424,13909.9241105716,14730.2362720576,15643.1400611578,16539.7155561161,17519.6125598651,18493.590345201,19511.7976784566,20535.2264743218,21527.2735820521,22527.940392378,23420.0750488995,24360.5599779255,25347.6002566108,26155.8613058817
"min",22273.8504189785,22273.8504189785,22273.8504189785,22273.8504189785,22093.7651066237,21855.1198609346,21727.9897030477,20612.2364615582,19168.7958622738,16449.9316656748,10967.2235761081,6175.87754293835,3979.93031313383,3436.86762885336,2677.38639460236,1289.73673358344,990.981512923153,985.570281252569,971.460074614713,973.835329429564,985.560942719019,1092.40125236514,853.660284508662,819.660408346171,647.534234240467,467.330471511635,515.109164387173,575.55299023616,623.923855003442,645.693343251407,613.53527848217,667.369593937852,722.474406700561,674.105201005143,695.708072326517,728.921352410724,708.539749086768,541.474860893904,605.316201847892,674.175385751138,708.533132538581,775.768348335821,867.219985947814,964.430702554298,1002.89727198808,819.636783072282,885.681261471213,954.131170635915,1017.43349951485,1052.69307006786,468.557073032752,478.017413891565,499.794462373424,416.206519171227,420.509271877478,372.370904785195,246.258050041236,213.200288331186,222.063243363029,232.990136924414,232.987296466769,247.239547658553,251.972643129305,269.483103267262,301.278438520485,283.876319650001,317.369800150369,162.366616694168,181.523842231688,202.941354665498,226.885824742281,253.579157525758,281.269488735879,314.162601854946,350.902175303431,391.937902042658,437.772001233944,488.965331798885,546.144207643343,610.007990555987,681.337542934541,761.004628107234,849.982350477903,949.356730077886,1060.33950492572,1184.28224774898,1322.69186797423,1477.24754084464,1649.81905639049,1842.48650207413,2057.56107034204,2291.81743585318,2550.06717237306,2837.13859841416,3156.12693165649,3510.40685148744,3903.6341108337,4339.73493697099,4822.87702394138,5357.41360459667,5947.78919516673,6598.39220898887,7313.33607372949,8096.147570159,8934.18537950195,9837.07469466992,10813.3137141911,11862.1486721093,12980.1168608223,14109.6383341514,15055.0464723391,15980.6146189808,16781.8545879839,17502.9396164352,18154.8694329912,18814.9998383077,19358.8627575146,19835.6503178112
"max",36775.0800834122,36775.0800834122,36775.0800834122,36775.0800834122,36525.4234124576,36150.2821088434,35877.1914565487,34213.0319111049,31872.0219434844,27549.2354045725,19144.3487033439,11946.1650083623,8586.77231785027,7567.17288635242,6316.19983324018,4349.67520049146,4016.51004468313,4010.82845707745,3996.70750786744,4000.79126217077,4014.30209155408,4124.39000506595,3870.52997594923,3848.17970615405,3687.62392920214,3534.78211540777,3632.91311410433,3741.16264714571,3832.93255133257,3894.29083899814,3899.52434174419,3996.95713577399,4092.06045292304,4077.20168283734,4139.47788570897,4212.8733148659,4229.44944616125,4104.8170535352,4226.84777826377,4349.90130613428,4433.6409304646,4548.81001968744,4683.69894776684,4817.4263394456,4884.36542500888,4728.72966324994,4838.10232101569,4945.49634768793,5042.66233799718,5106.79243132494,4543.536720252,4632.23368457805,4734.73986315865,4731.7430647124,4826.87872262062,4871.54153368168,4844.84259949764,4925.82883959245,5055.17226078383,5189.2303233223,5314.8246106516,5458.30319223351,5594.58064551751,5746.97000356506,5915.90660492835,6036.35201366196,6213.34216872715,6201.85309904402,6383.41527292261,6569.96337344449,6761.60056185001,6958.42858590093,7158.50111079246,7365.95378259983,7578.8883933224,7797.39610893988,8021.56396013657,8251.47414056562,8487.20324725027,8728.82146119963,8976.39166673869,9229.96850858803,9489.59738639292,9755.31338720884,10027.1401574159,10305.0887166712,10589.156217829,10879.3246582721,11175.5595498085,11477.8085562014,11786.0001095036,12100.0420186509,12419.8200862105,12745.1967517387,13076.0097828315,13412.0710375896,13753.1653247834,14099.0493904003,14449.4510613684,14804.068578961,15162.5701555386,15524.5937887519,15889.7473669353,16276.0483065517,16830.9983804821,17395.5776793359,17968.86220648,18549.8073386782,19161.0625717343,20146.5457542758,21198.1170452262,22461.4983495086,23682.2198368617,24839.5110197142,25914.9799060218,26894.1966926858,27767.8140682515,28610.7372711783
"n",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
