"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.088","0.089","0.051","0.076","0.103","0.117","621"
"2","$K$","25,407","24,915","22,238","23,712","26,556","31,559","621"
"3","$N_{min}$","   619","   571","   203","   336","   802"," 1,450","621"
"4","$N_{2006}$","13,291","13,229","11,449","12,532","14,077","15,390","621"
"5","$N_{2008}$","15,114","15,074","13,369","14,407","15,809","16,991","621"
"6","$N_{2012}$","18,677","18,679","17,048","18,024","19,262","20,277","621"
"7","$N_{2019}$","22,923","22,879","21,424","22,273","23,552","24,641","621"
"8","$N_{2030}$","24,954","24,741","22,218","23,619","26,181","28,787","621"
"9","Max depletion","0.024","0.023","0.009","0.014","0.03","0.049","621"
"10","Depletion in 2006","0.526","0.525","0.44","0.494","0.556","0.618","621"
"11","Depletion in 2008","0.599","0.6","0.486","0.563","0.636","0.7","621"
"12","Depletion in 2012","0.741","0.746","0.576","0.701","0.796","0.853","621"
"13","Depletion in 2019","0.908","0.925","0.732","0.882","0.956","0.977","621"
"14","Depletion in 2030","0.984","0.994","0.901","0.984","0.998","0.999","621"
