"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.09","0.092","0.053","0.079","0.105","0.116","10,000"
"2","$K$","26,972","26,425","23,113","25,071","28,326","33,595","10,000"
"3","$N_{min}$","   589","   490","   198","   312","   797"," 1,450","10,000"
"4","$N_{2006}$","13,088","13,036","11,219","12,376","13,742","15,259","10,000"
"5","$N_{2008}$","15,023","14,993","13,261","14,378","15,638","16,969","10,000"
"6","$N_{2012}$","18,973","18,960","17,256","18,351","19,573","20,794","10,000"
"7","$N_{2019}$","24,019","23,931","21,930","23,223","24,662","27,076","10,000"
"8","$N_{2030}$","26,466","26,186","23,072","24,952","27,736","31,130","10,000"
"9","Max depletion","0.021","0.018","0.008","0.012","0.029","0.046","10,000"
"10","Depletion in 2006","0.489","0.488","0.393","0.457","0.52","0.585","10,000"
"11","Depletion in 2008","0.561","0.563","0.449","0.525","0.599","0.671","10,000"
"12","Depletion in 2012","0.71","0.717","0.552","0.665","0.761","0.832","10,000"
"13","Depletion in 2019","0.897","0.916","0.718","0.866","0.945","0.972","10,000"
"14","Depletion in 2030","0.983","0.994","0.904","0.983","0.997","0.999","10,000"
