"","r_max","K","catch_multiplier_1","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2018","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2018","draw","save"
"mean",0.0875543649090684,26419.0734255207,1,1,15459.6930619517,0,0.510769326735381,761.196197943388,1957.1811,0,15459.7008440154,22974.5636658188,0,-9999,0,-9999,0,0,17.638556267515,0,17.638556267515,2.91790206201592e-08,0.0256398476433716,0.590210224966018,0.880861419445679,16485.3843,1
"median",0.0924909119326621,25485.3515058015,1,1,15412.0953870006,0,0.518242710619234,411.479127208481,1958,0,15412.146619979,23087.5466614708,0,-9999,0,-9999,0,0,17.3505311480554,0,17.3505311480554,2.91581566141137e-08,0.0160597435127135,0.591472307078919,0.913797376026991,16159.5,1
"2.5%PI",0.0302042560979607,23782.0493148942,1,1,13554.0680075064,0,0.0356051896233112,198.467945794569,1926,0,13553.9566901274,20632.2427106312,0,-9999,0,-9999,0,0,16.6543617810979,0,16.6543617810979,1.66284650764404e-09,0.00825199502039572,0.46926589887846,0.60058700982682,844.775,1
"97.5%PI",0.117111588168039,34478.6753513823,1,1,17629.9500730587,0,0.970999269280583,3539.27535101296,1968,0,17629.950068664,24192.0923753573,0,-9999,0,-9999,0,0,20.2147349489169,0,20.2147349489169,5.84928225845617e-08,0.102635041512721,0.690090961719384,0.968627300982612,32633.075,1
"5%PI",0.0409763745381497,23917.0991885535,1,1,13847.795573296,0,0.0574942325707525,213.967350015693,1926,0,13847.7952956774,21393.4265155776,0,-9999,0,-9999,0,0,16.7061927073786,0,16.7061927073786,3.19429096879769e-09,0.00894303579375895,0.500572371459032,0.688648046317807,1518,1
"95%PI",0.115569158236682,31586.5978127365,1,1,17250.5864235573,0,0.955108581343666,2323.28003518872,1968,0,17250.5864234686,24000.8732543183,0,-9999,0,-9999,0,0,19.5619007006329,0,19.5619007006329,5.55383142582411e-08,0.0734067643070965,0.674769875449139,0.964261047022999,31786,1
"min",0.0027230087351054,23451.5217910128,1,1,11050.2911364892,0,0.000921707600355148,137.649380382216,1926,0,11050.4859377409,16066.1860995811,0,-9999,0,-9999,0,0,16.5344465356979,0,16.5344465356979,1.07078314789445e-12,0.00565759814312147,0.234095041681951,0.240906319495778,6,1
"max",0.117962985467166,68731.8857926947,1,1,21090.6315874308,0,0.999978016596287,16749.5770521839,1968,0,21090.6315997672,25048.2381160978,0,-9999,0,-9999,0,0,27.5626308212531,0,27.5626308212531,6.59448839349678e-08,0.288910923506495,0.789546080664363,0.984809805111117,33256,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
