"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI"
"1","$r_{max}$","0.088","0.092","0.03","0.041","0.117","0.116"
"2","$K$","26,419","25,485","23,782","23,917","34,479","31,587"
"3","$N_{min}$","   761","   411","   198","   214"," 3,539"," 2,323"
"4","$N_{2008}$","15,460","15,412","13,554","13,848","17,630","17,251"
"5","$N_{2018}$","22,975","23,088","20,632","21,393","24,192","24,001"
"6","Max depletion","0.026","0.016","0.008","0.009","0.103","0.073"
"7","Depletion in 2008","0.59","0.591","0.469","0.501","0.69","0.675"
"8","Depletion in 2018","0.881","0.914","0.601","0.689","0.969","0.964"
