"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI"
"1","$r_{max}$","0.085","0.09","0.025","0.036","0.117","0.115"
"2","$K$","24,030","23,428","22,262","22,315","29,582","27,424"
"3","$N_{min}$","   848","   432","   213","   229"," 4,305"," 2,510"
"4","$N_{2012}$","18,674","18,686","17,000","17,260","20,272","20,047"
"5","$N_{2018}$","21,594","21,712","19,666","20,369","22,512","22,366"
"6","Max depletion","0.032","0.018","0.01","0.01","0.145","0.091"
"7","Depletion in 2012","0.783","0.795","0.606","0.656","0.887","0.872"
"8","Depletion in 2018","0.906","0.933","0.673","0.746","0.978","0.974"
