"","N_1901","N_1902","N_1903","N_1904","N_1905","N_1906","N_1907","N_1908","N_1909","N_1910","N_1911","N_1912","N_1913","N_1914","N_1915","N_1916","N_1917","N_1918","N_1919","N_1920","N_1921","N_1922","N_1923","N_1924","N_1925","N_1926","N_1927","N_1928","N_1929","N_1930","N_1931","N_1932","N_1933","N_1934","N_1935","N_1936","N_1937","N_1938","N_1939","N_1940","N_1941","N_1942","N_1943","N_1944","N_1945","N_1946","N_1947","N_1948","N_1949","N_1950","N_1951","N_1952","N_1953","N_1954","N_1955","N_1956","N_1957","N_1958","N_1959","N_1960","N_1961","N_1962","N_1963","N_1964","N_1965","N_1966","N_1967","N_1968","N_1969","N_1970","N_1971","N_1972","N_1973","N_1974","N_1975","N_1976","N_1977","N_1978","N_1979","N_1980","N_1981","N_1982","N_1983","N_1984","N_1985","N_1986","N_1987","N_1988","N_1989","N_1990","N_1991","N_1992","N_1993","N_1994","N_1995","N_1996","N_1997","N_1998","N_1999","N_2000","N_2001","N_2002","N_2003","N_2004","N_2005","N_2006","N_2007","N_2008","N_2009","N_2010","N_2011","N_2012","N_2013","N_2014","N_2015","N_2016","N_2017","N_2018"
"mean",24030.4358977639,24030.4358977639,24030.4358977639,24030.4358977639,23850.4358977639,23598.3687545627,23442.4570395444,22293.5290264761,20750.3833580736,17870.6601525874,12155.2390457018,7126.39879787265,4788.07785420965,4159.08647051885,3325.5016087221,1883.32964309466,1571.96778879247,1560.6324318742,1540.40785478512,1536.54281441558,1541.40925983073,1639.74611026797,1391.44019819176,1353.33298914749,1179.00090958682,1001.91883051779,1056.73541799949,1122.92509750258,1175.46851949243,1200.24107677539,1170.91919772663,1227.94072768836,1284.56998066157,1236.79812645394,1259.83747158474,1293.62903893443,1273.08524150089,1113.6311556227,1182.51417580981,1254.9068632223,1299.1307498199,1369.83706581171,1459.27461245058,1552.05384631814,1596.49943486991,1466.5857837402,1533.63748240363,1601.17717034572,1661.27891200331,1691.35150912098,1108.89946790546,1130.27351325323,1164.0451130454,1094.25255977642,1114.14891624857,1083.24150843511,978.225518747636,969.793553699594,1005.00577438212,1043.50579622796,1072.55271176649,1117.3303790599,1154.1416396903,1205.29662659715,1271.98202363105,1291.491086776,1363.83584792038,1252.43310904685,1319.78060881414,1391.82559223662,1468.94155564041,1551.53393491278,1638.04291146718,1732.77815813275,1834.41165367593,1943.50560615921,2060.67052385995,2186.56929420805,2321.92153570655,2467.50821336329,2624.17649559315,2792.84481285883,2974.50805368569,3170.24279967546,3381.21245451031,3608.67205837797,3853.97249310589,4118.56366721516,4403.99611468561,4711.92023469634,5044.08212774454,5402.31463005476,5788.52169610215,6204.65371404122,6652.67065578268,7134.48917883885,7651.90896982044,8206.51288466032,8799.53505875707,9431.6915813713,10102.9702584089,10812.3804160523,11557.6718058057,12335.0444750224,13138.8890202989,13961.6167274133,14793.6557245664,15623.692048912,16439.2108852348,17227.3351421907,17975.8724294732,18674.394891553,19315.1311930007,19893.479526975,20408.0529198556,20860.3001334021,21253.8478462864,21593.7449565679
"median",23428.2940575588,23428.2940575588,23428.2940575588,23428.2940575588,23248.2940575588,22998.5957375143,22848.376638236,21707.2125223683,20184.6115933213,17339.1766617551,11673.4092531923,6695.10913881769,4387.58953471946,3777.01842784534,2958.26489687242,1526.13243844423,1216.69003848661,1205.30255107633,1184.90758499667,1180.72078223061,1185.28793568098,1283.26651567315,1035.06880621895,995.509996030561,819.362062012705,639.341954504209,690.057640829036,752.438462727926,801.386074737158,822.750636404089,790.042888066484,843.291988806514,896.332309615792,845.150822807115,864.358613658321,894.241422826802,869.680902071931,705.913147133062,769.423148547061,836.773121069186,875.906279184628,941.901823668768,1027.00586344659,1116.17241733611,1156.56931060187,1022.34330067093,1084.04548252797,1146.16329454544,1201.69992545843,1227.17522500132,639.559111486343,652.68395676865,677.997354852002,598.913346091538,609.106576193626,568.525253720457,452.47858057405,431.902703848706,454.821076099092,481.724229717823,498.011805878114,529.126820793343,553.084660381528,590.756241927167,645.705118028558,650.458420166637,709.687086877851,585.326575144039,638.604438295157,695.789022038528,757.074253310453,824.545879992238,896.504932193994,978.307161115397,1063.62080502649,1160.4563392752,1265.48060176368,1377.81747457256,1502.62552216593,1633.13644663853,1781.97965286001,1944.82180564744,2120.74633326841,2313.10169681117,2527.46373580076,2754.65871530407,2998.47368363874,3258.45319320332,3546.76824998539,3865.1909343055,4209.70952326329,4591.16314990483,4998.25732985263,5444.53243205258,5926.76719771795,6454.16312633069,7020.75116569499,7634.16255716639,8268.50159968952,8950.3213443264,9675.3894594086,10439.5091467388,11259.1924429383,12115.9674968104,12960.965717952,13829.5367755683,14699.9090907276,15568.4159662146,16405.5756070002,17218.3459820169,17963.584400099,18685.6535063243,19362.0407588899,19966.2847802967,20516.0952892238,20991.9570967608,21388.2534089033,21711.827100446
"2.5%PI",22262.3470688769,22262.3470688769,22262.3470688769,22262.3470688769,22082.3470688769,21843.7856882185,21716.6566475861,20601.368360106,19158.4019205529,16440.4787715335,10959.8151819007,6170.00309174881,3974.39900373676,3430.92257853899,2671.08389935396,1283.33468783943,985.69382889161,979.471111447619,964.524797659883,965.840394518743,976.307913758821,1080.99254558297,842.795226904223,807.893819741339,635.965676928646,456.084189028204,502.216830237077,560.686573611959,606.961278366359,626.621023948746,592.568416821423,643.611831427806,695.607595045647,644.65860388392,662.776279497394,692.003969755964,667.635341778544,503.428908774461,562.041036588611,625.405340895775,662.135584328342,726.135093293083,810.572406304134,901.018388148642,946.27220174846,818.194454189448,883.823874891799,952.038443084832,1014.32172825849,1049.64940638656,473.467083870071,483.52576392711,505.63189719765,424.191170839706,429.854423475861,383.902748545349,261.325947409275,230.553390619674,241.401736338271,254.255480604581,256.627323680608,273.621076790877,281.600879921253,301.803720034568,336.163251746889,322.434140726141,359.846907053963,213.119877540998,238.157047401222,265.419410761186,295.180515704115,328.287008766888,364.170217082741,406.417246217385,453.564552399262,506.180181634299,564.897874235629,630.424592785451,703.5488813098,785.118810667344,876.115245726665,977.817934623383,1091.19517953203,1217.69683719447,1355.56220670008,1508.78358489875,1679.26273811165,1874.23270763995,2086.71246567816,2319.47378023821,2584.05283454714,2880.13044461388,3204.65476872288,3561.33661299911,3973.71514419305,4409.038355247,4895.04423524798,5421.51419442592,6009.45616139658,6661.25939045374,7368.02559790454,8133.14581684515,8965.51401293716,9837.36140963302,10753.8773897752,11721.9333701198,12692.9954785746,13650.5513033388,14603.7204706797,15503.1191452749,16283.8619719671,16999.5490699005,17580.8526346477,18086.7378354813,18527.8204674846,18950.2469568649,19334.154923185,19666.3665748996
"97.5%PI",29581.9639531182,29581.9639531182,29581.9639531182,29581.9639531182,29401.9639531182,29124.9018189541,28912.234540599,27690.7926704744,25945.6937110858,22734.0516710162,16538.8065514669,11025.8175577815,8393.50715932826,7592.46342442708,6618.17017836106,5080.26511049069,4752.04631863532,4742.39841022661,4724.53139786766,4724.60645477546,4749.48275598261,4866.8975358606,4622.20802805573,4602.69869256217,4449.72459192621,4304.80044135805,4403.32682370299,4511.20821534479,4604.45246237495,4669.20505580621,4679.53834362176,4779.12391213818,4876.29678588181,4866.98342737117,4932.42657594192,5007.0621981318,5016.83915058475,4900.97534601253,5022.6205904865,5139.05991640261,5234.61576121634,5356.59589846132,5494.59325571322,5631.99187610358,5716.7637557794,5625.61009165173,5738.34625332763,5852.50957706626,5944.73578673173,6010.03577005687,5461.56235843231,5545.663704019,5635.46824705064,5631.09927138669,5732.30382318386,5783.98929991759,5760.12866803316,5821.4758355876,5928.7608378256,6038.86556055278,6139.17493301818,6271.11887321957,6412.97359418039,6545.31342299344,6708.33979635302,6833.79139432762,7007.80147152312,6986.08009833485,7143.79802250303,7304.79533818675,7492.24732441414,7663.67611808734,7850.52357105196,8046.78907178227,8247.41549697987,8453.6052952559,8662.29571368345,8885.24887464539,9105.35488947065,9330.28049563103,9559.69659116401,9771.88702637731,9979.97459314876,10240.9375602313,10448.9045160763,10717.1153733696,10950.0944203878,11213.0339673201,11472.6420035423,11725.3679961183,11982.4285055106,12227.6511610946,12477.957796883,12751.378170495,13010.7694493574,13304.3698133729,13607.8596930382,13962.5807312514,14314.5954727348,14668.0257542177,15008.2600872399,15392.216397027,15704.7054365497,16042.1148237221,16424.6109288673,16856.0107425017,17349.0048902989,17893.6878374554,18487.078413335,19105.9311700544,19721.2659307047,20272.4226543702,20775.9390099201,21219.2179029879,21593.8710278813,21930.259088748,22228.7467163869,22511.9281555884
"5%PI",22314.7691622409,22314.7691622409,22314.7691622409,22314.7691622409,22134.7691622409,21895.6666417081,21767.4466869719,20650.9859424742,19204.2761089543,16480.4116585999,10991.1184057067,6192.53097510127,3991.77502209523,3445.23159942157,2682.66506331924,1292.83681632235,994.647598089739,988.194570971119,972.999429576067,974.056718886556,984.235609426027,1088.58516620451,849.93247319649,814.831683253425,642.691471235391,462.734326469194,509.050807039992,567.702471018071,614.109470600829,633.822167729567,599.804828960369,650.872214989087,702.820490242477,651.88627901225,669.938706690213,699.068412028437,674.549826623255,510.437694359536,569.427310890359,633.043364526617,669.976946779152,734.16161505363,818.735926521125,909.045043552867,953.745710159859,825.538845271023,890.431576582235,957.775823810197,1020.11466617784,1054.79037965044,478.339169547598,488.427884846374,510.763129461297,429.829556122807,435.271870419978,389.560823220001,267.733798457165,237.125317974617,248.229625492018,261.891216806097,265.008836288368,282.796756114362,291.118614763632,313.048734618652,349.188286267675,336.446533365597,374.680517648857,229.302939924848,256.160690648637,285.839132232946,319.165223820289,355.231328480462,393.015129310435,437.584186372606,487.703481763828,544.865810820463,605.743146055753,672.976090812669,747.497284956199,835.34462227807,928.43354161197,1031.60381702304,1146.38857960629,1280.30188587858,1425.96184596414,1588.79253160287,1765.89099318536,1969.71717815096,2194.80730842439,2442.2617057814,2718.10671340417,3021.84018278849,3357.32272076446,3730.35035954734,4136.64376048301,4604.76428885461,5112.18234225145,5672.85472784061,6276.28994576673,6927.10324251436,7651.06050207803,8401.50619890463,9213.81843384017,10082.9690930218,11016.5004661116,11958.1831795074,12956.3043612296,13930.5971329115,14854.3202527339,15727.7213090531,16541.1808630276,17259.6009504205,17885.126101611,18450.281279237,18989.6893211332,19490.8671192931,19946.7054209843,20368.9779097711
"95%PI",27424.1960123816,27424.1960123816,27424.1960123816,27424.1960123816,27244.1960123816,26971.5768432185,26769.600770423,25562.8995151023,23856.8053500553,20710.1419732913,14608.2416838207,9187.09066105692,6613.90585821696,5846.09498102328,4897.13648980659,3374.30280926149,3048.50987612096,3037.11653756119,3017.34876396729,3013.05450997056,3019.20439694515,3120.99227209949,2869.20168542851,2838.32775865072,2670.58236650073,2509.98665221091,2592.61201719999,2684.27880284846,2762.76498295544,2812.07372194144,2806.97399761005,2889.99842522978,2970.97848763025,2945.83830008598,2994.74809742112,3054.29587989708,3058.25315631584,2924.16454112046,3027.36347583058,3139.21242287416,3213.84713059049,3310.84390915297,3431.10553344355,3550.77826886683,3616.07927385396,3505.91030178152,3602.17181793211,3698.21605783054,3784.6851880606,3839.23247288066,3280.71890837823,3355.2083234088,3440.14792585096,3417.35544290942,3492.67592808655,3516.8790948133,3469.37245230252,3530.60466851694,3652.41816983937,3761.8747268887,3869.58108317247,3991.0492779089,4102.02948463528,4228.45106081951,4386.87217111522,4490.11520884307,4648.56479405418,4618.34945653034,4782.76350389174,4957.71126816864,5131.87586329194,5327.87251580225,5520.49572800503,5704.05054212257,5894.23924874239,6120.47413251906,6337.66325457586,6563.85487414187,6782.60850621039,7031.92414957638,7266.51309772162,7505.83507232509,7758.15564565646,8017.3686273463,8286.38360305648,8576.27242839827,8878.06518118206,9189.03519574818,9498.59884022781,9821.57225826609,10147.2615611048,10497.9535643699,10816.6987107737,11165.9010600573,11533.3421587206,11926.1768984406,12306.7594561855,12692.1619064755,13094.4858824709,13519.195600031,13922.6106541936,14377.4282201276,14852.3209290605,15307.1694415616,15813.5440917908,16340.7746636404,16894.3458361454,17471.302582725,18125.9985942155,18782.2033096356,19433.9073005555,20047.4970318801,20582.9761412354,21042.2946595206,21445.080603701,21785.8517037159,22082.7635841376,22365.7036661056
"min",22205.8823470946,22205.8823470946,22205.8823470946,22205.8823470946,22025.8823470946,21787.906230474,21661.9534768378,20547.9236804275,19108.9917010736,16397.4649493799,10926.0903521544,6145.71457257086,3955.63161392933,3415.42706684269,2658.49634790172,1272.9546985577,975.867048761384,969.850496878697,955.125990773818,956.668800669339,967.393163946235,1072.37950318521,834.716471384888,800.086083675154,628.378146790458,448.445558984312,494.310014003972,552.579784569651,598.716221662948,618.288896056968,584.167632060591,635.026114240847,686.876747224703,635.835606544784,653.781607783902,682.841818535812,658.325377848435,493.920871692248,552.144782067021,615.229960328475,651.74829845856,715.568971154146,799.907506958953,890.178542244561,935.077389938888,807.260822454101,872.389587240105,940.130967563543,1002.84079014023,1037.92502771532,462.134043861186,471.578167783231,493.134643023099,411.197865317047,415.475445391854,368.255155843082,244.491677231029,212.198229221543,221.11325306532,232.074984849958,232.323719687603,246.601658064741,251.555937149039,269.09188318164,300.590450316008,283.234411313502,315.878182504669,163.283945970066,182.1034044986,203.091869820484,226.499305360189,252.604471296358,279.718237653252,311.956785179278,347.910637915557,388.007826717473,432.725633723539,482.596232118618,538.212959466124,600.237290277667,669.406577772673,746.542638093864,832.561251824958,928.482656367072,1035.44309689027,1154.70749072333,1287.68323659142,1435.93516086453,1601.20153046634,1785.41096562647,1990.69994006902,2219.43034017877,2474.20623850069,2757.88857998751,3073.60582727644,3424.75769323343,3815.00781744741,4248.25951808625,4728.6064736692,5260.24730111151,5847.34954857432,6493.84491308646,7203.13429793113,7977.68023639192,8818.46807079295,9724.33054546959,10691.1590629319,11711.0745655889,12771.7032456915,13855.7861694104,14941.4146186855,15226.5114319738,15376.1183167683,15526.6129745651,15677.9811672403,15830.2079616083,15983.2777207634,16137.1740960337
"max",47497.6661792993,47497.6661792993,47497.6661792993,47497.6661792993,47317.6661792993,47030.2350547615,46791.6971786799,45532.8865519461,43689.7063262356,40309.2334365504,33858.6381380082,28051.6335124796,25197.3629570868,24224.5274096424,23095.3180706302,21423.5694836546,21000.8295581266,20903.804813233,20798.7128440173,20711.547290726,20633.3201013532,20648.0371329488,20307.7646917252,20198.2449330251,19955.6438475172,19724.8596669836,19740.8975936675,19763.9479985959,19768.0163076124,19740.0877729325,19656.137548196,19661.1218112493,19661.1099770038,19552.0981334939,19518.000556388,19492.8760012791,19410.7315185493,19191.5215930254,19214.1348729831,19234.7665347582,19221.4149387552,19231.0525113106,19253.6979034735,19272.3616457363,19235.0404867311,19019.6891128502,19012.1616418076,18999.6279617627,18974.0839353727,18913.5187919278,18237.9034145354,18214.7122053395,18202.5007357296,18084.2785849247,18061.9525667094,17987.6068400549,17842.1952717307,17802.6539858763,17808.0772129218,17814.5053125235,17808.9391853084,17817.3680592012,17814.8045022942,17824.238643728,17845.6812536107,17815.1430919573,17836.5775374117,17669.031215352,17690.3338502844,17711.655779439,17732.9969941512,17754.3574856336,17773.7372449761,17795.1344626719,17816.5509308977,17837.9866403832,17859.4415817334,17880.9157454283,17902.4091218226,17923.9217011452,17945.4534734986,17967.0044288591,17988.5745570757,18010.1638478703,18031.7722908368,18053.3998754412,18075.0465910209,18096.7124267844,18118.3973718107,18140.1014150494,18161.8245453199,18183.566751311,18205.3280215808,18227.1083445561,18248.907708532,18351.6349271086,18465.5575168706,18579.8865247439,18694.6170488416,18809.7440474972,18925.2623383655,19041.1665975803,19166.5981003016,19323.4367055387,19480.8052057247,19638.6844350173,19797.0547180183,19998.8172040101,20543.2979906586,21041.5451011643,21492.5924883736,21896.7432381974,22255.4079420867,22570.8906954124,22846.1518805554,23084.5739605937,23289.7501429516,23465.3081031913
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
