"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.059","0.059","0.003","0.006","0.115","0.112","10,000"
"2","$K$","30,032","27,807","22,420","22,643","49,654","43,405","10,000"
"3","$N_{min}$"," 6,688"," 3,183","    48","    84","23,224","21,117","10,000"
"4","$N_{2012}$","20,394","20,577"," 1,524"," 2,510","39,026","38,019","10,000"
"5","$N_{2008}$","19,380","18,792"," 1,182"," 2,000","38,923","37,916","10,000"
"6","$N_{2018}$","21,890","22,411"," 2,172"," 3,485","39,194","38,176","10,000"
"7","Max depletion","0.187","0.113","0.002","0.004","0.546","0.518","10,000"
"8","Depletion in 2012","0.662","0.715","0.061","0.097","1","1","10,000"
"9","Depletion in 2008","0.621","0.639","0.048","0.078","1","1","10,000"
"10","Depletion in 2018","0.721","0.831","0.084","0.136","1","1","10,000"
