"","r_max","K","catch_multiplier_1","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2012","N2008","N2018","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2012","status2008","status2018","draw","save"
"mean",0.0592874777245402,30032.0046575934,1,-999,20394.4906473891,0,-999,6688.40972724784,1938.6436,0,20394.4932847795,19380.3702971603,21889.635099201,0,-9999,0,-9999,0,0,159.859907552644,0,159.859907552644,8.22990706995033e-10,0.186580625019986,0.661723495283868,0.621402407587638,0.721236370722662,5000.5,1
"median",0.0592410068896133,27806.9518080661,1,-999,20576.5322942752,0,-999,3183.36485571372,1926,0,20576.5322951722,18792.4744969852,22410.8081852462,0,-9999,0,-9999,0,0,72.3594486324515,0,72.3594486324515,3.75572082618061e-32,0.113250656393043,0.714592540610696,0.638916089684301,0.831246660607928,5000.5,1
"2.5%PI",0.00293496009520022,22420.0468219851,1,-999,1523.7032934383,0,-999,48.3497966510739,1913,0,1523.70325895987,1182.24266113971,2172.08523038228,0,-9999,0,-9999,0,0,18.2263932643243,0,18.2263932643243,0,0.00209841933723968,0.060803909057598,0.0476787895292222,0.0838923315860506,250.975,1
"97.5%PI",0.114948035857687,49654.0980691121,1,-999,39026.3242683606,0,-999,23224.1618125752,1968,0,39026.3242684203,38923.1031881233,39193.663994233,0,-9999,0,-9999,0,0,1119.56929210536,0,1119.56929210536,1.2144454081259e-08,0.546442167563639,0.99999998969162,0.999999964550601,0.999999998397647,9750.025,1
"5%PI",0.00576990069053136,22643.3738398364,1,-999,2509.5724644314,0,-999,83.5765952126197,1913,0,2509.61098190086,2000.15559798871,3484.61412484077,0,-9999,0,-9999,0,0,19.4345011455662,0,19.4345011455662,1.84427788673496e-317,0.00358877565714427,0.0967400117481859,0.0775686076845924,0.135553269905871,500.95,1
"95%PI",0.112339354892145,43405.406151557,1,-999,38018.6373936362,0,-999,21116.7472468431,1968,0,38018.6373936362,37916.4528869947,38176.1098812011,0,-9999,0,-9999,0,0,729.308090522639,0,729.308090522639,3.62830695394158e-09,0.518060510759813,0.999999971521503,0.999999909700304,0.999999994899186,9500.05,1
"min",5.47736817970872e-05,22202.8501456738,1,-999,500.578856444918,0,-999,6.05749730278262,1913,0,500.580485998927,336.219090933546,572.709286581484,0,-9999,0,-9999,0,0,17.0103954118772,0,17.0103954118772,0,0.000271288812707198,0.018069731065055,0.0147698864308991,0.0195197288062021,1,1
"max",0.117993777382653,69694.7719371208,1,-999,39999.4794237427,0,-999,38693.3505866637,1973,0,39999.4794237442,39987.9946526607,40849.3231981468,0,-9999,0,-9999,0,0,2381.42311147743,0,2381.42311147743,4.09712427827706e-08,0.601600211545397,0.999999996752869,0.999999987832106,0.999999999552363,10000,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
