"","r_max","K","catch_multiplier_1","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2012","N2008","N2018","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2012","status2008","status2018","draw","save"
"1",0.0520477874935605,26102.3162826243,1,-999,25610.7023782097,0,-999,2183.83170897167,1926,0,25610.7023782096,25286.4355265969,25876.283533561,0,-9999,0,-9999,0,0,44.6804477317232,0,44.6804477317232,3.94028922571591e-20,0.0836642880779665,0.981165889682291,0.968742974868842,0.991340509914297,1,1
"2",0.0530408455259167,25528.3946104675,1,-999,3064.18759177905,0,-999,317.607222403272,1968,0,3064.18758533322,2494.27270839653,4167.13624097219,0,-9999,0,-9999,0,0,589.583979633049,0,589.583979633049,8.84975049901595e-257,0.0124413315936852,0.120030563303687,0.0977058192046981,0.163235342627598,2,1
"3",0.0505721983462572,25786.9659436642,1,-999,13815.639137174,0,-999,1298.84971817406,1957,0,13815.6391146297,11738.4832835091,17103.5762774546,0,-9999,0,-9999,0,0,33.9632557115959,0,33.9632557115959,1.77805609006939e-15,0.0503684582750686,0.535760552242253,0.455209942462936,0.663264391585274,3,1
"4",0.0225826746034436,36063.9901514663,1,-999,33657.0054297335,0,-999,11739.1051810128,1917,0,33657.0054297764,33142.1051808185,34280.1516102907,0,-9999,0,-9999,0,0,91.7253397033809,0,91.7253397033809,1.4594563690003e-40,0.325507663786214,0.933257947565404,0.918980541022331,0.950536850368371,4,1
"5",0.0544806886706501,30096.4240629753,1,-999,30093.5434227576,0,-999,7905.65116661015,1917,0,30093.5434227593,30091.3917394081,30095.176608032,0,-9999,0,-9999,0,0,70.9000213184372,0,70.9000213184372,1.61626278988013e-31,0.262677424735509,0.999904286296275,0.999832793306054,0.999958551390004,5,1
"6",0.0664193785306998,35231.5768979828,1,-999,35231.3572928542,0,-999,15279.2130870323,1916,0,35231.3572945865,35231.1384506445,35231.4990554709,0,-9999,0,-9999,0,0,104.084930975583,0,104.084930975583,6.25876763393471e-46,0.433679512310081,0.999993766858722,0.99998755527351,0.999997790547039,6,1
"7",8.78527816385031e-05,49006.4915495267,1,-999,17991.2824891508,0,-999,17930.1635937913,1968,0,17991.2824891546,17985.537485274,17999.9026106057,0,-9999,0,-9999,0,0,21.5793391404964,0,21.5793391404964,4.24826977994898e-10,0.365873234889113,0.367120394059885,0.367003164613357,0.367296291602813,7,1
"8",0.00434112195018679,42184.9590418144,1,-999,17357.6683545252,0,-999,14382.6649859478,1958,0,17357.6683329376,17094.0707658976,17758.1856505942,0,-9999,0,-9999,0,0,21.1068348206536,0,21.1068348206536,6.81425069199916e-10,0.34094296433218,0.411465809786195,0.405217194805232,0.420960125455899,8,1
"9",0.0715603570020758,24393.731861197,1,-999,9440.34153793473,0,-999,445.391132699862,1958,0,9440.34157248698,7298.81812608138,13437.9002611938,0,-9999,0,-9999,0,0,107.081906630786,0,107.081906630786,3.12549521656338e-47,0.0182584253706726,0.386998661221808,0.299208754429723,0.550875132089543,9,1
"10",0.00777742724213749,52467.4338860863,1,-999,38576.0240805103,0,-999,27011.0595147579,1917,0,38576.0240805236,37943.9648774873,39501.206732858,0,-9999,0,-9999,0,0,124.698455899527,0,124.698455899527,6.98471517452959e-55,0.51481571546652,0.735237483965335,0.723190788401594,0.752870948836955,10,1
"11",0.116460112836212,26584.7522296889,1,-999,26584.7520760726,0,-999,8187.6070141061,1916,0,26584.7520760726,26584.7516633115,26584.7522079902,0,-9999,0,-9999,0,0,50.7669324896775,0,50.7669324896775,8.95779989306022e-23,0.307981317386982,0.999999994221639,0.999999978695404,0.99999999918379,11,1
"12",0.0981182373301126,23054.2360488398,1,-999,2655.90033400804,0,-999,44.5603552620652,1968,0,2656.07358367039,1828.80642595046,4630.69682696991,0,-9999,0,-9999,0,0,729.299253132334,0,729.299253132334,1.85933947794843e-317,0.00193284892059165,0.115209785223139,0.0793262644694092,0.200860996528356,12,1
"13",0.047494843930006,33863.4590438549,1,-999,33856.210937025,0,-999,11826.6164625367,1916,0,33856.2109370347,33851.7256285355,33859.9405950457,0,-9999,0,-9999,0,0,94.8891575165212,0,94.8891575165212,6.1682575376811e-42,0.349244194080134,0.999785960825479,0.999653508068854,0.999896098954196,13,1
"14",0.113949762820266,22367.4433111406,1,-999,11460.6743749464,0,-999,108.609190329396,1968,0,11460.673783282,7817.15904368273,17686.8722849927,0,-9999,0,-9999,0,0,74.9214218539695,0,74.9214218539695,2.89760987123291e-33,0.00485568193103686,0.512381930462913,0.349488268951563,0.790741795517745,14,1
"15",0.0809503334765322,39081.2923594817,1,-999,39081.2661738601,0,-999,21277.314499407,1913,0,39081.2661738759,39081.2304748969,39081.2851520251,0,-9999,0,-9999,0,0,130.536637408005,0,130.536637408005,2.03544179305187e-57,0.544437330876671,0.999999329970831,0.999998416516419,0.999999815577834,15,1
"16",0.0111096982713789,33232.7333843575,1,-999,11021.4867078466,0,-999,6523.5758506983,1957,0,11021.4867079408,10576.2485283229,11717.9128374898,0,-9999,0,-9999,0,0,60.1915299184465,0,60.1915299184465,7.23020646443311e-27,0.196299707738423,0.3316455068703,0.318247927608059,0.352601536020667,16,1
