"","r_max","K","catch_multiplier_1","sample.N.obs","add_CV","Nmin","YearMin","violate_MVP","N2008","N2018","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2018","draw","save"
"1",0.115685881412122,22296.0868472676,1,14974.551465828,0,223.424845728129,1968,0,14974.605099904,21605.0546477244,0.0546617456225371,0.524193071014579,0,-9999,21.6718004658904,0,17.0079551611787,0,38.6797556270691,1.59072669679491e-17,0.0100208098066101,0.6716248103303,0.96900657033331,7,1
"2",0.115685881412122,22296.0868472676,1,14974.551465828,0,223.424845728129,1968,0,14974.605099904,21605.0546477244,0.0546617456225371,0.524193071014579,0,-9999,21.6718004658904,0,17.0079551611787,0,38.6797556270691,1.59072669679491e-17,0.0100208098066101,0.6716248103303,0.96900657033331,7,1
"3",0.115685881412122,22296.0868472676,1,14974.551465828,0,223.424845728129,1968,0,14974.605099904,21605.0546477244,0.0546617456225371,0.524193071014579,0,-9999,21.6718004658904,0,17.0079551611787,0,38.6797556270691,1.59072669679491e-17,0.0100208098066101,0.6716248103303,0.96900657033331,7,1
"4",0.115685881412122,22296.0868472676,1,14974.551465828,0,223.424845728129,1968,0,14974.605099904,21605.0546477244,0.0546617456225371,0.524193071014579,0,-9999,21.6718004658904,0,17.0079551611787,0,38.6797556270691,1.59072669679491e-17,0.0100208098066101,0.6716248103303,0.96900657033331,7,1
"5",0.115685881412122,22296.0868472676,1,14974.551465828,0,223.424845728129,1968,0,14974.605099904,21605.0546477244,0.0546617456225371,0.524193071014579,0,-9999,21.6718004658904,0,17.0079551611787,0,38.6797556270691,1.59072669679491e-17,0.0100208098066101,0.6716248103303,0.96900657033331,7,1
"6",0.115685881412122,22296.0868472676,1,14974.551465828,0,223.424845728129,1968,0,14974.605099904,21605.0546477244,0.0546617456225371,0.524193071014579,0,-9999,21.6718004658904,0,17.0079551611787,0,38.6797556270691,1.59072669679491e-17,0.0100208098066101,0.6716248103303,0.96900657033331,7,1
"7",0.115685881412122,22296.0868472676,1,14974.551465828,0,223.424845728129,1968,0,14974.605099904,21605.0546477244,0.0546617456225371,0.524193071014579,0,-9999,21.6718004658904,0,17.0079551611787,0,38.6797556270691,1.59072669679491e-17,0.0100208098066101,0.6716248103303,0.96900657033331,7,1
"8",0.0605208808593452,25084.9083311287,1,14167.6754191285,0,1061.86989932134,1957,0,14167.6753935996,20217.8738328635,0.0413038910721679,0.576020665048019,0,-9999,21.927071669299,0,20.1028217095095,0,42.0298933788085,5.58019313654549e-19,0.0423310257029574,0.564788804749923,0.805977584848275,16,1
"9",0.100249032661784,22959.6795809263,1,16354.403599631,0,344.744434703614,1958,0,16354.4040213049,22110.7463415331,0.0435142373832911,0.497450359024536,0,-9999,22.5297456325709,0,17.6823289273543,0,40.2120745599252,3.43651237962893e-18,0.0150152110567784,0.712309767375468,0.963025039770222,26,1
"10",0.100249032661784,22959.6795809263,1,16354.403599631,0,344.744434703614,1958,0,16354.4040213049,22110.7463415331,0.0435142373832911,0.497450359024536,0,-9999,22.5297456325709,0,17.6823289273543,0,40.2120745599252,3.43651237962893e-18,0.0150152110567784,0.712309767375468,0.963025039770222,26,1
"11",0.116648554281797,22256.6970075713,1,15854.288185481,0,236.364454240158,1968,0,15854.3940732461,21738.7880746124,0.0484101685019835,0.505700507135229,0,-9999,22.3364912396392,0,17.2249854894535,0,39.5614767290927,6.5867163378855e-18,0.0106199250571525,0.712342629629756,0.976730197981186,54,1
"12",0.116648554281797,22256.6970075713,1,15854.288185481,0,236.364454240158,1968,0,15854.3940732461,21738.7880746124,0.0484101685019835,0.505700507135229,0,-9999,22.3364912396392,0,17.2249854894535,0,39.5614767290927,6.5867163378855e-18,0.0106199250571525,0.712342629629756,0.976730197981186,54,1
"13",0.116648554281797,22256.6970075713,1,15854.288185481,0,236.364454240158,1968,0,15854.3940732461,21738.7880746124,0.0484101685019835,0.505700507135229,0,-9999,22.3364912396392,0,17.2249854894535,0,39.5614767290927,6.5867163378855e-18,0.0106199250571525,0.712342629629756,0.976730197981186,54,1
"14",0.0618446894758381,25000.9910758852,1,14913.8467966113,0,1059.32122919315,1926,0,14913.8467964881,20860.5757109964,0.0396546036389764,0.550412273713555,0,-9999,22.1888457387043,0,18.6590535821368,0,40.8478993208412,1.81962848849555e-18,0.0423711694459555,0.596530223590751,0.834389950689497,68,1
"15",0.0889861517781392,23486.4162841148,1,13430.2180747036,0,399.061978705343,1958,0,13430.2180526406,20969.800562586,0.0569381226080259,0.57791283366027,0,-9999,20.844833781007,0,19.913232675907,0,40.758066456914,1.99065795945006e-18,0.0169911822168992,0.57182917522092,0.892848032195063,71,1
"16",0.0749600624539889,24213.96661843,1,14750.202090363,0,660.181535404653,1958,0,14750.2024524477,21297.7018178393,0.0456309658221605,0.545986766414978,0,-9999,21.6817718557271,0,18.1862425238836,0,39.8680143796108,4.84776267446603e-18,0.0272644934969956,0.609160931163622,0.879562698398575,109,1
"17",0.0749600624539889,24213.96661843,1,14750.202090363,0,660.181535404653,1958,0,14750.2024524477,21297.7018178393,0.0456309658221605,0.545986766414978,0,-9999,21.6817718557271,0,18.1862425238836,0,39.8680143796108,4.84776267446603e-18,0.0272644934969956,0.609160931163622,0.879562698398575,109,1
