"","r_max","K","catch_multiplier_1","sample.N.obs","add_CV","Nmin","YearMin","violate_MVP","N2008","N2018","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2018","draw","save"
"mean",0.0960137371557384,23207.4629889506,1,14947.3103542858,0,424.462813829842,1958.0199,0,14947.3195234759,21594.1277084017,0.0506743605244226,0.532615007857931,0,-9999,21.7063629040443,0,17.8728378627452,0,39.5792007667894,8.79063858627709e-18,0.0179256722521247,0.644450249471918,0.931752695187541,33965.656,1
"median",0.0994353631669655,22996.0433084293,1,14920.1320623979,0,327.526729101456,1958,0,14919.9939850327,21620.912190229,0.0511413998317286,0.531584046472452,0,-9999,21.6301137806619,0,17.5966050507605,0,39.2951398287774,8.59681550969891e-18,0.0142584865132468,0.643422415741382,0.943213589563458,34162.5,1
"2.5%PI",0.0574539124185569,22240.633766273,1,13179.0610094205,0,198.41832967308,1926,0,13179.0473365741,20677.4920025935,0.0339525863736627,0.490070318616602,0,-9999,20.7276801174404,0,17.0219426052083,0,38.5940214581217,4.33861812178015e-19,0.00890005819078386,0.568301639981422,0.829521776993702,1759,1
"97.5%PI",0.117040502989199,25307.0908789113,1,16894.4558604737,0,1189.98281719729,1968,0,16894.4333808207,22265.8643446639,0.0651040777668847,0.580648965166006,0,-9999,23.1877745067888,0,20.1961450340794,0,42.2815608808673,1.73312324155346e-17,0.0470004326905782,0.728490709384191,0.975053784733413,65744,1
"5%PI",0.0643479010212468,22274.0513627389,1,13424.7541930701,0,209.861678494537,1926,0,13424.7522889683,20956.4011460392,0.0369232535727948,0.496007189617982,0,-9999,20.8322576140671,0,17.0629941458374,0,38.6244561372797,8.96484642645084e-19,0.00940350915501639,0.579289766271732,0.854479231935359,3814,1
"95%PI",0.116223007682711,24845.6555167324,1,16559.4393361418,0,1000.7569595306,1968,0,16559.8218388576,22136.4697682739,0.0629482359169669,0.572454099525652,0,-9999,22.8900284525678,0,19.5662076678804,0,41.5558067534122,1.68117078010724e-17,0.0403164939877204,0.7143813658741,0.971849312147103,64249,1
"min",0.024079580317717,22203.3880093172,1,11727.6123769116,0,163.808727991844,1926,0,11727.6189325987,17844.7606423126,0.0160195014133562,0.460718379723791,0,-9999,20.3963749295605,0,16.9780699010046,0,38.564304107701,7.78070938053557e-22,0.00734063746365451,0.493486409179871,0.645298100650526,7,1
"max",0.117955463328864,30103.7382170786,1,18745.3773418674,0,4880.41864269428,1968,0,18745.378717441,23009.8303941585,0.0767068862837439,0.650052772882181,0,-9999,26.0157587119648,0,28.0030634226647,0,48.6052245318179,1.78539998827827e-17,0.162120020028791,0.791796655956453,0.985401646077393,67221,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
