"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI"
"1","$r_{max}$","0.087","0.092","0.032","0.041","0.117","0.116"
"2","$K$","26,409","25,522","23,799","23,895","33,829","31,330"
"3","$N_{min}$","   720","   399","   201","   213"," 2,916"," 1,970"
"4","$N_{2008}$","15,474","15,409","13,484","13,792","17,707","17,280"
"5","$N_{2018}$","22,948","23,102","20,667","21,331","24,155","23,967"
"6","Max depletion","0.024","0.016","0.008","0.009","0.087","0.063"
"7","Depletion in 2008","0.591","0.593","0.477","0.503","0.69","0.674"
"8","Depletion in 2018","0.88","0.911","0.618","0.692","0.968","0.964"
