"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.087","0.092","0.029","0.039","0.117","0.116","9,994"
"2","$K$","23,872","23,351","22,252","22,300","28,595","27,020","9,994"
"3","$N_{min}$","   767","   415","   212","   228"," 3,451"," 2,216","9,994"
"4","$N_{2008}$","15,662","15,606","13,672","13,970","17,888","17,517","9,994"
"5","$N_{2018}$","21,651","21,748","19,901","20,514","22,514","22,377","9,994"
"6","Max depletion","0.029","0.018","0.01","0.01","0.12","0.082","9,994"
"7","Depletion in 2008","0.659","0.657","0.56","0.58","0.759","0.743","9,994"
"8","Depletion in 2018","0.913","0.937","0.706","0.765","0.979","0.976","9,994"
