"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.093","0.096","0.056","0.082","0.107","0.117","10,000"
"2","$K$","29,867","29,347","25,950","28,005","31,115","36,623","10,000"
"3","$N_{min}$","   448","   349","   187","   269","   516"," 1,308","10,000"
"4","$N_{2006}$","12,861","12,797","11,081","12,150","13,491","15,035","10,000"
"5","$N_{2008}$","14,956","14,925","13,241","14,323","15,562","16,852","10,000"
"6","$N_{2012}$","19,489","19,484","17,599","18,814","20,139","21,481","10,000"
"7","$N_{2019}$","25,939","25,891","23,649","25,149","26,662","28,696","10,000"
"8","$N_{2030}$","29,251","29,030","25,881","27,844","30,362","34,446","10,000"
"9","Max depletion","0.015","0.012","0.007","0.009","0.017","0.038","10,000"
"10","Depletion in 2006","0.433","0.433","0.353","0.407","0.46","0.513","10,000"
"11","Depletion in 2008","0.504","0.505","0.406","0.473","0.536","0.597","10,000"
"12","Depletion in 2012","0.658","0.664","0.512","0.614","0.706","0.773","10,000"
"13","Depletion in 2019","0.874","0.894","0.693","0.838","0.928","0.958","10,000"
"14","Depletion in 2030","0.981","0.992","0.897","0.98","0.997","0.999","10,000"
