"","r_max","K","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2012","N2018","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2012","status2018","draw","save"
"1",0.0745657650204375,37057.7088553917,1.06105593687792,1.34860250107013,1.0230616131673,1.55456784506394,37057.5497751124,0,0.725520608946681,11339.3323216644,1916,0,37057.5497763666,37057.6363026521,37057.6865087001,5.57352391128418e-07,0.253592557922393,0,-9999,30.2220761185342,0,116.517153626764,0,146.739229745298,1.87051951225028e-64,0.305991187040549,0.999995707262264,0.999998042168771,0.999999396975897,1,1
"2",0.0256347874049097,40707.1828606089,1.07391784737199,1.3822872206592,1.01788078701399,1.65569764648851,26309.3007338466,0,0.188669962575659,5863.08416144227,1926,0,26309.3007339397,28039.784315524,30505.5474692365,0.0158600400338482,0.337993226624157,0,-9999,26.0738675337758,0,52.9466405782918,0,79.0205081120676,4.80650468249577e-35,0.144030702923336,0.646306103373183,0.688816625103705,0.749389796235587,2,1
"3",0.109434393380303,31991.086958465,1.07815880174765,1.38499324367382,1.01989447164361,1.79053094639096,31991.0854684422,0,0.15887430915609,9750.47126385383,1916,0,31991.0854684422,31991.0865153856,31991.086886617,7.93144860899986e-09,0.293754827005172,0,-9999,30.2222052185,0,82.7720309004013,0,112.994236118901,8.45720322415971e-50,0.30478712012859,0.999999953423817,0.999999986149912,0.999999997754126,3,1
"4",0.035731020082254,39168.1455504922,1.08815108078887,1.41594936087029,1.01661679417047,1.72428947560609,11263.9413473662,0,0.503142907517031,2238.19310681019,1926,0,11263.9413483069,12859.5859127665,15596.0201194608,0.0335749332621209,0.742406501965657,0,-9999,22.6040938240877,0,41.289873581045,0,63.8939674051327,1.78321015644254e-28,0.0571431982636222,0.287579133247102,0.328317456239766,0.398181223549522,4,1
"5",0.115751013841946,28687.4256061114,1.08971508154099,1.32631751430919,1.01543925206353,1.8620050455485,539.570380467921,0,0.871690714964643,7.92559841377781,1968,0,539.579815836648,836.188019033358,1612.81648476579,0.115734245341502,11.8194198920715,0,-9999,24.0091207342253,0,1793.12636793105,0,1817.13548866528,0,0.000276274299499687,0.0188089312455315,0.029148241829522,0.0562203282689195,5,1
"6",0.0420290779722854,39375.9954511119,1.07257484852793,1.34709780651145,1.01686067439982,1.65777168959204,37462.2925545555,0,0.712908074725419,4445.51194666142,1926,0,37462.2925455756,38083.173212873,38670.8364351019,0.00397029227914714,0.247475947327181,0,-9999,29.1825529578434,0,121.318270243469,0,150.500823201313,4.34833466554891e-66,0.112899036474667,0.951399250136743,0.967167249400869,0.982091652339674,6,1
"7",0.0998237350322306,29381.3154614297,1.12186516052638,1.25657578551676,1.01797083131459,1.7532711644465,9080.58877335861,0,0.474173564929515,207.714332065937,1968,0,9080.71645729842,12879.4028219776,20048.3374367563,0.0898468618968169,0.764983592174676,0,-9999,20.6667853168663,0,51.6856291650006,0,72.3524144818669,3.78220999648694e-32,0.00706960627200689,0.309064325905323,0.438353512077599,0.682349892164453,7,1
"8",0.0689086813898757,30098.4680360127,1.02098568922485,1.32940245366422,1.01741996626261,1.53750929009089,4124.13322739303,0,0.639062500558794,289.273937893612,1968,0,4124.13195321848,5368.44183672569,7930.73599299117,0.0680508803042688,1.80524437754388,0,-9999,19.9094049473932,0,302.772022820775,0,322.681427768169,7.26501487124899e-141,0.00961091898589313,0.137021324417043,0.1783626273039,0.263493011787247,8,1
"9",0.0699129596455023,31053.2989203579,1.12180692197362,1.31982388002798,1.0125963800241,1.70330324778466,21813.8933514711,0,0.147692651255056,1022.85807799555,1926,0,21813.8949220331,25070.6899746435,28452.5633049633,0.0339060970609031,0.38414202471946,0,-9999,23.2458909385618,0,33.2825709481546,0,56.5284618867164,2.81838898033078e-25,0.0329387895507934,0.702466265435404,0.807343852224591,0.916249296988874,9,1
"10",0.0648890756773762,34909.0338791441,1.00333042096041,1.3956830284954,1.01961807359372,1.78209878830646,34907.477524248,0,0.791333802742884,6393.40406557743,1917,0,34907.4775242491,34908.2406841055,34908.7452959462,5.22086545551304e-06,0.269208027926944,0,-9999,30.2209345851163,0,101.910401033912,0,132.131335619029,4.13133159302617e-58,0.183144686493231,0.999955416844234,0.999977278230004,0.999991733280305,10,1
"11",0.0141961801326834,63737.141755626,1.1577027937658,1.40005647878861,1.01780303488909,1.76841733726708,38894.5088621695,0,0.44929786445573,16629.0610563271,1926,0,38894.5088621699,40422.4896112159,42690.7466030115,0.00962565059584342,0.233589792771346,0,-9999,27.5243652314637,0,134.331191292819,0,161.855556524283,5.09360116426373e-71,0.260900639694269,0.610233025686891,0.634206186499536,0.669793866293718,11,1
"12",0.11709416718781,27194.4928887973,1.00232041719327,1.32502669499489,1.02135398534944,1.74882874050806,27194.4923576666,0,0.277393992990255,5322.27249890841,1916,0,27194.4923576666,27194.492745947,27194.4928688722,3.48521012050185e-09,0.345567616605244,0,-9999,30.2222061427968,0,54.0592341217229,0,84.2814402645196,2.49479902850066e-37,0.195711408213128,0.999999980469182,0.999999994747088,0.999999999267311,12,1
