"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.107","0.109","0.083","0.088","0.117","0.118","10,000"
"2","$K$","28,678","28,409","25,595","25,942","32,832","34,297","10,000"
"3","$N_{min}$","   271","   254","   175","   182","   428","   494","10,000"
"4","$N_{2008}$","14,611","14,582","12,923","13,186","16,124","16,414","10,000"
"5","$N_{2012}$","19,644","19,635","17,837","18,116","21,202","21,523","10,000"
"6","$N_{2019}$","26,238","26,119","24,176","24,462","28,599","29,555","10,000"
"7","Max depletion","0.009","0.009","0.006","0.006","0.014","0.016","10,000"
"8","Depletion in 2008","0.512","0.512","0.415","0.434","0.586","0.601","10,000"
"9","Depletion in 2012","0.688","0.692","0.572","0.594","0.769","0.782","10,000"
"10","Depletion in 2019","0.917","0.925","0.825","0.849","0.958","0.962","10,000"
