"","N_1830","N_1831","N_1832","N_1833","N_1834","N_1835","N_1836","N_1837","N_1838","N_1839","N_1840","N_1841","N_1842","N_1843","N_1844","N_1845","N_1846","N_1847","N_1848","N_1849","N_1850","N_1851","N_1852","N_1853","N_1854","N_1855","N_1856","N_1857","N_1858","N_1859","N_1860","N_1861","N_1862","N_1863","N_1864","N_1865","N_1866","N_1867","N_1868","N_1869","N_1870","N_1871","N_1872","N_1873","N_1874","N_1875","N_1876","N_1877","N_1878","N_1879","N_1880","N_1881","N_1882","N_1883","N_1884","N_1885","N_1886","N_1887","N_1888","N_1889","N_1890","N_1891","N_1892","N_1893","N_1894","N_1895","N_1896","N_1897","N_1898","N_1899","N_1900","N_1901","N_1902","N_1903","N_1904","N_1905","N_1906","N_1907","N_1908","N_1909","N_1910","N_1911","N_1912","N_1913","N_1914","N_1915","N_1916","N_1917","N_1918","N_1919","N_1920","N_1921","N_1922","N_1923","N_1924","N_1925","N_1926","N_1927","N_1928","N_1929","N_1930","N_1931","N_1932","N_1933","N_1934","N_1935","N_1936","N_1937","N_1938","N_1939","N_1940","N_1941","N_1942","N_1943","N_1944","N_1945","N_1946","N_1947","N_1948","N_1949","N_1950","N_1951","N_1952","N_1953","N_1954","N_1955","N_1956","N_1957","N_1958","N_1959","N_1960","N_1961","N_1962","N_1963","N_1964","N_1965","N_1966","N_1967","N_1968","N_1969","N_1970","N_1971","N_1972","N_1973","N_1974","N_1975","N_1976","N_1977","N_1978","N_1979","N_1980","N_1981","N_1982","N_1983","N_1984","N_1985","N_1986","N_1987","N_1988","N_1989","N_1990","N_1991","N_1992","N_1993","N_1994","N_1995","N_1996","N_1997","N_1998","N_1999","N_2000","N_2001","N_2002","N_2003","N_2004","N_2005","N_2006","N_2007","N_2008","N_2009","N_2010","N_2011","N_2012","N_2013","N_2014","N_2015","N_2016","N_2017","N_2018"
"mean",26993.716662838,26504.8521541648,26117.7969452118,25805.7931900414,25550.7863863528,25340.0495290963,25164.3074259276,25016.621585331,24891.6914757634,24785.3977745123,24694.4932131334,24611.5873541406,24540.1452380393,24478.3310800237,24424.6449445888,24377.8526761758,24336.9324918058,24301.0337466569,24269.4447365075,24241.5673051141,24216.8966412567,24199.8048434122,24184.4148347962,24170.5334135711,24157.9915478035,24146.6410837876,24136.3519442655,24127.0097353119,24118.5136960939,24110.7749377283,24103.7149269189,24066.23712676,24033.8621604987,24005.7869034946,23981.3496347741,23960.0023526299,23941.2891535316,23924.8291765489,23910.3030333988,23897.4419316552,23886.0189004458,23906.8687231043,23924.3663884962,23939.056231944,23951.3937835523,23961.7598069215,23970.4723750839,23977.7971471397,23983.956045578,23989.134541667,23993.4877472276,23997.1454936787,24000.2165584156,24002.7921772787,24004.9489616875,24006.7513207268,24008.2534723783,24009.5011142017,24010.5328119383,24011.3811545393,24012.0737157745,24012.6338556194,24013.0813888563,24013.4331435455,24013.7034280829,23931.6227405318,23943.7082172072,23953.860861963,23962.4007891309,23969.5936460469,23975.6599045432,23980.782630152,23695.0064393186,23449.4945802183,23526.5320047685,23141.5177701516,22706.9106307223,22603.8313447898,21613.4267400464,19940.0597362092,17267.9663737733,11805.2816754711,7174.71585994777,4953.31387621956,4225.2772487834,3346.11511639027,2009.01424548909,1695.91265341432,1642.26908654815,1575.45155907661,1515.04919739693,1467.43739411467,1515.42957402689,1229.43635506364,1134.68261382937,911.90123012064,744.626281644075,789.91873116877,856.301916766609,910.380194526575,940.554560229096,917.977091515217,979.674640963616,1040.72962308084,1002.33165569374,1032.72424600284,1044.58279617454,1011.99723749669,860.907879951615,933.554126567402,1010.51472743962,1025.55368128657,1098.9041144883,1192.68722849512,1290.59844827961,1337.47782665336,1198.41639844374,1276.57157691667,1355.43257564742,1419.90794897508,1424.11387057642,922.127990984804,914.085712460916,941.182215295675,894.639796256044,897.98927027556,877.281062799549,737.243518586298,735.279737948791,767.269434909556,789.713360609848,808.161630619407,740.354037863888,745.845695275499,793.42223797995,857.425241586717,791.436112441464,839.68756984643,677.237498722043,729.459649680438,785.958871236011,847.102935696045,913.292425037759,983.23219348157,1060.7046239115,1144.63772022886,1235.59453668436,1334.18860350108,1441.08843659577,1557.02240999372,1682.78400355729,1819.23743228411,1967.32365383611,2128.06673691387,2302.58055294117,2492.07572504211,2697.86672848312,2921.37898160536,3164.15569046271,3427.86410688257,3714.30071933045,4025.39470704757,4363.20873573348,4729.93583973786,5127.89070083691,5559.49307579988,6027.24042584601,6533.66595387129,7081.27727963172,7672.46995098157,8309.40906653913,8993.87179139331,9727.04403318331,10509.2668689559,11339.7336645788,12216.1486019946,13134.3726637887,14088.1039197725,15068.662322277,16064.9677883096,17063.8019237301,18050.4144230526,19009.4675682229,19926.2163724528,20787.7303592174,21583.9202350731,22308.168933803,22957.4732519105,23532.1333321133
"median",26429.3674202936,25915.7453083607,25515.6599413682,25214.2911747692,24971.0581900724,24764.7444822648,24597.036890558,24457.0066843021,24343.9790420528,24245.5399789084,24160.2336255145,24083.3424810223,24021.0935684004,23967.4082242846,23923.4672251764,23883.8595873818,23846.0989105764,23823.78638678,23801.5475469362,23785.0529126056,23764.9719344817,23753.1999615364,23742.6055048931,23736.7994754641,23732.7407877777,23725.4844510972,23719.488127701,23709.5823470507,23701.3862170847,23697.080082518,23694.518566794,23660.0495071854,23630.8549790265,23605.8551495554,23584.9051848665,23567.4113317691,23549.657496065,23536.050787311,23525.5623456497,23515.4571552296,23507.1133537855,23532.4223669056,23550.1923917116,23567.7145338494,23582.6722995464,23593.4922780417,23602.8747629449,23609.3108197738,23615.9764333956,23621.9654840309,23626.9605397871,23630.4864843779,23633.767296671,23636.6057883463,23638.9896772065,23641.6560750465,23643.1037338718,23644.2701095117,23645.2410009512,23646.5206283321,23647.9566402657,23649.3339305898,23650.0666837561,23650.466778026,23651.0971329811,23573.1336247732,23583.585659313,23593.3674401135,23603.1854770438,23609.8186503353,23616.3351535723,23621.8043651217,23341.2210576814,23096.556505293,23172.7775966328,22797.2313074059,22370.6339206605,22273.7486222846,21297.6546194383,19635.7125521466,17006.2464525867,11602.4294868043,7029.55011083748,4839.40396351066,4125.81865924009,3257.38432510047,1931.55132499194,1620.10991167773,1566.39289302807,1500.52222758929,1442.1629704228,1396.57409609438,1445.56456516042,1160.68569178629,1065.03500344737,840.096964376437,671.504693064455,715.558224479835,780.978299839305,834.157050595987,863.510183695253,840.018485445067,900.44019744884,960.909792354463,921.450710097305,951.107295427979,960.658224237906,927.184607370015,774.888168100457,845.912515085783,921.370967805378,935.684883453886,1007.83838688071,1100.22277637621,1196.88463784986,1242.46581110621,1102.07236686564,1178.81897062696,1256.1212219326,1319.35428291301,1322.28255169302,818.880681576784,807.928572023994,832.230856157379,782.313253958793,782.646255932077,758.615254079909,614.337332493874,608.37354629769,636.221456686721,654.129495852006,667.512727654522,595.210396954049,595.12077617858,637.725483139271,696.692947015486,625.680350985772,667.939519531272,499.564325209197,545.303736621527,594.828432415881,648.91942880988,708.389013211392,771.845430264223,843.756645611798,919.848114179236,1004.5111644036,1095.6372753552,1197.02012132457,1307.17916487858,1429.0866975878,1558.25984621535,1700.45351422935,1857.214994142,2029.43050730811,2217.28021251837,2421.64023097301,2642.05360061495,2885.33053762209,3151.43118452001,3435.60352344599,3748.94988775752,4089.86748771621,4463.44710244056,4869.21519767402,5313.77505699141,5792.82389880245,6312.05814239227,6874.46681770912,7481.63483888639,8141.15383739614,8849.36079525011,9604.09926906942,10399.6016020466,11256.1480623476,12154.4892647946,13093.3556200546,14054.6168669854,15044.2625047661,16044.5204396972,17035.9815517066,18027.6204440494,18995.4082165075,19906.0559722057,20765.5722293961,21552.1410254206,22258.6526555184,22900.2856940611,23464.3019428495
"2.5%PI",23167.1842032423,22744.0691972827,22432.7636619335,22186.3296963,22005.8038451487,21856.627627248,21750.9160023578,21665.9313770587,21584.8726561215,21518.173923568,21461.9847228953,21406.7765158073,21364.5752452106,21334.79819487,21308.652473433,21288.4488398918,21271.5335039598,21253.1107974724,21241.5700865236,21231.1358019598,21217.8553115493,21212.5966206006,21207.5953749628,21208.8235941509,21209.6850195008,21205.4748369707,21205.8694799836,21203.5192061755,21201.2044180566,21199.2923375538,21197.696471011,21165.2791513029,21136.552967828,21114.6949363297,21095.0624152792,21080.0615798281,21069.4852438046,21059.8583939082,21052.1615888043,21044.0996264972,21038.1455415876,21064.4274243493,21085.930460509,21103.5285917091,21117.0697757694,21129.5841865659,21139.1465046623,21146.9454540063,21154.1049335279,21160.2735080693,21165.6682425276,21170.0976191007,21173.1368829509,21175.2327835836,21176.9417558689,21178.3353775021,21179.4791753604,21181.2664008245,21182.7735729261,21184.0545010336,21185.1408352802,21186.0573482816,21186.8305596169,21187.4828555332,21188.0331308519,21104.0299042648,21118.2022027924,21130.8203424328,21141.032108397,21149.2910049612,21155.9678743669,21161.3640488945,20874.2862616664,20638.243466811,20725.9780149694,20369.1678565028,19958.6133091393,19890.6679772127,19015.8670102819,17556.4307609759,15215.8897376561,10318.9586303119,6168.90227739916,4194.18780333181,3574.90806136538,2804.18015989515,1587.20213174869,1306.34348733331,1267.02451006349,1214.95487523325,1168.14114402064,1134.31080565929,1187.9879149411,929.198662955219,846.605309988564,638.575249138098,477.759381964056,516.192447290958,576.054888524039,624.961623709802,651.578024102028,628.903597149711,685.653679562883,743.007677604653,707.191941891956,735.920255705701,746.967701174866,715.538771209077,566.494403709908,632.523045226576,703.866081283518,715.671914031971,785.191090513954,876.534531936962,974.387738657008,1024.12442739175,891.144607468072,970.415084342468,1052.5252072053,1122.46328468902,1134.49309524746,642.234059362458,630.867473760492,654.02782023007,604.273584878569,603.049917368729,577.28430716696,431.330292048176,418.833264968477,439.222109761824,449.899889223712,456.001457106459,375.241479271352,364.596873259244,394.423577048374,440.376679532641,355.876486040198,382.279412007255,196.591123911931,219.267631110302,244.350647373279,272.693071706221,304.239459915033,337.890873760325,377.291546138793,421.054184149398,469.410529912992,523.339198518975,584.072440059269,652.024171784818,727.531929604064,810.344163169177,903.63799831342,1007.65752391716,1124.61898917843,1254.07675600916,1399.39502273391,1558.95926050448,1739.36147686783,1937.61559170433,2158.75132275736,2405.23831935087,2680.85700057174,2984.8423806252,3324.42607480402,3697.40194677739,4114.09741803829,4577.17247653658,5091.02665238497,5654.66710562441,6281.93957619069,6962.85463443872,7710.49473557212,8498.90804118176,9366.52655053566,10279.3735448165,11250.3595684625,12277.8244576729,13306.9684652191,14335.5063215585,15350.8825392957,16348.7709326818,17258.2881872418,18127.5428767737,18920.8193543425,19646.1469165793,20369.4996333812,20973.1438153096,21509.8736848299
"97.5%PI",33609.8968868852,33003.9900474771,32537.4040992788,32151.6603643683,31829.5642672654,31534.3529774932,31291.9731573612,31040.7536792493,30851.0173447133,30716.3318616249,30525.2159133876,30392.2460500246,30266.3822797889,30184.2066356239,30037.3651479478,29939.4266943406,29881.8956313623,29838.9117284112,29784.9539691006,29709.303928766,29663.9652729005,29639.9417278433,29608.8131695434,29576.6891875551,29525.7760155465,29508.9068692174,29508.9576175932,29495.9338085771,29479.7059844511,29473.85190209,29465.8877980985,29416.0301826075,29369.6639520143,29327.802959608,29296.0469827558,29273.3754796685,29254.2811821139,29240.8958184992,29231.0122427803,29218.9900361272,29202.2920272629,29228.9878409658,29249.9063027114,29267.8835733782,29279.8502924701,29273.9825170943,29276.911881076,29286.1977499884,29294.0176366415,29300.6019511143,29304.4643953957,29301.612191087,29305.8759759137,29309.473385888,29300.6663158296,29301.7213692991,29302.530081525,29303.4715223296,29306.2486631751,29308.7527417031,29311.0106868536,29313.0467541442,29314.882794936,29316.5384977564,29318.0316047518,29234.6510448421,29223.0814124612,29226.5009303879,29236.6948230543,29244.966890011,29251.7145591799,29257.2189384633,28987.7500091931,28726.4903489617,28790.7842899383,28368.0362477827,27871.8393722602,27734.777910469,26486.0618267422,24479.8821253068,21146.6494605289,14502.9297883753,8887.2502078996,6313.24584657031,5406.44802704243,4353.01489968036,2842.34960969929,2491.65461757242,2420.30016890154,2336.43622458636,2257.37472907819,2191.53143914372,2227.76438901894,1930.28646945531,1840.30471981946,1617.53135462545,1435.98245243219,1495.436454501,1575.52179132009,1641.33982854566,1681.4114349249,1664.99819348196,1738.49778283088,1808.69500677174,1772.62102157649,1816.50308442409,1832.68470340219,1811.23572380319,1678.11165278999,1766.54308397551,1857.70739613949,1887.45793996049,1974.82051007866,2077.58134343858,2181.51590509668,2235.84248792327,2099.0509142112,2184.51285178971,2266.99672833287,2332.40883036125,2335.59586861212,1835.17848568005,1846.1784341126,1895.80681510785,1872.30261118541,1901.59114974692,1908.27110354164,1798.25610368399,1832.80981624783,1903.40375361897,1967.5360267572,2025.21049094647,2000.93680180058,2054.31862654579,2152.48555784838,2268.43726171056,2255.48141601999,2361.9083846563,2256.23146365335,2374.25168017292,2495.2262777173,2629.06948518395,2766.47321053901,2909.25076012334,3057.68497689308,3207.2455570551,3369.64399329403,3552.1013636184,3745.42425588971,3938.93167168023,4142.14956328646,4362.56017480655,4580.38249659041,4827.34849301387,5063.31290178218,5322.8257474381,5595.87711049986,5882.742445198,6195.23582981226,6528.43175147852,6837.25435392523,7213.38288921207,7596.93753506862,7965.41180493737,8402.45023010774,8842.96020353106,9290.33043218965,9770.6063560605,10267.3298774717,10805.5003742208,11340.9415792778,11935.4167453966,12566.3797321272,13186.9340486575,13835.3640685289,14545.4801365914,15330.7344727947,16124.9097085693,17015.7731265561,17923.8266574048,18887.612443326,19843.6228672191,20816.0705362267,21756.7755036983,22742.7078709895,23694.3071017642,24602.9961096087,25509.1154574826,26340.0603526631
"5%PI",23518.9981751161,23107.4821183315,22825.3358984493,22580.3733277786,22383.7228492258,22224.8706857238,22096.4758711477,21995.5059817968,21913.4784624564,21849.7963610279,21794.0454788425,21743.4118184943,21698.2247550613,21653.778686501,21622.6295429066,21597.4880468534,21572.3630983566,21555.3177397052,21539.742725393,21530.7716466847,21526.3083163452,21518.6119693709,21512.468229073,21511.0530624905,21510.9151444367,21510.8309146453,21510.7618378238,21510.7770918593,21510.6374822158,21510.3423153495,21507.8183501229,21476.4129908697,21452.4503964617,21433.5466504044,21413.9308301233,21395.9406644581,21385.9647119599,21374.3095195317,21363.1728259696,21357.6068833006,21353.5435445304,21380.8182151403,21401.403304802,21419.3193329602,21434.4080169993,21447.4873198052,21458.3833836379,21466.8132332697,21473.6813894777,21479.2931495311,21483.8456885319,21487.5382176189,21490.5327343021,21492.8276969499,21494.2279924618,21495.3800108981,21496.2998961499,21497.3343704666,21499.033942795,21500.4833751199,21501.0238764594,21501.4612547009,21501.8151839213,21502.101585885,21502.3333451263,21416.3236445055,21433.5145535159,21447.2649811696,21456.3884634704,21464.4002055599,21471.7667701895,21477.7558243629,21189.7433142519,20946.8129985691,21035.6069809843,20674.4862986506,20268.6821188437,20210.4709252712,19319.624593393,17816.5202210237,15425.180040058,10462.888615571,6271.71878321041,4269.39758428433,3637.49331243893,2856.74518903481,1621.13151995201,1336.71708112673,1296.19822820293,1241.73102804641,1194.82306570461,1157.97232757588,1213.83676210099,949.783383211284,864.921342261561,653.794533890645,490.087611837518,529.176413237092,589.324500853416,638.817062383616,665.89104677494,642.10656441332,699.836084319434,757.85857324627,720.206817972994,749.145604120249,760.59798918888,727.784061428202,577.072752769222,643.612717678911,715.546403480298,726.90355596655,796.615156205291,888.297788568288,986.326238682331,1035.80901852962,899.763833211456,978.734072175638,1060.63375707489,1130.24888706519,1141.93247773202,648.951762741678,637.918903443353,661.360219735603,611.659647703256,610.103300670177,584.106288441763,438.059732881048,426.085170402815,446.956545265441,457.94666038824,464.642930023156,384.192779692905,373.89276022963,404.464650425754,450.651369537916,366.937026169995,394.258614104237,210.110004648978,234.29341211433,261.004036069794,291.213021511221,323.985529565125,359.510492787965,400.615044692673,447.365187795731,498.773371531733,556.571428352261,620.661027833561,691.422366441291,770.463701218925,857.769970488925,955.94613343856,1064.48866466898,1186.40721937189,1321.46060604249,1471.3677193026,1636.92654955911,1822.36647668905,2030.32760251189,2257.62872504623,2510.34820517869,2792.68973287932,3110.65934799914,3463.45222844262,3857.44500137319,4285.27059126,4756.51735590815,5278.82012514167,5848.38127866221,6476.40629208487,7169.26044066974,7926.38624366206,8737.64379540971,9604.59116764938,10531.5930393289,11514.9975466029,12532.6123401469,13573.5484618268,14608.7962683612,15643.7599877974,16632.9567328027,17541.6346537798,18415.0130915251,19248.8323194033,20018.8698027454,20707.5487680251,21320.2260139696,21816.0059479696
"95%PI",32171.0546889462,31621.2006807261,31160.9029325066,30827.8515129615,30519.1880602786,30240.9578385844,29987.214952519,29769.6802899421,29606.0310336816,29478.4198017582,29352.4821252166,29232.5064234137,29111.7359647318,29032.8175307381,28973.6593470061,28888.4803643752,28850.4100990906,28798.3156963542,28742.3187549685,28713.3809258848,28675.6397260272,28633.0056122323,28601.1912592659,28576.2662259295,28552.9937934509,28517.442359816,28488.523888523,28483.14259393,28464.649243214,28440.791418479,28434.9636207769,28391.1790048834,28341.5287324597,28318.7835774103,28267.1166409799,28244.53794087,28203.4202143469,28175.4937928981,28149.5456341369,28136.5578450803,28114.2868110164,28140.5228734855,28158.4577178818,28169.0739151867,28183.397819881,28174.9760378141,28163.3254377108,28167.5797536641,28152.3985955828,28147.2234581174,28131.1195752196,28136.3852854932,28140.7934978263,28141.4331652564,28142.9839287085,28146.7423462092,28149.5398738935,28151.5846742294,28140.7047509063,28141.7479109573,28136.0228312545,28136.5022132645,28136.8933361564,28135.141633903,28132.8302935903,28051.5751986568,28042.3997802288,28055.9112310792,28066.7546177067,28075.4534462911,28060.7815304801,28060.8887292975,27783.2723493156,27536.9118863768,27626.204092942,27205.0642272965,26743.8535605147,26591.9641571833,25425.0094099814,23468.0518694778,20319.3980155947,13945.0699469816,8571.70498613436,5984.30249102213,5105.18878145764,4090.43466526964,2639.50972653703,2295.08546800324,2224.02301036735,2145.24882517664,2071.61950796445,2009.99750917861,2043.49284412891,1740.32112451471,1640.23016202071,1405.86143070847,1243.77219178848,1299.53038972612,1375.66810789212,1436.79454706359,1474.36483121717,1458.42362442215,1527.44529562852,1594.70326226369,1556.20812691873,1591.67986107692,1611.57264861079,1589.35429509801,1447.19409919682,1531.32823370069,1618.24596646498,1642.15580168656,1723.62286460829,1824.45737993019,1926.58333133426,1971.65339482499,1829.35995101311,1912.18459104831,1994.41856321869,2058.31439747163,2059.19981533905,1551.88185735477,1558.02596468628,1597.98441860781,1565.76190886866,1586.76316352357,1582.370751618,1459.49058953388,1481.76518851878,1539.64824649188,1588.66869496656,1634.72447021027,1595.66543830469,1634.03068086873,1719.30694043096,1819.57793094256,1788.79713136746,1876.72693165621,1757.02445485237,1859.28465555342,1973.84391995992,2086.53235880962,2211.9045014835,2344.0778347434,2478.01575138057,2624.91337793645,2778.45189484741,2944.85208739317,3116.58650674391,3295.19891853843,3480.66292223288,3683.96686875198,3892.94102463601,4122.79815004224,4357.51044128375,4615.50514543217,4888.89027734147,5170.04676594649,5469.89393951799,5791.82992177058,6131.37295654262,6491.14613039542,6868.19052516418,7255.82855082608,7677.62587145279,8114.82146235189,8602.71045802289,9091.15808895725,9609.61250066894,10176.0168581719,10768.8410318746,11378.8159231364,12021.9621350644,12708.5414670528,13414.7380999811,14181.7507449552,14960.1003681267,15781.194165373,16677.2917391172,17606.6767907558,18570.9027158456,19546.7592828106,20506.5216457409,21449.3438735218,22375.9774582836,23255.9268971271,24075.4419213694,24902.0979384868,25609.0970762346
"min",21363.2858779588,21130.9419633734,20962.2071096743,20838.1900290834,20746.2564590407,20677.6816565825,20626.2966018954,20587.6619151508,20558.5404872426,20536.548327495,20519.9165228465,20502.4993770895,20484.3740904676,20464.0783880663,20448.0661760101,20431.6792793681,20417.6327497277,20406.3677239453,20394.1437937487,20380.6447578077,20369.4761306986,20364.8693023185,20361.0546233585,20357.8953399093,20355.2784769902,20353.1106505565,20351.3146337234,20349.8265362371,20348.5934841398,20347.5717084954,20346.7249693952,20316.0395605847,20290.5934658798,20269.4680495438,20251.9131282866,20237.313836312,20225.1646774503,20215.049012584,20206.622710811,20199.6010271323,20193.7480060681,20218.8515753461,20239.7743242694,20257.1964280904,20271.6923973517,20283.7459307011,20293.7631824604,20302.0844394727,20308.9942799517,20314.7303315273,20319.4907670162,20323.44068252,20326.7174989589,20329.4355190646,20331.6897598769,20333.5591676979,20335.1093093604,20336.3946212353,20337.4602859927,20338.3437969014,20339.0762604314,20339.6834800786,20340.1868575616,20340.6041417598,20340.9500508346,20261.7220183521,20275.456225035,20286.8744346719,20296.3623698906,20304.2430138722,20310.7863454632,20316.217712661,20022.4156747679,19777.1838640371,19868.5177141504,19503.43299921,19104.1225683779,19048.8428595629,18196.3037857778,16853.9259178899,14620.8160208424,9812.90505278523,5805.03680276104,3912.33250435454,3327.47285777111,2597.12068117936,1440.38102525703,1179.11719988721,1146.24569098221,1101.90509565767,1063.47202979506,1036.86392399503,1096.99606810556,859.404153548316,789.415364559061,600.131925775893,449.048464687883,486.134325198017,543.05622290533,590.214248177597,616.956248840614,596.719720116367,652.224842110267,708.713148536023,676.953982987806,706.844312774284,720.621039135212,691.995120963384,549.178738867765,613.637006877653,683.64875005632,697.190850523007,765.952034951065,855.840696454027,952.251249316186,1003.69618674276,876.711231759767,955.519596362744,1037.31977090021,1107.37801239095,1119.97429865824,629.376886745145,617.783402144858,640.651992289977,590.499359168473,588.439424857558,561.982586105612,415.496966820677,402.081862797093,421.290198505711,430.580082637141,435.178209876449,352.934709994137,340.378121231404,368.056151398494,411.373102593804,324.806050963251,348.114271508882,160.225020393771,179.082779179516,200.159973297562,223.717798680641,250.048182447825,277.75206887303,310.441709718963,346.978470518182,387.814993562287,433.457127165947,484.470156552245,541.485753771702,605.209724726917,676.430637564126,756.029422240326,844.990035279998,944.411285533577,1055.51991454024,1179.68501649942,1318.43386435472,1473.46917493795,1646.68779000355,1840.20066043254,2056.3538822667,2297.75032323859,2567.27106557617,2868.09543112967,3203.71768806383,3577.95758395965,3994.96050439371,4459.18119268213,4975.34244696271,5548.35691424729,6183.1959921506,6884.68511288085,7657.1999692893,8504.23505514437,9386.34429141712,10323.5831280247,11326.0990619911,12388.1198037025,13344.2844416755,14283.1374446663,15243.1471063787,16146.3924047931,16868.5379003545,17464.1347045615,18068.2320390332,18679.4353902344,19296.1996030098,19916.8360618184
"max",48055.4753525501,47405.1295946244,46795.3769620098,46221.9844702885,45681.3104010097,45170.2017527958,44685.9127059308,44226.0391767575,43788.4658270588,43371.3228119864,42972.9502134202,42587.2258744941,42217.6601134892,41863.0442718203,41522.2902573847,41194.415461316,40878.5299217234,40573.8253483943,40279.5656971451,39995.0790412006,39719.7505334278,39457.659006459,39203.5050114282,38956.8233845866,38717.1846727278,38484.1916615022,38257.4763068502,38036.6970153039,37821.5362271674,37611.6982634511,37406.9074031579,37176.8943181029,36952.1017303017,36732.2499235783,36517.0774353965,36306.3395037807,36099.8066709785,35897.2635254396,35698.507566139,35503.3481753635,35311.6056878646,35153.12239002,34997.2416428773,34843.8492163967,34692.8366044284,34544.100638972,34397.5431349651,34253.0705627658,34110.5937457907,34022.3024414385,34011.9411659387,34002.129046043,33992.8362951439,33984.0348118363,33975.6980775045,33967.8010608417,33960.3201287636,33953.2329632257,33946.5184834989,33940.1567734934,33934.1290137619,33928.4174178372,33923.0051725951,33917.8763823544,33913.0160164512,33824.1808159221,33824.1924819343,33824.2035450665,33824.2140364739,33824.2239857014,33824.2334207674,33824.2423682424,33521.2563166746,33233.6161128855,33262.8251553876,32784.6931672177,32203.6027036583,31937.5713736898,30548.8535469614,28297.7740740289,24614.5159520225,17317.190375191,11403.4936313647,8880.38776577256,7953.19979722106,6913.86908789556,5469.58673394377,5119.7204175971,5045.39024998247,4960.69164967389,4885.94100009519,4827.15544173015,4865.67727180428,4569.90005403958,4481.19368640312,4271.69464332164,4142.51730462577,4235.53146987436,4347.94404012728,4445.28491548677,4516.74799976577,4535.19083373307,4639.69271930657,4740.86437464951,4740.75618485869,4812.26884366883,4864.63345819723,4873.32249037798,4767.77535089618,4894.68680044265,5022.87712739224,5087.96105886092,5209.8786866517,5348.42690048868,5486.48297365507,5570.32848741479,5472.54743660543,5593.47478673418,5711.26444749704,5810.6738324005,5846.66323947429,5377.60854737888,5434.70469093507,5529.20808891147,5550.30179017578,5626.06649774716,5679.60516768492,5617.35725957193,5704.13568462757,5827.46756913532,5941.81807892376,6053.35778235039,6080.22247595003,6187.33752417425,6339.05378914082,6507.12982220968,6544.27813706974,6702.73256450002,6650.85753639142,6827.03015561888,7007.76515765624,7193.17104718677,7383.3580085546,7576.70850117567,7776.75022765007,7981.91195553402,8192.30982732158,8408.06122921418,8629.28466238335,8856.09959754073,9088.62631142379,9326.98570372364,9571.29909289999,9821.68798924747,10078.2738434992,10341.1777691783,10610.5202368395,10886.4207382796,11168.9974187451,11458.3666751232,11754.6427180822,12057.9370961178,12368.3581794841,12686.0106020327,13010.9946590626,13343.4056593999,13683.3332300895,14030.8605722924,14386.0636672511,14749.0104315224,15119.7598210829,15498.3608843997,15884.8517651362,16279.2586558308,16681.5947046608,17091.8588782823,17535.5650957246,18240.9998231775,18948.9303561482,19655.8600036336,20542.04371569,21387.2909940258,22252.7014880616,23297.0704548403,24553.3744736547,25687.9698982159,26683.4371496968,27532.5302333468,28412.4024547122
"n",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
