"","r_max","K","catch_multiplier_1","catch_multiplier_2","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2012","N2006","N2019","N2030","ROI_IA1","ROI_IA2","q_IA1","q_IA2","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2012","status2006","status2019","status2030","draw","save"
"mean",0.0909415298583931,30116.373613434,1.10423765853161,1.01825920381227,1.7120586215952,15010.6111507202,0,0.534519247117546,475.94215933468,1958.157,0,15010.6164036637,19461.1966055945,12953.8119823327,25912.4121713748,29419.4498647745,0.090437999675666,0.0647363651393187,0.0542553021600599,0.505256659710203,0,-9999,35.4486514123895,0,17.1207202026483,0,52.5693716150378,1.91387560326367e-23,0.0153436097569267,0.501686537114766,0.65147646856076,0.432346517023189,0.866183336453782,0.979090648918655,70098.9166,1
"median",0.0922396298297681,29602.7398560369,1.09921133008642,1.01820574267133,1.71074568971736,14992.526208749,0,0.54459612921346,383.636666213557,1958,0,14992.5389473288,19443.9867763187,12898.3807508927,25891.1081264825,29198.7608178863,0.0917688354207533,0.0652901536497363,0.0531708946592426,0.504453525092977,0,-9999,35.3988005857309,0,16.9170016449503,0,52.2914464813196,1.95035363565971e-23,0.0129117497531328,0.501522087174036,0.655886183653254,0.431630706890363,0.883156551370097,0.990302848064312,69744,1
"2.5%PI",0.0545839466694626,26041.4301255886,1.0066664034366,0.963467686534859,1.56489989245298,13265.0449721434,0,0.0313619561493397,190.991364283191,1926,0,13265.0560684397,17550.7655258238,11129.5318907035,23571.3270061768,25959.4160724441,0.0537046721074572,0.0432751456903372,0.026237501136256,0.460279337502595,0,-9999,34.9678688088063,0,16.315265296509,0,51.6220171160589,1.27672020976475e-24,0.00684180578241253,0.407051192068656,0.51149569286443,0.353509596125969,0.688087917283923,0.891354132988692,3630.575,1
"97.5%PI",0.116514452785719,36872.8143919156,1.34501117977133,1.07294531669651,1.85936894446491,16906.6759390786,0,0.97942158501246,1283.16110095074,1968,0,16906.7122252918,21387.9863909357,15061.6687366699,28500.4405267412,34242.5669147711,0.116197640991969,0.0818985993861439,0.0843401431722296,0.556357857792724,0,-9999,36.3009565494686,0,19.0809390222561,0,55.0177478033812,3.80927934442972e-23,0.037432959185801,0.593738777635822,0.768455028158397,0.512056248697643,0.955783379833551,0.998522337075069,137037,1
"5%PI",0.0607674342678627,26551.821494684,1.013160558348,0.971884687873635,1.59032793092688,13534.7031000128,0,0.068799688119907,204.990612375345,1926,0,13534.7347413342,17833.6637757172,11394.0989006257,24001.5556926245,26459.3023114393,0.0599881939664501,0.0474125134981201,0.0296128797944326,0.465978162912593,0,-9999,35.027293069748,0,16.35873145245,0,51.6912312303411,2.37394127340022e-24,0.00730683561953593,0.423027632085718,0.533933830341189,0.367683839738203,0.722796643055209,0.922096200336019,7173.35,1
"95%PI",0.11511996451579,35254.8553834054,1.23845995473865,1.06434749410926,1.83472597054852,16547.6915834181,0,0.958857518725563,1086.04204641283,1968,0,16547.6726860407,21079.3711350785,14667.9673519614,27884.0487152418,32991.0927270883,0.11479982548663,0.0799141285837096,0.0805950556750781,0.547167955843418,0,-9999,36.0361300197143,0,18.5981978122163,0,54.3974906923166,3.55454088457248e-23,0.0323164725260516,0.578693474944702,0.751878042933885,0.497478105067663,0.950025336925387,0.99824586676916,133277,1
"min",0.020832936400082,24586.5275256033,1.00002594057197,0.909314916638418,1.45101615932177,12084.666806506,0,4.52501699328423e-05,155.866875973496,1926,0,12084.6047582386,15806.3138976038,9945.20270977158,20208.3680774497,24568.1737967226,0.0203629828485283,0.0195217182684586,0.0139322790542339,0.417831240619899,0,-9999,34.7596399114606,0,16.2090281262104,0,51.3678865802321,1.51747764067957e-26,0.00507707503588075,0.301896285350111,0.326212681661995,0.290331004860796,0.372621592063421,0.455165470972188,56,1
"max",0.117994080915581,56402.423784105,1.42856754067827,1.12610985137532,1.9867243331499,18764.4379246049,0,0.999960928689688,5223.39821349726,1968,0,18764.4444193748,23396.5291409547,17042.3097827725,31436.8490321413,37939.6871497074,0.117790428495644,0.0936933974050662,0.0995425292569936,0.607289268625279,0,-9999,39.9701036693797,0,23.5364979220436,0,59.4501629083155,4.91145660462464e-23,0.0926094636197052,0.680114885360878,0.845923069646954,0.590749947192361,0.976661069507856,0.999299734773732,141072,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
