"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.091","0.093","0.054","0.06","0.115","0.116","10,000"
"2","$K$","30,199","29,711","26,133","26,551","35,536","37,163","10,000"
"3","$N_{min}$","   507","   414","   192","   205"," 1,161"," 1,392","10,000"
"4","$N_{2008}$","14,986","14,954","13,305","13,524","16,563","16,863","10,000"
"5","$N_{2012}$","19,455","19,450","17,578","17,850","21,105","21,418","10,000"
"6","$N_{2019}$","25,952","25,935","23,591","24,042","27,939","28,642","10,000"
"7","Max depletion","0.016","0.014","0.007","0.007","0.034","0.039","10,000"
"8","Depletion in 2008","0.5","0.5","0.404","0.421","0.576","0.592","10,000"
"9","Depletion in 2012","0.65","0.653","0.506","0.531","0.752","0.768","10,000"
"10","Depletion in 2019","0.865","0.883","0.677","0.718","0.95","0.956","10,000"
