"","r_max","K","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2012","N2018","ROI_IA1","ROI_IA2","q_IA1","q_IA2","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2012","status2018","draw","save"
"mean",0.0912071537617845,30218.5462597326,1.10283398358603,1.33636434849543,1.01850302260668,1.71235453394186,14971.552918214,0,0.535768189998576,502.234511217934,1960.5682,0,14971.559104517,19444.375289434,25259.6615373284,0.0907166698223923,0.0651964153805265,0.0546115848370235,0.505824030716428,0,-9999,35.4244201622567,0,17.122358594545,0,52.5467787568017,1.94041347697222e-23,0.0161549766422906,0.498790760020139,0.648825646785686,0.841936354281767,349638.7662,1
"median",0.0927150673735887,29763.0165569948,1.09671773220633,1.3360926267982,1.01852702514972,1.7132400316665,14943.7102287775,0,0.555073321214877,417.727152194831,1959,0,14943.7101249827,19414.0777281251,25248.6239384426,0.0922501728004492,0.0658686661227846,0.0535628691542668,0.505227774478028,0,-9999,35.3751695171558,0,16.9137672145751,0,52.274113777617,1.98445315875624e-23,0.0140693620876792,0.499255673997604,0.652991566579879,0.857816208975755,348060,1
"2.5%PI",0.0558428289146861,26138.9878108938,1.00514530481024,1.25459259205696,1.01288478751972,1.56669384515215,13224.4042031904,0,0.0328924788918812,192.83488662937,1926,0,13224.4171925602,17535.6583467382,22931.1899276389,0.0550832469334571,0.0448299917168226,0.0271222107359409,0.458331205396857,0,-9999,34.9549141153277,0,16.3206534170766,0,51.6093847541752,1.29313856799705e-24,0.00683895935102755,0.404047299933038,0.507108973128804,0.661471828425702,18386.15,1
"97.5%PI",0.116675552379107,37013.8225476883,1.33655152895486,1.41591672302829,1.02403995985028,1.85652063649115,16845.9088649048,0,0.980518137710169,1323.93791816723,1968,0,16845.9466426036,21434.8380540885,27732.3935167127,0.116415613459812,0.0821050402944383,0.0839056607162115,0.557866256524272,0,-9999,36.2458897932086,0,19.2372848966811,0,55.0049699707074,3.8577047652059e-23,0.0384184990710579,0.592473720551146,0.767776784932993,0.941562574372936,679727.3,1
"5%PI",0.0613465319414856,26556.1339461774,1.01098141906896,1.25943117921089,1.0138535923052,1.59219500470024,13495.0254861149,0,0.0606886645080522,203.634030634223,1957,0,13495.1293557462,17821.433951935,23399.1638924377,0.0606119165646686,0.0481125195671112,0.0301493138560391,0.466257105036853,0,-9999,35.0049899872218,0,16.363404878727,0,51.6850436811936,2.46129837699744e-24,0.00732141352504114,0.418845429063332,0.529790885006331,0.698091556623909,35830.2,1
"95%PI",0.115218429133343,35502.4429584761,1.25139831896895,1.41175144989823,1.0230620971993,1.8317069973478,16553.6370293587,0,0.961499578505755,1116.68070996011,1968,0,16553.6389398835,21107.0234047483,27175.0691051311,0.11492902864987,0.0798285573458834,0.0808884489559618,0.548079119549731,0,-9999,35.9793607449474,0,18.6212435109226,0,54.3613532427423,3.57660296593666e-23,0.0333111629024129,0.577280612503953,0.751106543599202,0.934266210981313,663498.8,1
"min",0.029060695650056,24836.9264241025,1.00005332340403,1.25002939993283,1.00834321649651,1.46911076780566,12218.6027525458,0,0.000229797791689634,151.309282229288,1926,0,12218.5918020779,16314.2807908186,19797.5176526931,0.0285715866644562,0.0270376123015168,0.0165153086572197,0.426420830185371,0,-9999,34.7877215251545,0,16.2183444322801,0,51.2966515764167,2.36623984139126e-26,0.00511953060762783,0.309782821137782,0.344768592498585,0.403062561534089,90,1
"max",0.117981479078997,51352.1456601648,1.42777434255469,1.41999747903319,1.02926339515468,1.940724426055,18502.2578189382,0,0.999728431226686,3289.4182377369,1968,0,18502.258235249,23009.7959290421,30868.0207824349,0.11774142062495,0.0937983365118931,0.102555555908399,0.596919370253336,0,-9999,38.438500835801,0,22.4679471943491,0,59.0059102874387,5.27408688730906e-23,0.0776741639137692,0.665687400757999,0.819328478571931,0.962939917641771,697611,1
"n",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
