"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.084","0.088","0.033","0.069","0.103","0.116","10,000"
"2","$K$","31,021","29,922","25,969","28,262","32,459","42,359","10,000"
"3","$N_{min}$","   739","   437","   194","   297","   806"," 2,948","10,000"
"4","$N_{2006}$","13,370","13,228","11,233","12,473","14,163","16,142","10,000"
"5","$N_{2008}$","15,301","15,245","13,374","14,574","15,986","17,494","10,000"
"6","$N_{2012}$","19,443","19,452","17,380","18,763","20,136","21,456","10,000"
"7","$N_{2019}$","25,495","25,612","21,779","24,711","26,426","28,267","10,000"
"8","$N_{2030}$","29,263","29,164","25,630","27,891","30,528","33,852","10,000"
"9","Max depletion","0.022","0.015","0.007","0.01","0.025","0.073","10,000"
"10","Depletion in 2006","0.436","0.436","0.339","0.407","0.466","0.527","10,000"
"11","Depletion in 2008","0.5","0.503","0.375","0.466","0.538","0.609","10,000"
"12","Depletion in 2012","0.638","0.65","0.433","0.587","0.7","0.779","10,000"
"13","Depletion in 2019","0.837","0.872","0.529","0.788","0.92","0.958","10,000"
"14","Depletion in 2030","0.955","0.988","0.687","0.957","0.996","0.999","10,000"
