"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.094","0.097","0.057","0.083","0.107","0.117","1,000"
"2","$K$","25,558","25,264","23,765","24,589","26,227","28,881","1,000"
"3","$N_{min}$","   438","   346","   199","   271","   504"," 1,183","1,000"
"4","$N_{2006}$","13,018","12,979","11,135","12,333","13,695","14,961","1,000"
"5","$N_{2008}$","14,973","14,954","13,235","14,351","15,600","16,742","1,000"
"6","$N_{2012}$","18,865","18,878","17,236","18,303","19,424","20,510","1,000"
"7","$N_{2019}$","23,435","23,454","22,344","23,125","23,794","24,381","1,000"
"8","$N_{2030}$","25,284","25,154","23,740","24,526","25,967","27,427","1,000"
"9","Max depletion","0.017","0.014","0.008","0.011","0.019","0.041","1,000"
"10","Depletion in 2006","0.51","0.509","0.446","0.485","0.53","0.583","1,000"
"11","Depletion in 2008","0.587","0.585","0.513","0.56","0.613","0.671","1,000"
"12","Depletion in 2012","0.74","0.743","0.623","0.708","0.777","0.837","1,000"
"13","Depletion in 2019","0.919","0.932","0.789","0.898","0.954","0.974","1,000"
"14","Depletion in 2030","0.99","0.996","0.943","0.989","0.998","0.999","1,000"
