"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.088","0.088","0.064","0.079","0.097","0.11","994"
"2","$K$","28,429","28,199","25,851","27,152","29,399","32,448","994"
"3","$N_{min}$","   485","   434","   246","   345","   577","   965","994"
"4","$N_{2006}$","13,066","13,068","11,270","12,409","13,694","14,908","994"
"5","$N_{2008}$","15,015","14,982","13,312","14,331","15,662","16,840","994"
"6","$N_{2012}$","19,128","19,116","17,254","18,443","19,795","21,063","994"
"7","$N_{2019}$","24,910","24,907","23,259","24,398","25,457","26,439","994"
"8","$N_{2030}$","27,958","27,849","25,759","26,964","28,819","30,824","994"
"9","Max depletion","0.017","0.015","0.009","0.012","0.02","0.032","994"
"10","Depletion in 2006","0.461","0.46","0.395","0.434","0.484","0.536","994"
"11","Depletion in 2008","0.53","0.528","0.454","0.501","0.557","0.615","994"
"12","Depletion in 2012","0.675","0.676","0.566","0.638","0.714","0.778","994"
"13","Depletion in 2019","0.879","0.887","0.76","0.849","0.917","0.953","994"
"14","Depletion in 2030","0.984","0.989","0.941","0.979","0.994","0.998","994"
