"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.092","0.093","0.054","0.08","0.105","0.116","7,058"
"2","$K$","28,272","27,851","25,090","26,708","29,389","33,707","7,058"
"3","$N_{min}$","   472","   375","   196","   283","   550"," 1,286","7,058"
"4","$N_{2006}$","12,996","12,935","11,176","12,295","13,638","15,105","7,058"
"5","$N_{2008}$","15,013","14,981","13,273","14,362","15,622","16,926","7,058"
"6","$N_{2012}$","19,249","19,243","17,418","18,623","19,892","21,064","7,058"
"7","$N_{2019}$","24,934","24,965","23,095","24,353","25,547","26,609","7,058"
"8","$N_{2030}$","27,732","27,576","25,029","26,599","28,765","31,031","7,058"
"9","Max depletion","0.016","0.013","0.007","0.011","0.019","0.039","7,058"
"10","Depletion in 2006","0.461","0.46","0.392","0.436","0.485","0.538","7,058"
"11","Depletion in 2008","0.534","0.534","0.445","0.504","0.563","0.623","7,058"
"12","Depletion in 2012","0.685","0.69","0.544","0.646","0.731","0.794","7,058"
"13","Depletion in 2019","0.887","0.904","0.715","0.857","0.936","0.963","7,058"
"14","Depletion in 2030","0.983","0.993","0.904","0.982","0.997","0.999","7,058"
