"","N_1830","N_1831","N_1832","N_1833","N_1834","N_1835","N_1836","N_1837","N_1838","N_1839","N_1840","N_1841","N_1842","N_1843","N_1844","N_1845","N_1846","N_1847","N_1848","N_1849","N_1850","N_1851","N_1852","N_1853","N_1854","N_1855","N_1856","N_1857","N_1858","N_1859","N_1860","N_1861","N_1862","N_1863","N_1864","N_1865","N_1866","N_1867","N_1868","N_1869","N_1870","N_1871","N_1872","N_1873","N_1874","N_1875","N_1876","N_1877","N_1878","N_1879","N_1880","N_1881","N_1882","N_1883","N_1884","N_1885","N_1886","N_1887","N_1888","N_1889","N_1890","N_1891","N_1892","N_1893","N_1894","N_1895","N_1896","N_1897","N_1898","N_1899","N_1900","N_1901","N_1902","N_1903","N_1904","N_1905","N_1906","N_1907","N_1908","N_1909","N_1910","N_1911","N_1912","N_1913","N_1914","N_1915","N_1916","N_1917","N_1918","N_1919","N_1920","N_1921","N_1922","N_1923","N_1924","N_1925","N_1926","N_1927","N_1928","N_1929","N_1930","N_1931","N_1932","N_1933","N_1934","N_1935","N_1936","N_1937","N_1938","N_1939","N_1940","N_1941","N_1942","N_1943","N_1944","N_1945","N_1946","N_1947","N_1948","N_1949","N_1950","N_1951","N_1952","N_1953","N_1954","N_1955","N_1956","N_1957","N_1958","N_1959","N_1960","N_1961","N_1962","N_1963","N_1964","N_1965","N_1966","N_1967","N_1968","N_1969","N_1970","N_1971","N_1972","N_1973","N_1974","N_1975","N_1976","N_1977","N_1978","N_1979","N_1980","N_1981","N_1982","N_1983","N_1984","N_1985","N_1986","N_1987","N_1988","N_1989","N_1990","N_1991","N_1992","N_1993","N_1994","N_1995","N_1996","N_1997","N_1998","N_1999","N_2000","N_2001","N_2002","N_2003","N_2004","N_2005","N_2006","N_2007","N_2008","N_2009","N_2010","N_2011","N_2012","N_2013","N_2014","N_2015","N_2016","N_2017","N_2018","N_2019"
"mean",30096.0138268721,29634.5996581296,29270.6800393541,28979.0823412445,28742.5505451522,28548.7855930763,28388.756394553,28255.6743745955,28144.33980352,28050.708343287,27971.5940814988,27899.6702153458,27838.4943514214,27786.2638536745,27741.5133223872,27703.0440360165,27669.8699841075,27641.1761026466,27616.2856205882,27594.6343005312,27575.7499576064,27564.0262673854,27553.5638583165,27544.2153920573,27535.8516760212,27528.3593499732,27521.6388763859,27515.6027923867,27510.1741879329,27505.2853801727,27500.8767582377,27465.9305170635,27436.3374033569,27411.1858702373,27389.7340131336,27371.3750957742,27355.6107921607,27342.0302200014,27330.2933796435,27320.1179826752,27311.2689141427,27334.5150172945,27353.8537635864,27369.9582307491,27383.3843325342,27394.590816598,27403.9561276113,27411.7924991689,27418.3576536541,27423.8644712101,27428.4889545168,27432.3767754455,27435.6486487035,27438.4047393404,27440.7282768709,27442.6885191761,27444.3431841821,27445.7404461951,27446.9205762185,27447.9172910871,27448.758864349,27449.4690420835,27450.0677988834,27450.5719627459,27450.9957323311,27369.2332913277,27382.6234434664,27393.7411612741,27402.9873606243,27410.6904486093,27417.1194910508,27422.4950595474,27140.3307068729,26902.0921096844,26985.7892560397,26571.2454781466,26097.5170410926,26026.9492874557,24839.1909146087,22963.378096665,19838.7685372519,13444.007869692,7982.66281910249,5426.08450465141,4733.93405665056,3810.75918214688,2209.72779616903,1842.90454699644,1802.27492157241,1749.26914249823,1711.41121888503,1680.15272829709,1748.65069290537,1432.30951347972,1341.92486484848,1096.8410117874,912.357869782379,983.237968958923,1068.20881405795,1139.91668937978,1177.8901650028,1148.22427791653,1227.69144716413,1308.305409125,1256.30926176476,1295.47501766349,1245.10336211988,1189.62488016224,990.824772654275,1076.40796094103,1167.0498731902,1146.43675286201,1228.70533170009,1335.78480178025,1447.26115590262,1494.15333724139,1307.77866781293,1391.1412163249,1477.02518514973,1538.69410609078,1458.8825484793,862.163679764358,832.020848630314,852.034843934902,766.855149660268,760.927546960922,685.609415914391,540.172306408451,505.603636401174,527.277360845944,551.220439479372,566.425992415691,599.078307680834,621.216670183704,659.373362162227,712.957344038213,700.864491261688,757.660177139709,623.762389229618,672.900561115898,726.131297736268,783.811061406571,846.328465565787,912.070213624815,985.386949268661,1064.91365726459,1151.19836307257,1244.83886124838,1346.48726405962,1456.85494223199,1576.71788092998,1706.92247117433,1848.39175190902,2002.13211001193,2169.24043354532,2350.91169589836,2548.44692305337,2763.26146012735,2996.89340270675,3251.01198808571,3527.42564437285,3828.08926235434,4155.11007400034,4510.75127720818,4897.43221959088,5317.72352175419,5774.33495646482,6270.09317806805,6807.90549620762,7390.70480763379,8021.36957912853,8702.61153209478,9436.82267264739,10225.8730202569,11070.8516166772,11971.7473551022,12927.0744521061,13933.4616770522,14985.2457177663,16074.1359939875,17189.0451382403,18316.1945217567,19439.5910417249,20541.9152885697,21605.7619778102,22615.0567927141,23556.3886268687,24419.9912111403,25200.1973186416,25895.3360121775
"median",29601.643912804,29137.5438050295,28791.5221631893,28509.6130320991,28281.8670851039,28108.6754887677,27963.9969087479,27843.4817945917,27736.3915819353,27648.0155928153,27579.4269598947,27516.9624522623,27465.438803701,27424.6007131,27381.8914548678,27350.7137466154,27320.4995556426,27296.2710190493,27276.4208503099,27259.9622092555,27245.4982571097,27238.5557072276,27229.5192021068,27222.4536957983,27216.8025828843,27210.0560095881,27203.9074263375,27200.2146564587,27199.7024933188,27198.2933438446,27197.5136788574,27162.6323818485,27134.7501575369,27109.871129237,27090.8801108821,27073.3271970306,27061.4011544845,27049.8979575664,27041.3138460639,27033.2019966307,27025.5416091076,27049.7327888926,27071.3002926106,27087.5843800057,27101.3804410532,27111.6002677934,27120.3195606415,27127.8337389797,27136.1562963854,27141.890024444,27146.3144286315,27151.4535083879,27155.2641887755,27156.9316005599,27159.1805371695,27160.8697605449,27161.7383912893,27162.5006992243,27163.8321279151,27165.2537468012,27166.9874795567,27168.1457148556,27169.2104848187,27169.4856161559,27169.7860077437,27087.5143858809,27102.3976118943,27114.2477526249,27123.2280951889,27131.2746069537,27138.0906374284,27143.4430917546,26863.2502424844,26624.7214556719,26710.2089480885,26295.4681775851,25827.2332297174,25767.2492195529,24583.0049427984,22727.5390292134,19634.5557388696,13274.7350613126,7853.99907150182,5318.22300877587,4636.34204753862,3725.02164800388,2128.59279159064,1764.25268668163,1725.06509688096,1673.24880215002,1636.45113187307,1605.90422356571,1675.57636160946,1359.86250774925,1269.29297845677,1023.78669762175,837.93577124762,908.32345176768,993.146362134488,1065.03715898024,1102.48102052884,1071.93015676504,1150.88548531788,1231.9903618048,1179.2287000192,1218.75163380097,1167.19937693845,1111.79433009645,912.476896715047,997.088293170294,1087.00877473303,1065.38181617382,1146.90612845592,1253.41539485236,1364.35210646682,1410.7497832055,1223.83276462163,1306.23070518722,1391.38970410469,1452.46278432148,1371.92457040993,773.50399545299,740.916682307907,758.359413644113,670.544784396085,661.26431549002,582.638576838389,433.877805159948,395.376810758308,412.758808492067,432.341614709093,443.080834198975,470.99497327822,488.176450228663,521.103290271373,569.454677966025,552.218656976103,603.0664928602,463.587053234395,506.507977180655,553.361539525032,604.58213887042,660.322398043656,719.870437540266,786.660838952125,860.388580021938,940.517673427755,1028.50550664085,1125.29099584478,1229.94148502648,1344.79409194006,1466.76176421715,1603.95696046826,1751.7305267003,1912.98811565862,2089.05549349269,2282.68836898943,2495.34555831069,2725.29791800264,2976.37079230344,3252.57028138644,3553.41048258653,3881.92138128937,4242.28205700402,4636.26320315065,5065.88493553857,5532.75969644771,6035.75210426495,6587.27031207162,7185.31319601316,7831.10737886924,8530.89359028928,9289.46450763746,10104.304246086,10977.6544388152,11891.8282201879,12867.5129835051,13885.7903854515,14948.0387916699,16042.7166316474,17172.1001986952,18302.7998293559,19439.7830391064,20558.3497042342,21649.765032105,22658.225204878,23601.4020298442,24450.1992387277,25205.9359581427,25878.6849482521
"2.5%PI",26066.2993516391,25718.2382751292,25430.2209690351,25212.3543285684,25031.9769645398,24883.6604453216,24774.7247521105,24696.0770578458,24630.8633201499,24575.7769674938,24525.843719817,24479.1190618487,24439.5816121001,24415.0294538633,24394.3686728085,24379.9570084324,24365.8491636617,24349.5910861461,24338.6495944147,24329.3771028895,24322.4336704644,24321.2843332573,24322.8260312263,24323.3276464916,24322.3050920555,24322.5629609895,24323.3924206063,24323.7968896379,24324.2617430832,24324.6180841081,24324.0943754719,24292.2604763881,24267.1664633381,24247.3755771192,24231.0254930357,24219.4345584215,24209.6842797121,24201.8847431876,24194.8065139209,24188.3277871849,24183.7964262815,24208.839666936,24230.9508179022,24247.5808910993,24260.9890457423,24271.8027297453,24281.4099572709,24289.3472152619,24295.8828628717,24301.2727070459,24305.2124128609,24309.0412097541,24311.151890017,24312.5825623809,24314.2855350088,24315.8589169313,24317.1799471011,24318.1975595889,24319.0543429728,24319.7563689321,24320.3315801686,24320.8028782088,24321.1890314106,24321.5054199337,24321.7646467725,24239.6161286532,24256.0874617426,24268.957492453,24279.308296526,24287.6169399162,24294.1142112815,24299.3105266611,24019.8454629976,23790.0922610371,23889.803252193,23502.8417023435,23076.509232798,23058.4719507056,21998.9075291332,20328.7513479763,17553.1271282013,11780.477331658,6877.31718431056,4598.21177854839,4014.95942496119,3209.04321402976,1749.63049474972,1417.16396500672,1390.53261118826,1350.77303941478,1324.43580360772,1306.51552083423,1380.36353579022,1094.08145604907,1013.34374372281,784.903248080487,610.367322265266,673.6710002017,751.334056232451,817.831237529868,854.107087110149,827.083158741626,903.296513200858,982.308104589211,938.240552681659,979.36284782781,935.478951110476,886.331129272706,694.500389234385,775.110771796971,862.521921943743,843.101867444351,923.878747728028,1031.111312289,1145.5486230917,1200.03632333485,1024.01393659459,1112.39598286262,1206.02001736646,1278.50671347507,1212.07695671894,628.384117480479,597.197913049876,615.36502510249,528.632075555731,518.944071011137,439.376036444747,287.393022033465,241.888154293084,250.6387866895,260.895241719853,261.744099255064,279.03414810639,285.067806154289,305.975323336232,341.500483509805,310.900390322793,346.871989700284,191.505712064127,213.881916043174,238.787956487451,266.643405825707,297.407560341874,329.87333072631,368.057303464973,410.562958639492,458.057301003587,511.049746510467,570.375185647872,636.0394961487,709.663558268425,791.361944006524,882.022339005913,983.747908786434,1097.82090139982,1224.56180638255,1364.76260861838,1523.12500353294,1699.15404353027,1892.75600100997,2110.95827110553,2353.19280495856,2620.70958207721,2917.22612159046,3248.55820044722,3614.49299355668,4016.34336522395,4465.06920337438,4963.37415601365,5515.52985876478,6124.52506004775,6797.96975533924,7532.95630144941,8325.04184434852,9188.84171043536,10126.2143158473,11122.5027801048,12163.4562126123,13265.0372086539,14359.9435801137,15460.2265516039,16516.3696018481,17530.1451299423,18509.1594921481,19434.5771315401,20347.5395136375,21195.3855711774,22028.8590007451,22831.8977133791,23597.5900365682
"97.5%PI",37083.229094449,36588.3785228566,36167.8659071018,35765.822251566,35486.4699701656,35246.756977359,34996.0049203352,34792.9862705269,34625.8745406946,34463.3874970077,34357.338568754,34255.7605897483,34134.9859140546,34035.6854291674,33937.6736936367,33858.0882231782,33818.8793151516,33719.1244569632,33678.9922164145,33604.5077498481,33549.9183603178,33479.689678446,33465.6209201094,33453.1890774204,33433.2315972087,33421.4057658041,33405.1214258416,33380.5705238241,33369.4686164466,33363.3935463049,33352.6300802491,33314.8416603637,33285.6604136621,33247.5351214819,33230.4635458611,33197.6023555576,33181.6363099307,33167.6648087516,33155.9057796249,33145.5894523339,33123.655298816,33149.1625541982,33162.3193307541,33173.5893533593,33188.0851715245,33200.639860754,33199.200269739,33206.6730346193,33210.8338895266,33212.9836610517,33201.4046195399,33204.5921356122,33207.1757401072,33209.2698426618,33210.9671958429,33212.3429850818,33213.4581504112,33214.362082633,33215.494840502,33216.5062251218,33217.3509573637,33218.0565166962,33218.6458476163,33219.1381087604,33219.5492981753,33137.4525558071,33154.0203040523,33166.0538195093,33172.4471074264,33180.5128531574,33187.2535686277,33188.7478454735,32894.9286390866,32674.5468197138,32744.4055917229,32298.3942330569,31751.6698936596,31603.4192907155,30163.3001484363,27931.9651264381,24087.9237199767,16443.171107346,9930.08738242137,6910.86170041038,6033.46967819314,4903.3390985316,3116.77638043336,2706.73438321621,2646.32427945812,2573.31557849602,2516.14142782693,2472.30457377015,2527.4329091504,2183.83448105084,2079.86111973022,1827.78377894063,1644.76273598198,1728.36721397274,1823.24495050477,1902.45892000925,1945.52194129489,1916.75018850451,2002.96524196527,2086.79954104361,2029.35948743987,2070.42989639943,2018.46486638702,1964.8509924405,1767.15419645831,1863.41113520598,1962.34721631584,1948.51447502446,2036.98636405059,2146.77323471228,2259.01791293107,2300.62974113422,2110.79735935934,2194.88912488154,2278.17791057896,2331.40238975054,2243.67226060917,1638.20070354243,1622.89477891097,1659.33575037512,1590.26254951439,1606.94066960285,1555.45993996115,1436.00568221203,1437.01197548424,1497.2199041918,1560.52874207756,1616.84437146584,1693.40193393056,1758.95283287321,1842.76549193879,1943.87641724698,1979.5964727971,2090.03243397489,2008.77008869477,2116.82024052844,2232.60778084511,2354.99073691083,2483.6916237816,2614.39245239116,2753.13660278741,2903.57509255347,3062.63576029448,3230.53801455607,3408.56029533256,3596.8209627907,3801.65843318028,4015.0714249675,4229.4865384508,4465.23977057979,4708.57496515546,4963.08355212158,5230.60675766587,5512.59219419625,5809.13631145296,6123.28290374442,6454.30310366077,6809.87135567289,7170.0896678745,7571.60698521579,7990.64303583238,8421.66632656385,8855.7709442224,9337.97025010418,9847.11100516954,10369.5666977222,10915.0865557384,11496.240182481,12117.9987336106,12770.6453748153,13450.4311089448,14204.1840285493,15038.4375376573,15910.9726270997,16885.6086319381,17940.4456935171,19053.9757257987,20224.2172926109,21391.3824314985,22550.7728607281,23642.9567064194,24723.6676823777,25735.5267341458,26677.9437780412,27616.4157865866,28539.4761282285
"5%PI",26529.2730421324,26133.8011668116,25817.5967573513,25589.8129382649,25405.9671425829,25267.5145251241,25156.1916487048,25059.0829855286,24984.8465881403,24915.4997434725,24870.3352503446,24831.4972255432,24798.7383828411,24770.5652625206,24748.2398297249,24730.6868078308,24715.7269748254,24701.2596700977,24694.9614110849,24688.3453699837,24683.8575213839,24683.3784660816,24684.0911704865,24680.3455288855,24678.263436245,24678.9104607939,24678.8671436728,24678.15601106,24678.2221854016,24678.3088487746,24678.3771201186,24649.3059581367,24626.0981263747,24604.7151829761,24586.7505928512,24574.5980966765,24560.9691233079,24553.3398615778,24546.9810133118,24542.3398371881,24535.6483968897,24561.9410880339,24583.0521410657,24600.4594356837,24614.7407720405,24626.6343306869,24636.4243260573,24644.5915761144,24651.2216798581,24657.5538373031,24661.6440592145,24665.5031163262,24667.94582855,24669.5935891315,24670.9187133696,24673.3456899628,24674.1531940855,24674.7896416971,24675.2912538802,24675.6865874188,24675.9981544631,24676.243700708,24676.4372137825,24676.5897186104,24676.7153142866,24594.9461140869,24611.8011802252,24625.5726266401,24635.0221958558,24643.0397167012,24650.0616355031,24655.7102351615,24369.8544649843,24136.6601179385,24240.2768539663,23846.407946325,23413.4916152829,23385.3763616858,22316.7997004944,20616.2692952791,17805.6402075559,11954.8515635438,6987.20890653862,4678.04433277882,4086.31842940935,3266.14728938576,1785.29837055516,1448.54289086645,1420.57479369104,1380.36832988252,1354.33866029435,1335.06418467237,1410.49207008575,1120.11126784391,1038.96428041381,805.130901049243,627.195508299639,691.265308943326,770.14234974261,837.755054810651,874.236352622703,846.265793749964,923.063993297582,1002.92900516943,956.48860011987,997.36762808372,952.225078387011,900.749702975469,706.384511854637,787.751501332927,875.520714386849,854.803299121073,935.907449317855,1043.806342878,1158.37124156327,1211.98541997381,1034.15836785218,1122.07831531868,1215.02765135099,1286.64340366238,1219.37492493175,634.605035951406,603.338628463497,621.245572877526,534.441224725712,524.684122842108,445.146604673927,293.109374135083,247.892607785227,257.165813290075,268.003696864893,269.338187531441,287.141862124529,293.755172983711,315.359573919144,351.651310710092,321.719705824517,358.632285372317,204.283461095134,227.799127682352,254.028385351113,283.29156825098,315.626994910198,349.57349068945,389.304683220067,433.876330887699,483.757875228045,539.064023176647,600.806819920943,668.980570119022,746.230072524237,831.165328935432,926.50642834998,1032.10995719602,1149.80986643566,1281.00364650403,1427.08397236364,1590.8696090364,1772.23843297207,1973.36604144525,2196.96009825936,2447.91888453029,2728.45833096297,3036.34749900567,3374.9557426301,3755.25821975612,4173.19369775698,4635.44951255235,5148.09548101535,5710.2557137283,6335.85491756315,7019.90546266588,7767.50313595486,8575.14147053398,9439.61590003578,10374.1119887296,11365.4687743546,12419.7159864872,13503.0624756612,14614.6995529425,15711.5266651687,16779.1213625328,17818.2453368323,18821.5501267812,19804.0238526291,20759.9226667606,21645.6139696572,22509.6818618588,23307.7073730895,24027.8082724306
"95%PI",35419.4990865864,34891.2383614012,34474.0069900929,34143.4227398689,33857.2844624048,33581.2524766908,33360.1477704814,33149.4786125135,32967.3642126596,32797.8928496531,32665.808819727,32544.0611935241,32456.959903501,32368.8770760613,32305.2586928156,32248.227636718,32179.9728029921,32114.9456693868,32047.5567197422,32005.7816443681,31960.253876455,31907.136540763,31876.714546981,31833.0094388141,31792.9650694274,31744.9507931484,31732.0850224439,31708.0993074588,31703.8136671777,31666.0877008595,31642.8943911257,31591.6496779737,31545.3792040919,31522.9701130308,31478.3329459986,31455.6868994357,31413.9106055367,31397.8395244685,31377.7123416482,31368.3851679627,31349.4742443193,31359.6050287643,31373.1488447801,31382.627695191,31385.5448406729,31393.2308619278,31398.8279140973,31400.3236420944,31390.6266301261,31392.8540083024,31397.3025068307,31394.5954780022,31391.9524798233,31388.2355439844,31388.7454701125,31387.549229397,31389.0920079789,31385.9743712,31383.7493876542,31379.7630446609,31378.3320634581,31375.192662488,31375.5570546911,31375.8538899537,31376.0956931727,31294.9085425624,31310.1008669519,31321.934149069,31328.2231762319,31333.2908745753,31337.929145071,31341.9004591066,31059.3112706739,30815.8665964643,30879.5010673256,30435.2637383392,29901.2437432485,29774.331948927,28424.8072573729,26295.7771370319,22755.724484169,15591.7361301248,9445.87462598998,6551.61810838843,5722.09930290056,4664.05170120348,2884.45522214457,2479.47149447045,2422.24064880229,2355.03892042768,2300.95508412696,2256.17612858511,2316.46937268648,1975.77494653972,1877.09457498266,1622.97470733938,1437.4395316185,1516.46961517274,1610.25327404514,1687.4044289523,1727.15347631213,1696.46183373547,1777.7524983868,1858.27150287113,1805.27562402338,1841.90211218168,1790.10248299784,1731.48372056711,1527.73703783645,1620.76064559336,1717.76510710309,1697.66748334677,1783.10117630977,1891.15767567439,2001.64600887062,2043.62749158751,1851.54881768361,1934.898039298,2015.58574512421,2068.45701227395,1978.86178798601,1374.24591714209,1353.26125684789,1385.38267095352,1311.80822756858,1321.59919584098,1263.28875812714,1135.04370107212,1124.91414791223,1172.80440522416,1225.04360436274,1269.87314682639,1333.76395539602,1387.87343818605,1459.92334366946,1547.91231386127,1569.5182927105,1665.79928199198,1573.23009374621,1668.40641580384,1768.82610284613,1875.64678083203,1990.99503408509,2111.61938085847,2240.93719452272,2376.90230195605,2520.43688115911,2672.51699406257,2837.35838504702,3011.63101580317,3195.55799796645,3391.60952939485,3592.76902383037,3811.46582169813,4047.51149843918,4299.5620402097,4563.1319373901,4837.93538268776,5128.78561939905,5436.93771893443,5769.40346279938,6110.53990316597,6479.24740803616,6868.98735236926,7285.32325271586,7728.99749131335,8183.24130826327,8677.3331856774,9195.41092018959,9732.94492749954,10315.9542292556,10929.8601717295,11595.9078883409,12289.3805259465,13031.9097204452,13806.6979271753,14661.4570113099,15569.2837111244,16545.4064561648,17595.8511962131,18720.2466645431,19891.9551351557,21074.264474921,22229.1128610355,23357.6767291923,24402.3241099253,25373.4074189835,26281.355011716,27098.8567250795,27834.4107011652
"min",24589.8484573306,24359.7713677594,24191.6319755756,24067.5089152577,23975.2101995465,23906.2105022516,23854.4257635983,23789.2093772177,23731.8093578641,23687.5494552207,23653.3432516916,23622.3122821568,23598.2526641299,23579.5752963878,23565.0623538749,23553.7769972657,23543.7907094108,23533.4077408702,23525.1626073638,23518.6126124609,23513.4076590101,23513.8186823946,23514.1454136194,23514.4051352648,23514.6115878853,23514.7756954043,23514.9061421479,23515.009831788,23515.0922523167,23515.1577662625,23515.2098414444,23485.8507412855,23462.4999869318,23443.9078306036,23429.0917869544,23417.2768398449,23407.8499649071,23400.3252150372,23394.3167081569,23389.5175964932,23385.6836084094,23412.020607801,23433.0551690047,23449.8386050089,23463.2197256896,23473.8816547938,23482.3727741126,23489.1324102187,23494.5119557535,23498.7921102971,23502.1968741849,23504.9048566775,23507.0583822942,23508.7708040895,23510.1323643385,23511.2148832031,23512.0755047393,23512.7596865968,23513.3035841057,23513.7359501624,23514.0796484546,23514.3528582138,23514.5700330584,23514.7426639206,23514.8798859601,23437.0208026656,23453.0011601429,23465.7401424262,23475.8892403322,23483.971191757,23490.4046196479,23495.5242555785,23218.2671023766,22996.453744928,23098.5428431488,22719.7872624276,22303.2714975572,22287.476992047,21247.562507729,19680.617495702,17004.2448111434,11376.8655624248,6587.73377981397,4367.30806946396,3806.56166652137,3028.01508816465,1618.94176663208,1305.60355063546,1283.84090639705,1251.56336841643,1233.67362047531,1222.03114195875,1300.51562904662,1029.46723157325,959.812749901365,744.55355089718,577.707121817445,638.659864124859,713.597922637183,778.221945020497,813.726023110101,788.542723304665,862.457964153748,939.509461753053,897.902992305962,938.892300030904,898.242375918674,851.369201053445,669.315099000147,747.968990672277,833.358093980338,816.704370385979,896.39267300426,1001.71816413922,1114.40158874291,1170.18849457463,1007.33723141981,1095.3016162598,1188.57810312451,1261.02580028926,1196.06515340932,615.655787244987,584.267691035879,601.947866348435,515.157923835257,504.897650862831,424.927207545108,272.604824496157,226.119649880601,233.516726216357,242.293924449787,241.451123063265,256.745900778279,260.652586228527,279.227567969433,312.171769690583,278.980529605108,311.895586083345,152.538199244921,170.424392298702,190.40784776877,212.734472355624,237.679001172718,263.504015145419,294.401448290045,328.921654848392,367.489348399743,410.579005087528,458.720681177692,512.50650479685,572.597917266766,639.733746637247,714.739203292649,798.535894534776,892.152961299276,996.739444828386,1113.57799296229,1244.10001286872,1389.90236675035,1552.76568529264,1734.67433439787,1937.83800545137,2164.71479548351,2418.03548318115,2700.82846419655,3016.44444853958,3368.57949380853,3761.294181922,4194.31411667726,4673.50454151041,5205.94591142465,5796.8962870018,6451.84076008469,7176.36152494245,7975.93449718601,8855.62696927415,9819.66704226013,10848.8338963932,11946.0391720023,13116.3360102505,14239.6053933456,15172.1842156475,15938.6323345645,16662.5149351433,16943.2195070689,17227.6834888989,17515.901029899,17807.8626101261,18103.554853111,18402.9603361631
"max",54018.4600868106,53427.642181175,52868.0884328063,52337.0717723011,51832.1858085477,51351.2977814551,50892.5097112832,50454.1261036353,50034.6269379151,49632.6449443983,49246.9463856698,48871.5389513534,48510.46864987,48162.7964879745,47827.6663010765,47504.2955801658,47191.9675122272,46890.0240485258,46597.8598472095,46314.9169625981,46040.6801745934,45779.5486370112,45526.063897753,45279.8266955147,45040.4656888926,44807.6349939418,44581.0119819711,44360.2953056528,44145.2031259664,43935.4715162427,43730.8530227615,43499.5970055153,43273.7301303461,43052.9975457724,42837.1600143485,42625.9926917188,42419.2840199513,42216.8347227071,42018.4568913383,41823.9731523363,41633.2159076974,41477.5449993073,41324.7222583899,41174.6403312076,41027.197065287,40882.29518645,40739.8419998723,40599.7491130868,40461.9321790493,40326.3106575734,40192.8075935986,40061.3494109074,39973.0847558557,39902.4666365457,39833.2762819837,39765.4737043202,39699.0204155125,39633.8793562877,39570.0148291633,39507.3924352538,39445.979014613,39385.742589882,39326.652313028,39268.6784149765,39211.7921579522,39077.4827981616,39024.1300585332,38971.7487453125,38920.3149977548,38869.8057340309,38820.1986191185,38771.4720342895,38459.9384932496,38153.7772144022,38116.3555298093,37607.7828059378,36982.2954711446,36684.9805704667,35211.3296076143,32830.4787678074,28945.2696235767,21486.0173295947,15020.888535977,11888.2408347947,10883.1367948769,9681.27162230239,7832.69579694891,7397.35860753757,7331.27043592628,7254.77231704286,7197.7376449627,7150.10343426733,7209.14360184641,6858.82278390895,6769.37028907356,6524.57960246956,6349.04660731461,6455.94259996525,6572.83022084698,6669.82706357303,6726.34716269012,6709.30252926079,6809.29605838842,6904.70114304777,6854.97356417562,6904.9441253691,6858.1109877955,6809.87200571454,6615.69449796332,6735.41651307429,6854.54283780558,6854.20454416984,6960.4907358934,7086.31362252234,7208.92351395149,7257.62634678487,7065.40021648968,7162.08711893825,7255.398523847,7318.34944203896,7235.59787260512,6642.88971239215,6658.9552588049,6728.13674075095,6691.86514604768,6741.81794993667,6724.07631387786,6643.02946630818,6684.49712431274,6799.55625000582,6925.56466634233,7043.48576596706,7180.13258010569,7306.35546632529,7449.42816720305,7607.65384552394,7698.85337993587,7862.17607905281,7833.31231617931,7999.37340016256,8168.80719264721,8341.67132338916,8518.02359308179,8695.88532278518,8879.34688181445,9066.46963722497,9257.3113219111,9451.92943112915,9650.38111961429,9852.72309078274,10059.0114776139,10269.3017148019,10483.6484017628,10702.1051560858,10924.7244570162,11151.5574785687,11382.6539118781,11618.0617764098,11857.8272196766,12101.9943051304,12350.6047879363,12603.6978783728,12861.3099926562,13123.4744910397,13390.2214031116,13661.5771402917,13937.5641956155,14218.2008310013,14503.5007523053,14793.472772604,15088.1204642824,15387.4418006666,15763.2620466081,16220.4110636945,16705.8404836874,17347.5824908723,18001.3468795641,18665.6868415947,19338.9536074946,20021.3451755214,21367.6273704066,22635.4069770319,23794.8094272825,24823.4223071264,25759.1855303498,27109.4273587781,28349.8543071035,29614.6200627438,30897.5934855124,32031.9526128979
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
