"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.087","0.092","0.03","0.04","0.117","0.116","9,994"
"2","$K$","23,858","23,324","22,247","22,291","28,499","26,932","9,994"
"3","$N_{min}$","   757","   409","   212","   227"," 3,385"," 2,136","9,994"
"4","$N_{2008}$","15,653","15,633","13,669","13,945","17,815","17,500","9,994"
"5","$N_{2018}$","21,640","21,741","19,892","20,448","22,496","22,377","9,994"
"6","Max depletion","0.029","0.018","0.01","0.01","0.119","0.079","9,994"
"7","Depletion in 2008","0.658","0.658","0.559","0.578","0.759","0.741","9,994"
"8","Depletion in 2018","0.913","0.938","0.7","0.77","0.979","0.976","9,994"
