"","Mean","Median","2.5% CI","97.5% CI","5% CI","95% CI"
"r","0.087","0.093","0.029","0.117","0.039","0.116"
"K","23,840","23,285","22,237","28,699","22,278","27,040"
"Nmin","  753","  396","  211","3,548","  224","2,224"
"N2008","15,656","15,590","13,643","17,913","13,962","17,542"
"N2018","21,641","21,741","19,783","22,537","20,413","22,383"
"q_IA1","-9,999","-9,999","-9,999","-9,999","-9,999","-9,999"
