"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.093","0.096","0.055","0.063","0.117","0.116","5,000"
"2","$K$","25,660","25,347","23,785","23,947","29,178","28,303","5,000"
"3","$N_{min}$","   458","   356","   198","   208"," 1,259"," 1,038","5,000"
"4","$N_{2008}$","15,035","15,000","13,305","13,564","16,952","16,602","5,000"
"5","$N_{2012}$","18,904","18,913","17,261","17,530","20,492","20,287","5,000"
"6","$N_{2018}$","23,035","23,073","21,710","22,068","24,040","23,883","5,000"
"7","Max depletion","0.017","0.014","0.008","0.009","0.043","0.037","5,000"
"8","Depletion in 2008","0.587","0.586","0.51","0.523","0.669","0.656","5,000"
"9","Depletion in 2012","0.739","0.745","0.618","0.641","0.833","0.822","5,000"
"10","Depletion in 2018","0.901","0.915","0.765","0.794","0.964","0.959","5,000"
