"","r_max","K","catch_multiplier_1","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2012","N2008","N2006","N2019","N2030","ROI_IA1","ROI_IA2","q_IA1","q_IA2","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2012","status2008","status2006","status2019","status2030","draw","save"
"mean",0.0906924183080643,28317.2102354501,1.01850705907199,1.71318186854108,19179.7371589842,0,0.564764013503748,485.054187201507,1957.8028,0,19179.7458018911,14979.3031011589,12982.5291767114,24866.691587935,27738.0545940912,0.0900990019392459,0.0613411285312962,0.0535140932532983,0.512158864432682,0,-9999,41.1162782390072,0,17.2391692883306,0,58.3554475273378,5.90454204326087e-26,0.0165439627029477,0.68169897127788,0.531360608901772,0.459814361922615,0.883217172367177,0.981660300780308,458920.4111,1
"median",0.0923844501208514,27871.5483176481,1.01847712076797,1.71314173144379,19173.8303860766,0,0.596256337594241,384.311127374644,1958,0,19173.8320650635,14955.585897923,12924.5380151722,24898.6214708853,27592.0075248076,0.0918577291166476,0.0621488636510207,0.0527997528215823,0.511154355641584,0,-9999,41.0522992150673,0,17.0336897505552,0,58.0721397306735,6.0199123037675e-26,0.013777818329186,0.687437727165513,0.531709096214335,0.458704754261576,0.90062164536515,0.992128200900108,460122,1
"2.5%PI",0.0539097586503835,25299.7460248596,1.01292690430889,1.57028219453655,17393.6484880483,0,0.0400998644472566,193.741230745681,1926,0,17393.6485196539,13262.1190942251,11156.0739805604,23149.0781189205,25254.2658653482,0.0529456185600321,0.0415414471446192,0.0258494898164496,0.467505191148135,0,-9999,40.6221499440042,0,16.417780078656,0,57.4130203422952,3.53146275025836e-27,0.00746548304667575,0.54331389427557,0.446833397174738,0.394723417867308,0.707670209926736,0.898965482502637,23059.1,1
"97.5%PI",0.116486741014442,33930.6872969854,1.02405540344043,1.85755770567476,20973.5580544628,0,0.981773864768911,1309.73057132713,1968,0,20973.6122435262,16862.3897119651,15134.012290491,26332.0364548662,30903.2232124698,0.116140954797348,0.0768457519727872,0.0836494889884853,0.561499659922264,0,-9999,42.0588923363958,0,19.2558424805771,0,60.9080853737136,1.16370279234119e-25,0.039960483569625,0.790417654378722,0.615880286242469,0.530267301205506,0.962695121215291,0.99880899454238,892117.725,1
"5%PI",0.0597638478189474,25577.1314643003,1.0138670822578,1.59316713561859,17665.7043552201,0,0.0764154943288304,207.45199215473,1926,0,17665.7151319096,13516.0219378458,11421.555808377,23523.1131659064,25522.7355605129,0.0588660767962945,0.0454523651476549,0.0289859875121059,0.473997586641678,0,-9999,40.6694748227252,0,16.4673219802766,0,57.4695646954189,7.23338833079147e-27,0.00796196299725996,0.56830005040571,0.460145729890137,0.404987672260629,0.746260776521697,0.929046647327115,46332.5,1
"95%PI",0.115185039386176,32550.9376717761,1.02313945255495,1.83444280698036,20670.3381373663,0,0.964066179201473,1123.03308821782,1968,0,20670.3378803189,16542.3931956524,14758.1248673005,26119.0119655324,30431.0799898396,0.114807359097373,0.0747462458102455,0.0796838175309704,0.553452609449554,0,-9999,41.7720042976862,0,18.7196117493432,0,60.191090032831,1.09972772838362e-25,0.0350531520905485,0.775187383744118,0.602351755536854,0.519329629640105,0.957523341054307,0.998584293642178,869054.6,1
"min",0.0210903044096194,24599.6051902186,1.0085471990587,1.45216947734915,15466.5418750374,0,8.74812249094248e-05,155.27718738066,1926,0,15466.5418750363,11741.8182231596,9821.93538841341,18991.2826639149,24388.5230349769,0.0206673680492109,0.019890587079185,0.0140531045122626,0.435616413182765,0,-9999,40.4156739584934,0,16.2929392233677,0,57.2197972869696,6.62946132606458e-30,0.00593914461571913,0.31289887230736,0.289158723728046,0.27788792771511,0.358374406158385,0.439834425249195,59,1
"max",0.117994227352086,55449.327371679,1.03038238070208,1.96416370133842,22400.2582471585,0,0.999966828851029,4980.02886029091,1968,0,22400.2584413109,18661.7501288593,17091.8539378728,27418.8519042812,33126.2374365166,0.117698961355258,0.0864500397819044,0.100411329150545,0.619767010373443,0,-9999,45.4007338337441,0,24.7250203857112,0,67.1860292368785,1.41174995526267e-25,0.092563469937141,0.849230059973986,0.693198123162713,0.618055568309736,0.978275747824341,0.999373924405522,914602,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
