"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.091","0.092","0.054","0.079","0.104","0.116","10,000"
"2","$K$","28,317","27,872","25,300","26,735","29,376","33,931","10,000"
"3","$N_{min}$","   485","   384","   194","   288","   569"," 1,310","10,000"
"4","$N_{2006}$","12,983","12,925","11,156","12,293","13,617","15,134","10,000"
"5","$N_{2008}$","14,979","14,956","13,262","14,336","15,574","16,862","10,000"
"6","$N_{2012}$","19,180","19,174","17,394","18,567","19,801","20,974","10,000"
"7","$N_{2019}$","24,867","24,899","23,149","24,357","25,434","26,332","10,000"
"8","$N_{2030}$","27,738","27,592","25,254","26,616","28,724","30,903","10,000"
"9","Max depletion","0.017","0.014","0.007","0.011","0.019","0.04","10,000"
"10","Depletion in 2006","0.46","0.459","0.395","0.436","0.482","0.53","10,000"
"11","Depletion in 2008","0.531","0.532","0.447","0.503","0.56","0.616","10,000"
"12","Depletion in 2012","0.682","0.687","0.543","0.642","0.727","0.79","10,000"
"13","Depletion in 2019","0.883","0.901","0.708","0.851","0.933","0.963","10,000"
"14","Depletion in 2030","0.982","0.992","0.899","0.981","0.997","0.999","10,000"
