"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.096","0.099","0.058","0.065","0.117","0.116","10,000"
"2","$K$","23,210","23,019","22,235","22,267","25,245","24,792","10,000"
"3","$N_{min}$","   425","   332","   197","   208"," 1,163","   969","10,000"
"4","$N_{2008}$","14,959","14,933","13,206","13,465","16,867","16,549","10,000"
"5","$N_{2012}$","18,410","18,425","16,885","17,152","19,815","19,615","10,000"
"6","$N_{2018}$","21,602","21,629","20,746","20,974","22,266","22,148","10,000"
"7","Max depletion","0.018","0.014","0.009","0.009","0.046","0.039","10,000"
"8","Depletion in 2008","0.645","0.644","0.569","0.581","0.727","0.712","10,000"
"9","Depletion in 2012","0.794","0.798","0.696","0.713","0.872","0.861","10,000"
"10","Depletion in 2018","0.932","0.943","0.832","0.857","0.975","0.972","10,000"
