"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI"
"1","$r_{max}$","0.082","0.087","0.026","0.034","0.116","0.115"
"2","$K$","23,523","22,543","20,569","20,764","32,673","29,639"
"3","$N_{min}$","   960","   648","   229","   244"," 4,052"," 2,787"
"4","$N_{2017}$","20,681","20,661","19,339","19,661","22,019","21,775"
"5","Max depletion","0.036","0.029","0.011","0.012","0.126","0.094"
"6","Depletion in 2017","0.893","0.929","0.608","0.683","0.982","0.977"
