"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.083","0.087","0.029","0.039","0.116","0.115","10,000"
"2","$K$","24,051","23,590","22,266","22,330","28,656","27,064","10,000"
"3","$N_{min}$","   822","   479","   218","   236"," 3,482"," 2,252","10,000"
"4","$N_{2008}$","15,741","15,710","13,735","14,034","17,962","17,589","10,000"
"5","$N_{2012}$","18,741","18,766","17,002","17,294","20,373","20,125","10,000"
"6","$N_{2018}$","21,643","21,762","19,821","20,391","22,579","22,438","10,000"
"7","Max depletion","0.031","0.02","0.01","0.011","0.121","0.083","10,000"
"8","Depletion in 2008","0.657","0.657","0.559","0.578","0.756","0.739","10,000"
"9","Depletion in 2012","0.784","0.794","0.624","0.662","0.89","0.877","10,000"
"10","Depletion in 2018","0.906","0.929","0.703","0.759","0.978","0.975","10,000"
