"","r_max","K","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2012","N2006","N2019","N2030","ROI_IA1","ROI_IA2","q_IA1","q_IA2","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2012","status2006","status2019","status2030","draw","save"
"mean",0.0939341008521345,26286.6678158055,1.12807976216041,1.33527730361672,1.0184871221436,-999,14972.4532848472,0,-999,440.60205257836,1959.118,0,14972.4584433126,18991.9613003053,12989.944826759,23919.8772029079,25989.7280370624,0.0932201250259829,0.0586116301027599,0.0552064065368679,0.517455377745205,0,-9999,35.9190136491655,0,17.3801199819122,0,53.2991336310778,1.03809175649079e-23,0.0165334130632214,0.573047581718318,0.726855939101199,0.496938305598439,0.913174404745773,0.989464704412046,1735580.3887,1
"median",0.0960476522247773,25865.5961342744,1.11671388349263,1.33513145024539,1.01848464795624,-999,14936.9940464385,0,-999,353.703914903229,1958,0,14937.0084057365,18976.4089800775,12934.7015190315,23779.6899565967,25678.8834848886,0.0954302575292009,0.0587955416788978,0.0550093261848439,0.516747268605072,0,-9999,35.8276638068363,0,17.1863176160647,0,53.0968851612984,8.71597083257822e-24,0.0135888864013678,0.575733562935258,0.733490629621253,0.498390793607985,0.92646138344474,0.995120735972592,1733911.5,1
"2.5%PI",0.0583934755987022,23138.0992242432,1.01258911703924,1.25427801533462,1.01302589375956,-999,13254.4097267673,0,-999,193.323431581083,1957,0,13254.7255251272,17201.1160972226,11175.8819166257,21891.3747682705,23104.6963693264,0.0570538379376177,0.038978804465659,0.027101315773684,0.469969106860641,0,-9999,35.1009241258398,0,16.4498266207098,0,51.7719803148663,5.04591092472907e-25,0.00758585238218064,0.450752638260336,0.584766420300476,0.38711475159527,0.784180323758869,0.944489311562655,86841.2,1
"97.5%PI",0.116935301533446,32611.5339815809,1.38946759553018,1.41597779297724,1.02401664705271,-999,16891.6999083944,0,-999,1232.29579769161,1968,0,16891.5111876191,20866.8822230627,15130.426861041,27691.2190759107,31748.7162077444,0.116512143044494,0.0770967829006089,0.0835893585148791,0.568111444900976,0,-9999,37.1921124447272,0,19.5476627519722,0,55.9460491378265,3.27879777916292e-23,0.0437794829647264,0.671706270944854,0.832250756619202,0.588602180453693,0.972627012572824,0.999133989074482,3386106.925,1
"5%PI",0.0644003946385812,23510.0907516392,1.02225603958059,1.25867737948126,1.01385600054665,-999,13488.8047023851,0,-999,205.546519127878,1957,0,13488.6752041558,17516.8207105069,11433.9066758178,22133.4558712743,23460.3735398306,0.0632537128328631,0.0424077100009683,0.0305532518239987,0.477498158099122,0,-9999,35.2125777746992,0,16.5223998770838,0,52.0162798560088,9.55491564976048e-25,0.00808488157217347,0.473368936201739,0.611836969644805,0.405462668142442,0.813064928227826,0.961644581170649,175244.6,1
"95%PI",0.115684965105611,31496.8379699376,1.34728028683917,1.41182943325618,1.02308551655795,-999,16566.6988504061,0,-999,980.512313013322,1968,0,16566.6978274022,20555.7094189125,14755.5732300125,26873.5329646645,30904.4324482289,0.115287132531234,0.074074777300327,0.0802048440229746,0.559072604541594,0,-9999,36.8862561988966,0,18.914400767354,0,55.3075717383321,2.5681282018678e-23,0.0350388284124324,0.655988805394891,0.817634640250377,0.575602271831258,0.968273259802713,0.998946757370168,3295805.4,1
"min",0.0285535679827444,22274.7846847679,1.00010510403706,1.25000235472573,1.00800369231623,-999,12012.1405571699,0,-999,152.245824800372,1926,0,12012.4589909692,15825.5469881747,9870.48178007342,20075.7831113235,22262.1249387477,0.0260690340214236,0.0202385740564268,0.0149846938445862,0.436860846764018,0,-9999,34.8760767847802,0,16.2055047607506,0,51.4434616300295,4.91853276612501e-27,0.00532612431294899,0.383077541450485,0.442277013752379,0.321511711343916,0.557955129509055,0.745548244758181,320,1
"max",0.117992158915848,36523.2510777631,1.42843085763009,1.41999322840711,1.02996922164924,-999,18780.4038817994,0,-999,3697.51931062802,1968,0,18780.3990317884,22625.4168462735,17640.5386236457,29602.8716774529,33596.6561576681,0.117712022304803,0.0925366027803955,0.10274820886238,0.620085505981199,0,-9999,39.8746836887861,0,24.4086202513904,0,60.5767872430782,4.5539523708375e-23,0.123991020518525,0.784958367058389,0.904416589266483,0.704804329036958,0.985649520993317,0.999549221654795,3470927,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
